,artist_id,down,ds
0,28e32be6ba67e0c6fdfdff80ce07dfd4,47,2015-03-01
1,28e32be6ba67e0c6fdfdff80ce07dfd4,47,2015-03-02
2,28e32be6ba67e0c6fdfdff80ce07dfd4,49,2015-03-03
3,28e32be6ba67e0c6fdfdff80ce07dfd4,68,2015-03-04
4,28e32be6ba67e0c6fdfdff80ce07dfd4,67,2015-03-05
5,28e32be6ba67e0c6fdfdff80ce07dfd4,63,2015-03-06
6,28e32be6ba67e0c6fdfdff80ce07dfd4,47,2015-03-07
7,28e32be6ba67e0c6fdfdff80ce07dfd4,36,2015-03-08
8,28e32be6ba67e0c6fdfdff80ce07dfd4,58,2015-03-09
9,28e32be6ba67e0c6fdfdff80ce07dfd4,284,2015-03-10
10,28e32be6ba67e0c6fdfdff80ce07dfd4,143,2015-03-11
11,28e32be6ba67e0c6fdfdff80ce07dfd4,162,2015-03-12
12,28e32be6ba67e0c6fdfdff80ce07dfd4,142,2015-03-13
13,28e32be6ba67e0c6fdfdff80ce07dfd4,133,2015-03-14
14,28e32be6ba67e0c6fdfdff80ce07dfd4,107,2015-03-15
15,28e32be6ba67e0c6fdfdff80ce07dfd4,175,2015-03-16
16,28e32be6ba67e0c6fdfdff80ce07dfd4,290,2015-03-17
17,28e32be6ba67e0c6fdfdff80ce07dfd4,390,2015-03-18
18,28e32be6ba67e0c6fdfdff80ce07dfd4,363,2015-03-19
19,28e32be6ba67e0c6fdfdff80ce07dfd4,401,2015-03-20
20,28e32be6ba67e0c6fdfdff80ce07dfd4,349,2015-03-21
21,28e32be6ba67e0c6fdfdff80ce07dfd4,331,2015-03-22
22,28e32be6ba67e0c6fdfdff80ce07dfd4,385,2015-03-23
23,28e32be6ba67e0c6fdfdff80ce07dfd4,277,2015-03-24
24,28e32be6ba67e0c6fdfdff80ce07dfd4,249,2015-03-25
25,28e32be6ba67e0c6fdfdff80ce07dfd4,216,2015-03-26
26,28e32be6ba67e0c6fdfdff80ce07dfd4,231,2015-03-27
27,28e32be6ba67e0c6fdfdff80ce07dfd4,285,2015-03-28
28,28e32be6ba67e0c6fdfdff80ce07dfd4,216,2015-03-29
29,28e32be6ba67e0c6fdfdff80ce07dfd4,172,2015-03-30
30,28e32be6ba67e0c6fdfdff80ce07dfd4,226,2015-03-31
31,28e32be6ba67e0c6fdfdff80ce07dfd4,169,2015-04-01
32,28e32be6ba67e0c6fdfdff80ce07dfd4,225,2015-04-02
33,28e32be6ba67e0c6fdfdff80ce07dfd4,203,2015-04-03
34,28e32be6ba67e0c6fdfdff80ce07dfd4,161,2015-04-04
35,28e32be6ba67e0c6fdfdff80ce07dfd4,173,2015-04-05
36,28e32be6ba67e0c6fdfdff80ce07dfd4,144,2015-04-06
37,28e32be6ba67e0c6fdfdff80ce07dfd4,227,2015-04-07
38,28e32be6ba67e0c6fdfdff80ce07dfd4,181,2015-04-08
39,28e32be6ba67e0c6fdfdff80ce07dfd4,176,2015-04-09
40,28e32be6ba67e0c6fdfdff80ce07dfd4,163,2015-04-10
41,28e32be6ba67e0c6fdfdff80ce07dfd4,177,2015-04-11
42,28e32be6ba67e0c6fdfdff80ce07dfd4,157,2015-04-12
43,28e32be6ba67e0c6fdfdff80ce07dfd4,159,2015-04-13
44,28e32be6ba67e0c6fdfdff80ce07dfd4,145,2015-04-14
45,28e32be6ba67e0c6fdfdff80ce07dfd4,154,2015-04-15
46,28e32be6ba67e0c6fdfdff80ce07dfd4,165,2015-04-16
47,28e32be6ba67e0c6fdfdff80ce07dfd4,182,2015-04-17
48,28e32be6ba67e0c6fdfdff80ce07dfd4,197,2015-04-18
49,28e32be6ba67e0c6fdfdff80ce07dfd4,186,2015-04-19
50,28e32be6ba67e0c6fdfdff80ce07dfd4,168,2015-04-20
51,28e32be6ba67e0c6fdfdff80ce07dfd4,211,2015-04-21
52,28e32be6ba67e0c6fdfdff80ce07dfd4,182,2015-04-22
53,28e32be6ba67e0c6fdfdff80ce07dfd4,199,2015-04-23
54,28e32be6ba67e0c6fdfdff80ce07dfd4,174,2015-04-24
55,28e32be6ba67e0c6fdfdff80ce07dfd4,177,2015-04-25
56,28e32be6ba67e0c6fdfdff80ce07dfd4,178,2015-04-26
57,28e32be6ba67e0c6fdfdff80ce07dfd4,189,2015-04-27
58,28e32be6ba67e0c6fdfdff80ce07dfd4,218,2015-04-28
59,28e32be6ba67e0c6fdfdff80ce07dfd4,151,2015-04-29
60,28e32be6ba67e0c6fdfdff80ce07dfd4,238,2015-04-30
61,28e32be6ba67e0c6fdfdff80ce07dfd4,163,2015-05-01
62,28e32be6ba67e0c6fdfdff80ce07dfd4,139,2015-05-02
63,28e32be6ba67e0c6fdfdff80ce07dfd4,174,2015-05-03
64,28e32be6ba67e0c6fdfdff80ce07dfd4,156,2015-05-04
65,28e32be6ba67e0c6fdfdff80ce07dfd4,178,2015-05-05
66,28e32be6ba67e0c6fdfdff80ce07dfd4,217,2015-05-06
67,28e32be6ba67e0c6fdfdff80ce07dfd4,194,2015-05-07
68,28e32be6ba67e0c6fdfdff80ce07dfd4,171,2015-05-08
69,28e32be6ba67e0c6fdfdff80ce07dfd4,130,2015-05-09
70,28e32be6ba67e0c6fdfdff80ce07dfd4,164,2015-05-10
71,28e32be6ba67e0c6fdfdff80ce07dfd4,219,2015-05-11
72,28e32be6ba67e0c6fdfdff80ce07dfd4,244,2015-05-12
73,28e32be6ba67e0c6fdfdff80ce07dfd4,177,2015-05-13
74,28e32be6ba67e0c6fdfdff80ce07dfd4,172,2015-05-14
75,28e32be6ba67e0c6fdfdff80ce07dfd4,173,2015-05-15
76,28e32be6ba67e0c6fdfdff80ce07dfd4,182,2015-05-16
77,28e32be6ba67e0c6fdfdff80ce07dfd4,224,2015-05-17
78,28e32be6ba67e0c6fdfdff80ce07dfd4,197,2015-05-18
79,28e32be6ba67e0c6fdfdff80ce07dfd4,167,2015-05-19
80,28e32be6ba67e0c6fdfdff80ce07dfd4,184,2015-05-20
81,28e32be6ba67e0c6fdfdff80ce07dfd4,202,2015-05-21
82,28e32be6ba67e0c6fdfdff80ce07dfd4,196,2015-05-22
83,28e32be6ba67e0c6fdfdff80ce07dfd4,183,2015-05-23
84,28e32be6ba67e0c6fdfdff80ce07dfd4,199,2015-05-24
85,28e32be6ba67e0c6fdfdff80ce07dfd4,243,2015-05-25
86,28e32be6ba67e0c6fdfdff80ce07dfd4,172,2015-05-26
87,28e32be6ba67e0c6fdfdff80ce07dfd4,234,2015-05-27
88,28e32be6ba67e0c6fdfdff80ce07dfd4,168,2015-05-28
89,28e32be6ba67e0c6fdfdff80ce07dfd4,180,2015-05-29
90,28e32be6ba67e0c6fdfdff80ce07dfd4,181,2015-05-30
91,28e32be6ba67e0c6fdfdff80ce07dfd4,190,2015-05-31
92,28e32be6ba67e0c6fdfdff80ce07dfd4,194,2015-06-01
93,28e32be6ba67e0c6fdfdff80ce07dfd4,165,2015-06-02
94,28e32be6ba67e0c6fdfdff80ce07dfd4,260,2015-06-03
95,28e32be6ba67e0c6fdfdff80ce07dfd4,157,2015-06-04
96,28e32be6ba67e0c6fdfdff80ce07dfd4,134,2015-06-05
97,28e32be6ba67e0c6fdfdff80ce07dfd4,140,2015-06-06
98,28e32be6ba67e0c6fdfdff80ce07dfd4,216,2015-06-07
99,28e32be6ba67e0c6fdfdff80ce07dfd4,181,2015-06-08
100,28e32be6ba67e0c6fdfdff80ce07dfd4,201,2015-06-09
101,28e32be6ba67e0c6fdfdff80ce07dfd4,226,2015-06-10
102,28e32be6ba67e0c6fdfdff80ce07dfd4,282,2015-06-11
103,28e32be6ba67e0c6fdfdff80ce07dfd4,189,2015-06-12
104,28e32be6ba67e0c6fdfdff80ce07dfd4,196,2015-06-13
105,28e32be6ba67e0c6fdfdff80ce07dfd4,201,2015-06-14
106,28e32be6ba67e0c6fdfdff80ce07dfd4,123,2015-06-15
107,28e32be6ba67e0c6fdfdff80ce07dfd4,192,2015-06-16
108,28e32be6ba67e0c6fdfdff80ce07dfd4,210,2015-06-17
109,28e32be6ba67e0c6fdfdff80ce07dfd4,222,2015-06-18
110,28e32be6ba67e0c6fdfdff80ce07dfd4,302,2015-06-19
111,28e32be6ba67e0c6fdfdff80ce07dfd4,189,2015-06-20
112,28e32be6ba67e0c6fdfdff80ce07dfd4,135,2015-06-21
113,28e32be6ba67e0c6fdfdff80ce07dfd4,163,2015-06-22
114,28e32be6ba67e0c6fdfdff80ce07dfd4,189,2015-06-23
115,28e32be6ba67e0c6fdfdff80ce07dfd4,203,2015-06-24
116,28e32be6ba67e0c6fdfdff80ce07dfd4,243,2015-06-25
117,28e32be6ba67e0c6fdfdff80ce07dfd4,212,2015-06-26
118,28e32be6ba67e0c6fdfdff80ce07dfd4,307,2015-06-27
119,28e32be6ba67e0c6fdfdff80ce07dfd4,134,2015-06-28
120,28e32be6ba67e0c6fdfdff80ce07dfd4,184,2015-06-29
121,28e32be6ba67e0c6fdfdff80ce07dfd4,139,2015-06-30
122,28e32be6ba67e0c6fdfdff80ce07dfd4,136,2015-07-01
123,28e32be6ba67e0c6fdfdff80ce07dfd4,180,2015-07-02
124,28e32be6ba67e0c6fdfdff80ce07dfd4,186,2015-07-03
125,28e32be6ba67e0c6fdfdff80ce07dfd4,181,2015-07-04
126,28e32be6ba67e0c6fdfdff80ce07dfd4,212,2015-07-05
127,28e32be6ba67e0c6fdfdff80ce07dfd4,190,2015-07-06
128,28e32be6ba67e0c6fdfdff80ce07dfd4,252,2015-07-07
129,28e32be6ba67e0c6fdfdff80ce07dfd4,222,2015-07-08
130,28e32be6ba67e0c6fdfdff80ce07dfd4,245,2015-07-09
131,28e32be6ba67e0c6fdfdff80ce07dfd4,205,2015-07-10
132,28e32be6ba67e0c6fdfdff80ce07dfd4,200,2015-07-11
133,28e32be6ba67e0c6fdfdff80ce07dfd4,227,2015-07-12
134,28e32be6ba67e0c6fdfdff80ce07dfd4,199,2015-07-13
135,28e32be6ba67e0c6fdfdff80ce07dfd4,204,2015-07-14
136,28e32be6ba67e0c6fdfdff80ce07dfd4,194,2015-07-15
137,28e32be6ba67e0c6fdfdff80ce07dfd4,186,2015-07-16
138,28e32be6ba67e0c6fdfdff80ce07dfd4,177,2015-07-17
139,28e32be6ba67e0c6fdfdff80ce07dfd4,171,2015-07-18
140,28e32be6ba67e0c6fdfdff80ce07dfd4,134,2015-07-19
141,28e32be6ba67e0c6fdfdff80ce07dfd4,162,2015-07-20
142,28e32be6ba67e0c6fdfdff80ce07dfd4,185,2015-07-21
143,28e32be6ba67e0c6fdfdff80ce07dfd4,152,2015-07-22
144,28e32be6ba67e0c6fdfdff80ce07dfd4,200,2015-07-23
145,28e32be6ba67e0c6fdfdff80ce07dfd4,187,2015-07-24
146,28e32be6ba67e0c6fdfdff80ce07dfd4,160,2015-07-25
147,28e32be6ba67e0c6fdfdff80ce07dfd4,126,2015-07-26
148,28e32be6ba67e0c6fdfdff80ce07dfd4,143,2015-07-27
149,28e32be6ba67e0c6fdfdff80ce07dfd4,156,2015-07-28
150,28e32be6ba67e0c6fdfdff80ce07dfd4,186,2015-07-29
151,28e32be6ba67e0c6fdfdff80ce07dfd4,141,2015-07-30
152,28e32be6ba67e0c6fdfdff80ce07dfd4,276,2015-07-31
153,28e32be6ba67e0c6fdfdff80ce07dfd4,96,2015-08-01
154,28e32be6ba67e0c6fdfdff80ce07dfd4,133,2015-08-02
155,28e32be6ba67e0c6fdfdff80ce07dfd4,170,2015-08-03
156,28e32be6ba67e0c6fdfdff80ce07dfd4,224,2015-08-04
157,28e32be6ba67e0c6fdfdff80ce07dfd4,155,2015-08-05
158,28e32be6ba67e0c6fdfdff80ce07dfd4,145,2015-08-06
159,28e32be6ba67e0c6fdfdff80ce07dfd4,179,2015-08-07
160,28e32be6ba67e0c6fdfdff80ce07dfd4,176,2015-08-08
161,28e32be6ba67e0c6fdfdff80ce07dfd4,162,2015-08-09
162,28e32be6ba67e0c6fdfdff80ce07dfd4,215,2015-08-10
163,28e32be6ba67e0c6fdfdff80ce07dfd4,204,2015-08-11
164,28e32be6ba67e0c6fdfdff80ce07dfd4,197,2015-08-12
165,28e32be6ba67e0c6fdfdff80ce07dfd4,213,2015-08-13
166,28e32be6ba67e0c6fdfdff80ce07dfd4,218,2015-08-14
167,28e32be6ba67e0c6fdfdff80ce07dfd4,160,2015-08-15
168,28e32be6ba67e0c6fdfdff80ce07dfd4,154,2015-08-16
169,28e32be6ba67e0c6fdfdff80ce07dfd4,192,2015-08-17
170,28e32be6ba67e0c6fdfdff80ce07dfd4,184,2015-08-18
171,28e32be6ba67e0c6fdfdff80ce07dfd4,225,2015-08-19
172,28e32be6ba67e0c6fdfdff80ce07dfd4,287,2015-08-20
173,28e32be6ba67e0c6fdfdff80ce07dfd4,172,2015-08-21
174,28e32be6ba67e0c6fdfdff80ce07dfd4,136,2015-08-22
175,28e32be6ba67e0c6fdfdff80ce07dfd4,129,2015-08-23
176,28e32be6ba67e0c6fdfdff80ce07dfd4,132,2015-08-24
177,28e32be6ba67e0c6fdfdff80ce07dfd4,166,2015-08-25
178,28e32be6ba67e0c6fdfdff80ce07dfd4,167,2015-08-26
179,28e32be6ba67e0c6fdfdff80ce07dfd4,147,2015-08-27
180,28e32be6ba67e0c6fdfdff80ce07dfd4,191,2015-08-28
181,28e32be6ba67e0c6fdfdff80ce07dfd4,124,2015-08-29
182,28e32be6ba67e0c6fdfdff80ce07dfd4,137,2015-08-30
