,artist_id,down,ds
0,2bc52f5bde454d69ea3d99a482e74741,31,2015-03-01
1,2bc52f5bde454d69ea3d99a482e74741,79,2015-03-02
2,2bc52f5bde454d69ea3d99a482e74741,55,2015-03-03
3,2bc52f5bde454d69ea3d99a482e74741,62,2015-03-04
4,2bc52f5bde454d69ea3d99a482e74741,49,2015-03-05
5,2bc52f5bde454d69ea3d99a482e74741,82,2015-03-06
6,2bc52f5bde454d69ea3d99a482e74741,19,2015-03-07
7,2bc52f5bde454d69ea3d99a482e74741,39,2015-03-08
8,2bc52f5bde454d69ea3d99a482e74741,41,2015-03-09
9,2bc52f5bde454d69ea3d99a482e74741,59,2015-03-10
10,2bc52f5bde454d69ea3d99a482e74741,42,2015-03-11
11,2bc52f5bde454d69ea3d99a482e74741,108,2015-03-12
12,2bc52f5bde454d69ea3d99a482e74741,62,2015-03-13
13,2bc52f5bde454d69ea3d99a482e74741,21,2015-03-14
14,2bc52f5bde454d69ea3d99a482e74741,20,2015-03-15
15,2bc52f5bde454d69ea3d99a482e74741,51,2015-03-16
16,2bc52f5bde454d69ea3d99a482e74741,46,2015-03-17
17,2bc52f5bde454d69ea3d99a482e74741,59,2015-03-18
18,2bc52f5bde454d69ea3d99a482e74741,68,2015-03-19
19,2bc52f5bde454d69ea3d99a482e74741,66,2015-03-20
20,2bc52f5bde454d69ea3d99a482e74741,29,2015-03-21
21,2bc52f5bde454d69ea3d99a482e74741,23,2015-03-22
22,2bc52f5bde454d69ea3d99a482e74741,58,2015-03-23
23,2bc52f5bde454d69ea3d99a482e74741,57,2015-03-24
24,2bc52f5bde454d69ea3d99a482e74741,68,2015-03-25
25,2bc52f5bde454d69ea3d99a482e74741,53,2015-03-26
26,2bc52f5bde454d69ea3d99a482e74741,44,2015-03-27
27,2bc52f5bde454d69ea3d99a482e74741,38,2015-03-28
28,2bc52f5bde454d69ea3d99a482e74741,32,2015-03-29
29,2bc52f5bde454d69ea3d99a482e74741,57,2015-03-30
30,2bc52f5bde454d69ea3d99a482e74741,37,2015-03-31
31,2bc52f5bde454d69ea3d99a482e74741,97,2015-04-01
32,2bc52f5bde454d69ea3d99a482e74741,66,2015-04-02
33,2bc52f5bde454d69ea3d99a482e74741,76,2015-04-03
34,2bc52f5bde454d69ea3d99a482e74741,88,2015-04-04
35,2bc52f5bde454d69ea3d99a482e74741,30,2015-04-05
36,2bc52f5bde454d69ea3d99a482e74741,45,2015-04-06
37,2bc52f5bde454d69ea3d99a482e74741,73,2015-04-07
38,2bc52f5bde454d69ea3d99a482e74741,80,2015-04-08
39,2bc52f5bde454d69ea3d99a482e74741,66,2015-04-09
40,2bc52f5bde454d69ea3d99a482e74741,54,2015-04-10
41,2bc52f5bde454d69ea3d99a482e74741,31,2015-04-11
42,2bc52f5bde454d69ea3d99a482e74741,50,2015-04-12
43,2bc52f5bde454d69ea3d99a482e74741,59,2015-04-13
44,2bc52f5bde454d69ea3d99a482e74741,34,2015-04-14
45,2bc52f5bde454d69ea3d99a482e74741,61,2015-04-15
46,2bc52f5bde454d69ea3d99a482e74741,55,2015-04-16
