,artist_id,down,ds
0,2e14d32266ee6b4678595f8f50c369ac,1388,2015-03-01
1,2e14d32266ee6b4678595f8f50c369ac,1415,2015-03-02
2,2e14d32266ee6b4678595f8f50c369ac,1503,2015-03-03
3,2e14d32266ee6b4678595f8f50c369ac,1866,2015-03-04
4,2e14d32266ee6b4678595f8f50c369ac,1496,2015-03-05
5,2e14d32266ee6b4678595f8f50c369ac,1262,2015-03-06
6,2e14d32266ee6b4678595f8f50c369ac,1483,2015-03-07
7,2e14d32266ee6b4678595f8f50c369ac,1263,2015-03-08
8,2e14d32266ee6b4678595f8f50c369ac,1219,2015-03-09
9,2e14d32266ee6b4678595f8f50c369ac,1260,2015-03-10
10,2e14d32266ee6b4678595f8f50c369ac,1486,2015-03-11
11,2e14d32266ee6b4678595f8f50c369ac,1501,2015-03-12
12,2e14d32266ee6b4678595f8f50c369ac,1619,2015-03-13
13,2e14d32266ee6b4678595f8f50c369ac,1711,2015-03-14
14,2e14d32266ee6b4678595f8f50c369ac,1639,2015-03-15
15,2e14d32266ee6b4678595f8f50c369ac,1438,2015-03-16
16,2e14d32266ee6b4678595f8f50c369ac,1588,2015-03-17
17,2e14d32266ee6b4678595f8f50c369ac,1463,2015-03-18
18,2e14d32266ee6b4678595f8f50c369ac,1502,2015-03-19
19,2e14d32266ee6b4678595f8f50c369ac,1801,2015-03-20
20,2e14d32266ee6b4678595f8f50c369ac,1559,2015-03-21
21,2e14d32266ee6b4678595f8f50c369ac,1419,2015-03-22
22,2e14d32266ee6b4678595f8f50c369ac,1414,2015-03-23
23,2e14d32266ee6b4678595f8f50c369ac,1554,2015-03-24
24,2e14d32266ee6b4678595f8f50c369ac,1664,2015-03-25
25,2e14d32266ee6b4678595f8f50c369ac,1589,2015-03-26
26,2e14d32266ee6b4678595f8f50c369ac,1595,2015-03-27
27,2e14d32266ee6b4678595f8f50c369ac,1459,2015-03-28
28,2e14d32266ee6b4678595f8f50c369ac,1631,2015-03-29
29,2e14d32266ee6b4678595f8f50c369ac,2749,2015-03-30
30,2e14d32266ee6b4678595f8f50c369ac,3261,2015-03-31
31,2e14d32266ee6b4678595f8f50c369ac,2560,2015-04-01
32,2e14d32266ee6b4678595f8f50c369ac,2311,2015-04-02
33,2e14d32266ee6b4678595f8f50c369ac,2044,2015-04-03
34,2e14d32266ee6b4678595f8f50c369ac,2214,2015-04-04
35,2e14d32266ee6b4678595f8f50c369ac,1968,2015-04-05
36,2e14d32266ee6b4678595f8f50c369ac,2216,2015-04-06
37,2e14d32266ee6b4678595f8f50c369ac,1980,2015-04-07
38,2e14d32266ee6b4678595f8f50c369ac,1820,2015-04-08
39,2e14d32266ee6b4678595f8f50c369ac,2060,2015-04-09
40,2e14d32266ee6b4678595f8f50c369ac,2190,2015-04-10
41,2e14d32266ee6b4678595f8f50c369ac,2030,2015-04-11
42,2e14d32266ee6b4678595f8f50c369ac,1791,2015-04-12
43,2e14d32266ee6b4678595f8f50c369ac,1736,2015-04-13
44,2e14d32266ee6b4678595f8f50c369ac,1805,2015-04-14
45,2e14d32266ee6b4678595f8f50c369ac,1869,2015-04-15
46,2e14d32266ee6b4678595f8f50c369ac,1713,2015-04-16
47,2e14d32266ee6b4678595f8f50c369ac,1839,2015-04-17
48,2e14d32266ee6b4678595f8f50c369ac,1972,2015-04-18
49,2e14d32266ee6b4678595f8f50c369ac,2077,2015-04-19
50,2e14d32266ee6b4678595f8f50c369ac,1753,2015-04-20
51,2e14d32266ee6b4678595f8f50c369ac,2008,2015-04-21
52,2e14d32266ee6b4678595f8f50c369ac,1957,2015-04-22
53,2e14d32266ee6b4678595f8f50c369ac,1858,2015-04-23
54,2e14d32266ee6b4678595f8f50c369ac,2010,2015-04-24
55,2e14d32266ee6b4678595f8f50c369ac,2002,2015-04-25
56,2e14d32266ee6b4678595f8f50c369ac,2208,2015-04-26
57,2e14d32266ee6b4678595f8f50c369ac,2027,2015-04-27
58,2e14d32266ee6b4678595f8f50c369ac,2082,2015-04-28
59,2e14d32266ee6b4678595f8f50c369ac,2328,2015-04-29
60,2e14d32266ee6b4678595f8f50c369ac,1898,2015-04-30
61,2e14d32266ee6b4678595f8f50c369ac,1816,2015-05-01
62,2e14d32266ee6b4678595f8f50c369ac,1776,2015-05-02
63,2e14d32266ee6b4678595f8f50c369ac,1957,2015-05-03
64,2e14d32266ee6b4678595f8f50c369ac,2320,2015-05-04
65,2e14d32266ee6b4678595f8f50c369ac,2235,2015-05-05
66,2e14d32266ee6b4678595f8f50c369ac,2272,2015-05-06
67,2e14d32266ee6b4678595f8f50c369ac,1803,2015-05-07
