,artist_id,down,ds
0,3964ee41d4e2ade1957a9135afe1b8dc,372,2015-03-01
1,3964ee41d4e2ade1957a9135afe1b8dc,246,2015-03-02
2,3964ee41d4e2ade1957a9135afe1b8dc,309,2015-03-03
3,3964ee41d4e2ade1957a9135afe1b8dc,346,2015-03-04
4,3964ee41d4e2ade1957a9135afe1b8dc,306,2015-03-05
5,3964ee41d4e2ade1957a9135afe1b8dc,255,2015-03-06
6,3964ee41d4e2ade1957a9135afe1b8dc,310,2015-03-07
7,3964ee41d4e2ade1957a9135afe1b8dc,316,2015-03-08
8,3964ee41d4e2ade1957a9135afe1b8dc,289,2015-03-09
9,3964ee41d4e2ade1957a9135afe1b8dc,233,2015-03-10
10,3964ee41d4e2ade1957a9135afe1b8dc,250,2015-03-11
11,3964ee41d4e2ade1957a9135afe1b8dc,270,2015-03-12
12,3964ee41d4e2ade1957a9135afe1b8dc,268,2015-03-13
13,3964ee41d4e2ade1957a9135afe1b8dc,356,2015-03-14
14,3964ee41d4e2ade1957a9135afe1b8dc,285,2015-03-15
15,3964ee41d4e2ade1957a9135afe1b8dc,304,2015-03-16
16,3964ee41d4e2ade1957a9135afe1b8dc,282,2015-03-17
17,3964ee41d4e2ade1957a9135afe1b8dc,292,2015-03-18
18,3964ee41d4e2ade1957a9135afe1b8dc,298,2015-03-19
19,3964ee41d4e2ade1957a9135afe1b8dc,375,2015-03-20
20,3964ee41d4e2ade1957a9135afe1b8dc,340,2015-03-21
21,3964ee41d4e2ade1957a9135afe1b8dc,334,2015-03-22
22,3964ee41d4e2ade1957a9135afe1b8dc,306,2015-03-23
23,3964ee41d4e2ade1957a9135afe1b8dc,290,2015-03-24
24,3964ee41d4e2ade1957a9135afe1b8dc,281,2015-03-25
25,3964ee41d4e2ade1957a9135afe1b8dc,318,2015-03-26
26,3964ee41d4e2ade1957a9135afe1b8dc,344,2015-03-27
27,3964ee41d4e2ade1957a9135afe1b8dc,389,2015-03-28
28,3964ee41d4e2ade1957a9135afe1b8dc,431,2015-03-29
29,3964ee41d4e2ade1957a9135afe1b8dc,397,2015-03-30
30,3964ee41d4e2ade1957a9135afe1b8dc,371,2015-03-31
31,3964ee41d4e2ade1957a9135afe1b8dc,392,2015-04-01
32,3964ee41d4e2ade1957a9135afe1b8dc,465,2015-04-02
33,3964ee41d4e2ade1957a9135afe1b8dc,357,2015-04-03
34,3964ee41d4e2ade1957a9135afe1b8dc,468,2015-04-04
35,3964ee41d4e2ade1957a9135afe1b8dc,374,2015-04-05
36,3964ee41d4e2ade1957a9135afe1b8dc,348,2015-04-06
37,3964ee41d4e2ade1957a9135afe1b8dc,437,2015-04-07
38,3964ee41d4e2ade1957a9135afe1b8dc,349,2015-04-08
39,3964ee41d4e2ade1957a9135afe1b8dc,396,2015-04-09
40,3964ee41d4e2ade1957a9135afe1b8dc,323,2015-04-10
41,3964ee41d4e2ade1957a9135afe1b8dc,385,2015-04-11
42,3964ee41d4e2ade1957a9135afe1b8dc,429,2015-04-12
43,3964ee41d4e2ade1957a9135afe1b8dc,354,2015-04-13
44,3964ee41d4e2ade1957a9135afe1b8dc,390,2015-04-14
45,3964ee41d4e2ade1957a9135afe1b8dc,327,2015-04-15
46,3964ee41d4e2ade1957a9135afe1b8dc,338,2015-04-16
47,3964ee41d4e2ade1957a9135afe1b8dc,369,2015-04-17
48,3964ee41d4e2ade1957a9135afe1b8dc,387,2015-04-18
49,3964ee41d4e2ade1957a9135afe1b8dc,333,2015-04-19
50,3964ee41d4e2ade1957a9135afe1b8dc,363,2015-04-20
51,3964ee41d4e2ade1957a9135afe1b8dc,409,2015-04-21
52,3964ee41d4e2ade1957a9135afe1b8dc,384,2015-04-22
53,3964ee41d4e2ade1957a9135afe1b8dc,327,2015-04-23
54,3964ee41d4e2ade1957a9135afe1b8dc,380,2015-04-24
55,3964ee41d4e2ade1957a9135afe1b8dc,403,2015-04-25
56,3964ee41d4e2ade1957a9135afe1b8dc,372,2015-04-26
57,3964ee41d4e2ade1957a9135afe1b8dc,387,2015-04-27
58,3964ee41d4e2ade1957a9135afe1b8dc,327,2015-04-28
59,3964ee41d4e2ade1957a9135afe1b8dc,490,2015-04-29
60,3964ee41d4e2ade1957a9135afe1b8dc,439,2015-04-30
61,3964ee41d4e2ade1957a9135afe1b8dc,356,2015-05-01
62,3964ee41d4e2ade1957a9135afe1b8dc,420,2015-05-02
63,3964ee41d4e2ade1957a9135afe1b8dc,362,2015-05-03
64,3964ee41d4e2ade1957a9135afe1b8dc,357,2015-05-04
65,3964ee41d4e2ade1957a9135afe1b8dc,355,2015-05-05
66,3964ee41d4e2ade1957a9135afe1b8dc,349,2015-05-06
67,3964ee41d4e2ade1957a9135afe1b8dc,389,2015-05-07
68,3964ee41d4e2ade1957a9135afe1b8dc,362,2015-05-08
69,3964ee41d4e2ade1957a9135afe1b8dc,401,2015-05-09
70,3964ee41d4e2ade1957a9135afe1b8dc,404,2015-05-10
71,3964ee41d4e2ade1957a9135afe1b8dc,382,2015-05-11
72,3964ee41d4e2ade1957a9135afe1b8dc,438,2015-05-12
73,3964ee41d4e2ade1957a9135afe1b8dc,426,2015-05-13
74,3964ee41d4e2ade1957a9135afe1b8dc,481,2015-05-14
75,3964ee41d4e2ade1957a9135afe1b8dc,405,2015-05-15
76,3964ee41d4e2ade1957a9135afe1b8dc,481,2015-05-16
77,3964ee41d4e2ade1957a9135afe1b8dc,396,2015-05-17
78,3964ee41d4e2ade1957a9135afe1b8dc,353,2015-05-18
79,3964ee41d4e2ade1957a9135afe1b8dc,339,2015-05-19
80,3964ee41d4e2ade1957a9135afe1b8dc,347,2015-05-20
81,3964ee41d4e2ade1957a9135afe1b8dc,402,2015-05-21
82,3964ee41d4e2ade1957a9135afe1b8dc,474,2015-05-22
83,3964ee41d4e2ade1957a9135afe1b8dc,381,2015-05-23
84,3964ee41d4e2ade1957a9135afe1b8dc,380,2015-05-24
85,3964ee41d4e2ade1957a9135afe1b8dc,413,2015-05-25
86,3964ee41d4e2ade1957a9135afe1b8dc,506,2015-05-26
87,3964ee41d4e2ade1957a9135afe1b8dc,673,2015-05-27
88,3964ee41d4e2ade1957a9135afe1b8dc,446,2015-05-28
89,3964ee41d4e2ade1957a9135afe1b8dc,643,2015-05-29
90,3964ee41d4e2ade1957a9135afe1b8dc,550,2015-05-30
91,3964ee41d4e2ade1957a9135afe1b8dc,524,2015-05-31
92,3964ee41d4e2ade1957a9135afe1b8dc,625,2015-06-01
93,3964ee41d4e2ade1957a9135afe1b8dc,508,2015-06-02
94,3964ee41d4e2ade1957a9135afe1b8dc,548,2015-06-03
95,3964ee41d4e2ade1957a9135afe1b8dc,579,2015-06-04
96,3964ee41d4e2ade1957a9135afe1b8dc,588,2015-06-05
97,3964ee41d4e2ade1957a9135afe1b8dc,464,2015-06-06
98,3964ee41d4e2ade1957a9135afe1b8dc,436,2015-06-07
99,3964ee41d4e2ade1957a9135afe1b8dc,463,2015-06-08
100,3964ee41d4e2ade1957a9135afe1b8dc,608,2015-06-09
101,3964ee41d4e2ade1957a9135afe1b8dc,566,2015-06-10
102,3964ee41d4e2ade1957a9135afe1b8dc,755,2015-06-11
103,3964ee41d4e2ade1957a9135afe1b8dc,438,2015-06-12
104,3964ee41d4e2ade1957a9135afe1b8dc,462,2015-06-13
105,3964ee41d4e2ade1957a9135afe1b8dc,445,2015-06-14
106,3964ee41d4e2ade1957a9135afe1b8dc,548,2015-06-15
107,3964ee41d4e2ade1957a9135afe1b8dc,460,2015-06-16
108,3964ee41d4e2ade1957a9135afe1b8dc,452,2015-06-17
109,3964ee41d4e2ade1957a9135afe1b8dc,423,2015-06-18
110,3964ee41d4e2ade1957a9135afe1b8dc,532,2015-06-19
111,3964ee41d4e2ade1957a9135afe1b8dc,420,2015-06-20
112,3964ee41d4e2ade1957a9135afe1b8dc,398,2015-06-21
113,3964ee41d4e2ade1957a9135afe1b8dc,631,2015-06-22
114,3964ee41d4e2ade1957a9135afe1b8dc,446,2015-06-23
115,3964ee41d4e2ade1957a9135afe1b8dc,544,2015-06-24
116,3964ee41d4e2ade1957a9135afe1b8dc,523,2015-06-25
117,3964ee41d4e2ade1957a9135afe1b8dc,407,2015-06-26
118,3964ee41d4e2ade1957a9135afe1b8dc,451,2015-06-27
119,3964ee41d4e2ade1957a9135afe1b8dc,352,2015-06-28
120,3964ee41d4e2ade1957a9135afe1b8dc,507,2015-06-29
121,3964ee41d4e2ade1957a9135afe1b8dc,441,2015-06-30
122,3964ee41d4e2ade1957a9135afe1b8dc,400,2015-07-01
123,3964ee41d4e2ade1957a9135afe1b8dc,460,2015-07-02
124,3964ee41d4e2ade1957a9135afe1b8dc,434,2015-07-03
125,3964ee41d4e2ade1957a9135afe1b8dc,420,2015-07-04
126,3964ee41d4e2ade1957a9135afe1b8dc,497,2015-07-05
127,3964ee41d4e2ade1957a9135afe1b8dc,574,2015-07-06
128,3964ee41d4e2ade1957a9135afe1b8dc,514,2015-07-07
129,3964ee41d4e2ade1957a9135afe1b8dc,585,2015-07-08
130,3964ee41d4e2ade1957a9135afe1b8dc,631,2015-07-09
131,3964ee41d4e2ade1957a9135afe1b8dc,590,2015-07-10
132,3964ee41d4e2ade1957a9135afe1b8dc,486,2015-07-11
133,3964ee41d4e2ade1957a9135afe1b8dc,390,2015-07-12
134,3964ee41d4e2ade1957a9135afe1b8dc,471,2015-07-13
135,3964ee41d4e2ade1957a9135afe1b8dc,510,2015-07-14
136,3964ee41d4e2ade1957a9135afe1b8dc,461,2015-07-15
137,3964ee41d4e2ade1957a9135afe1b8dc,538,2015-07-16
138,3964ee41d4e2ade1957a9135afe1b8dc,427,2015-07-17
139,3964ee41d4e2ade1957a9135afe1b8dc,416,2015-07-18
140,3964ee41d4e2ade1957a9135afe1b8dc,436,2015-07-19
141,3964ee41d4e2ade1957a9135afe1b8dc,461,2015-07-20
142,3964ee41d4e2ade1957a9135afe1b8dc,481,2015-07-21
143,3964ee41d4e2ade1957a9135afe1b8dc,425,2015-07-22
144,3964ee41d4e2ade1957a9135afe1b8dc,434,2015-07-23
145,3964ee41d4e2ade1957a9135afe1b8dc,410,2015-07-24
146,3964ee41d4e2ade1957a9135afe1b8dc,363,2015-07-25
147,3964ee41d4e2ade1957a9135afe1b8dc,474,2015-07-26
148,3964ee41d4e2ade1957a9135afe1b8dc,503,2015-07-27
149,3964ee41d4e2ade1957a9135afe1b8dc,440,2015-07-28
150,3964ee41d4e2ade1957a9135afe1b8dc,505,2015-07-29
151,3964ee41d4e2ade1957a9135afe1b8dc,449,2015-07-30
152,3964ee41d4e2ade1957a9135afe1b8dc,513,2015-07-31
153,3964ee41d4e2ade1957a9135afe1b8dc,485,2015-08-01
154,3964ee41d4e2ade1957a9135afe1b8dc,447,2015-08-02
155,3964ee41d4e2ade1957a9135afe1b8dc,486,2015-08-03
156,3964ee41d4e2ade1957a9135afe1b8dc,460,2015-08-04
157,3964ee41d4e2ade1957a9135afe1b8dc,596,2015-08-05
158,3964ee41d4e2ade1957a9135afe1b8dc,433,2015-08-06
159,3964ee41d4e2ade1957a9135afe1b8dc,458,2015-08-07
160,3964ee41d4e2ade1957a9135afe1b8dc,478,2015-08-08
161,3964ee41d4e2ade1957a9135afe1b8dc,363,2015-08-09
162,3964ee41d4e2ade1957a9135afe1b8dc,450,2015-08-10
163,3964ee41d4e2ade1957a9135afe1b8dc,572,2015-08-11
164,3964ee41d4e2ade1957a9135afe1b8dc,523,2015-08-12
165,3964ee41d4e2ade1957a9135afe1b8dc,421,2015-08-13
166,3964ee41d4e2ade1957a9135afe1b8dc,588,2015-08-14
167,3964ee41d4e2ade1957a9135afe1b8dc,424,2015-08-15
