,artist_id,down,ds
0,42422dc00b814183c0216d1ed7fb3cd9,345,2015-03-01
1,42422dc00b814183c0216d1ed7fb3cd9,298,2015-03-02
2,42422dc00b814183c0216d1ed7fb3cd9,363,2015-03-03
3,42422dc00b814183c0216d1ed7fb3cd9,312,2015-03-04
4,42422dc00b814183c0216d1ed7fb3cd9,324,2015-03-05
5,42422dc00b814183c0216d1ed7fb3cd9,357,2015-03-06
6,42422dc00b814183c0216d1ed7fb3cd9,328,2015-03-07
7,42422dc00b814183c0216d1ed7fb3cd9,262,2015-03-08
8,42422dc00b814183c0216d1ed7fb3cd9,289,2015-03-09
9,42422dc00b814183c0216d1ed7fb3cd9,368,2015-03-10
10,42422dc00b814183c0216d1ed7fb3cd9,366,2015-03-11
11,42422dc00b814183c0216d1ed7fb3cd9,379,2015-03-12
12,42422dc00b814183c0216d1ed7fb3cd9,261,2015-03-13
13,42422dc00b814183c0216d1ed7fb3cd9,309,2015-03-14
14,42422dc00b814183c0216d1ed7fb3cd9,380,2015-03-15
15,42422dc00b814183c0216d1ed7fb3cd9,342,2015-03-16
16,42422dc00b814183c0216d1ed7fb3cd9,408,2015-03-17
17,42422dc00b814183c0216d1ed7fb3cd9,372,2015-03-18
18,42422dc00b814183c0216d1ed7fb3cd9,427,2015-03-19
19,42422dc00b814183c0216d1ed7fb3cd9,492,2015-03-20
20,42422dc00b814183c0216d1ed7fb3cd9,386,2015-03-21
21,42422dc00b814183c0216d1ed7fb3cd9,377,2015-03-22
22,42422dc00b814183c0216d1ed7fb3cd9,384,2015-03-23
23,42422dc00b814183c0216d1ed7fb3cd9,411,2015-03-24
24,42422dc00b814183c0216d1ed7fb3cd9,310,2015-03-25
25,42422dc00b814183c0216d1ed7fb3cd9,390,2015-03-26
26,42422dc00b814183c0216d1ed7fb3cd9,332,2015-03-27
27,42422dc00b814183c0216d1ed7fb3cd9,339,2015-03-28
28,42422dc00b814183c0216d1ed7fb3cd9,378,2015-03-29
29,42422dc00b814183c0216d1ed7fb3cd9,487,2015-03-30
30,42422dc00b814183c0216d1ed7fb3cd9,431,2015-03-31
31,42422dc00b814183c0216d1ed7fb3cd9,472,2015-04-01
32,42422dc00b814183c0216d1ed7fb3cd9,442,2015-04-02
33,42422dc00b814183c0216d1ed7fb3cd9,412,2015-04-03
34,42422dc00b814183c0216d1ed7fb3cd9,410,2015-04-04
35,42422dc00b814183c0216d1ed7fb3cd9,381,2015-04-05
36,42422dc00b814183c0216d1ed7fb3cd9,406,2015-04-06
37,42422dc00b814183c0216d1ed7fb3cd9,423,2015-04-07
38,42422dc00b814183c0216d1ed7fb3cd9,466,2015-04-08
39,42422dc00b814183c0216d1ed7fb3cd9,492,2015-04-09
40,42422dc00b814183c0216d1ed7fb3cd9,450,2015-04-10
41,42422dc00b814183c0216d1ed7fb3cd9,403,2015-04-11
42,42422dc00b814183c0216d1ed7fb3cd9,406,2015-04-12
43,42422dc00b814183c0216d1ed7fb3cd9,411,2015-04-13
44,42422dc00b814183c0216d1ed7fb3cd9,441,2015-04-14
45,42422dc00b814183c0216d1ed7fb3cd9,507,2015-04-15
46,42422dc00b814183c0216d1ed7fb3cd9,645,2015-04-16
47,42422dc00b814183c0216d1ed7fb3cd9,542,2015-04-17
48,42422dc00b814183c0216d1ed7fb3cd9,516,2015-04-18
49,42422dc00b814183c0216d1ed7fb3cd9,604,2015-04-19
50,42422dc00b814183c0216d1ed7fb3cd9,524,2015-04-20
51,42422dc00b814183c0216d1ed7fb3cd9,691,2015-04-21
52,42422dc00b814183c0216d1ed7fb3cd9,566,2015-04-22
53,42422dc00b814183c0216d1ed7fb3cd9,457,2015-04-23
54,42422dc00b814183c0216d1ed7fb3cd9,546,2015-04-24
55,42422dc00b814183c0216d1ed7fb3cd9,584,2015-04-25
56,42422dc00b814183c0216d1ed7fb3cd9,646,2015-04-26
57,42422dc00b814183c0216d1ed7fb3cd9,594,2015-04-27
58,42422dc00b814183c0216d1ed7fb3cd9,595,2015-04-28
59,42422dc00b814183c0216d1ed7fb3cd9,607,2015-04-29
60,42422dc00b814183c0216d1ed7fb3cd9,541,2015-04-30
61,42422dc00b814183c0216d1ed7fb3cd9,928,2015-05-01
62,42422dc00b814183c0216d1ed7fb3cd9,963,2015-05-02
