,artist_id,down,ds
0,53f4a671503519366ba36ad29152db78,253,2015-03-01
1,53f4a671503519366ba36ad29152db78,150,2015-03-02
2,53f4a671503519366ba36ad29152db78,175,2015-03-03
3,53f4a671503519366ba36ad29152db78,201,2015-03-04
4,53f4a671503519366ba36ad29152db78,218,2015-03-05
5,53f4a671503519366ba36ad29152db78,268,2015-03-06
6,53f4a671503519366ba36ad29152db78,343,2015-03-07
7,53f4a671503519366ba36ad29152db78,269,2015-03-08
8,53f4a671503519366ba36ad29152db78,322,2015-03-09
9,53f4a671503519366ba36ad29152db78,290,2015-03-10
10,53f4a671503519366ba36ad29152db78,420,2015-03-11
11,53f4a671503519366ba36ad29152db78,366,2015-03-12
12,53f4a671503519366ba36ad29152db78,207,2015-03-13
13,53f4a671503519366ba36ad29152db78,298,2015-03-14
14,53f4a671503519366ba36ad29152db78,331,2015-03-15
15,53f4a671503519366ba36ad29152db78,241,2015-03-16
16,53f4a671503519366ba36ad29152db78,188,2015-03-17
17,53f4a671503519366ba36ad29152db78,228,2015-03-18
18,53f4a671503519366ba36ad29152db78,317,2015-03-19
19,53f4a671503519366ba36ad29152db78,304,2015-03-20
20,53f4a671503519366ba36ad29152db78,194,2015-03-21
21,53f4a671503519366ba36ad29152db78,313,2015-03-22
22,53f4a671503519366ba36ad29152db78,290,2015-03-23
23,53f4a671503519366ba36ad29152db78,253,2015-03-24
24,53f4a671503519366ba36ad29152db78,204,2015-03-25
25,53f4a671503519366ba36ad29152db78,245,2015-03-26
26,53f4a671503519366ba36ad29152db78,202,2015-03-27
27,53f4a671503519366ba36ad29152db78,297,2015-03-28
28,53f4a671503519366ba36ad29152db78,243,2015-03-29
29,53f4a671503519366ba36ad29152db78,247,2015-03-30
30,53f4a671503519366ba36ad29152db78,288,2015-03-31
31,53f4a671503519366ba36ad29152db78,250,2015-04-01
32,53f4a671503519366ba36ad29152db78,226,2015-04-02
33,53f4a671503519366ba36ad29152db78,259,2015-04-03
34,53f4a671503519366ba36ad29152db78,276,2015-04-04
35,53f4a671503519366ba36ad29152db78,432,2015-04-05
36,53f4a671503519366ba36ad29152db78,331,2015-04-06
37,53f4a671503519366ba36ad29152db78,498,2015-04-07
38,53f4a671503519366ba36ad29152db78,273,2015-04-08
39,53f4a671503519366ba36ad29152db78,227,2015-04-09
40,53f4a671503519366ba36ad29152db78,278,2015-04-10
41,53f4a671503519366ba36ad29152db78,304,2015-04-11
42,53f4a671503519366ba36ad29152db78,220,2015-04-12
43,53f4a671503519366ba36ad29152db78,244,2015-04-13
44,53f4a671503519366ba36ad29152db78,261,2015-04-14
45,53f4a671503519366ba36ad29152db78,278,2015-04-15
46,53f4a671503519366ba36ad29152db78,270,2015-04-16
47,53f4a671503519366ba36ad29152db78,285,2015-04-17
48,53f4a671503519366ba36ad29152db78,348,2015-04-18
49,53f4a671503519366ba36ad29152db78,244,2015-04-19
50,53f4a671503519366ba36ad29152db78,318,2015-04-20
51,53f4a671503519366ba36ad29152db78,275,2015-04-21
52,53f4a671503519366ba36ad29152db78,266,2015-04-22
53,53f4a671503519366ba36ad29152db78,356,2015-04-23
54,53f4a671503519366ba36ad29152db78,399,2015-04-24
55,53f4a671503519366ba36ad29152db78,271,2015-04-25
56,53f4a671503519366ba36ad29152db78,256,2015-04-26
57,53f4a671503519366ba36ad29152db78,261,2015-04-27
58,53f4a671503519366ba36ad29152db78,203,2015-04-28
59,53f4a671503519366ba36ad29152db78,285,2015-04-29
60,53f4a671503519366ba36ad29152db78,219,2015-04-30
61,53f4a671503519366ba36ad29152db78,290,2015-05-01
62,53f4a671503519366ba36ad29152db78,390,2015-05-02
63,53f4a671503519366ba36ad29152db78,276,2015-05-03
64,53f4a671503519366ba36ad29152db78,223,2015-05-04
65,53f4a671503519366ba36ad29152db78,387,2015-05-05
66,53f4a671503519366ba36ad29152db78,337,2015-05-06
67,53f4a671503519366ba36ad29152db78,431,2015-05-07
68,53f4a671503519366ba36ad29152db78,314,2015-05-08
69,53f4a671503519366ba36ad29152db78,414,2015-05-09
70,53f4a671503519366ba36ad29152db78,399,2015-05-10
71,53f4a671503519366ba36ad29152db78,325,2015-05-11
72,53f4a671503519366ba36ad29152db78,373,2015-05-12
73,53f4a671503519366ba36ad29152db78,470,2015-05-13
74,53f4a671503519366ba36ad29152db78,533,2015-05-14
75,53f4a671503519366ba36ad29152db78,612,2015-05-15
76,53f4a671503519366ba36ad29152db78,329,2015-05-16
77,53f4a671503519366ba36ad29152db78,411,2015-05-17
78,53f4a671503519366ba36ad29152db78,387,2015-05-18
79,53f4a671503519366ba36ad29152db78,346,2015-05-19
80,53f4a671503519366ba36ad29152db78,341,2015-05-20
81,53f4a671503519366ba36ad29152db78,347,2015-05-21
82,53f4a671503519366ba36ad29152db78,280,2015-05-22
83,53f4a671503519366ba36ad29152db78,326,2015-05-23
84,53f4a671503519366ba36ad29152db78,267,2015-05-24
85,53f4a671503519366ba36ad29152db78,283,2015-05-25
86,53f4a671503519366ba36ad29152db78,510,2015-05-26
87,53f4a671503519366ba36ad29152db78,288,2015-05-27
88,53f4a671503519366ba36ad29152db78,198,2015-05-28
89,53f4a671503519366ba36ad29152db78,262,2015-05-29
90,53f4a671503519366ba36ad29152db78,277,2015-05-30
91,53f4a671503519366ba36ad29152db78,287,2015-05-31
92,53f4a671503519366ba36ad29152db78,246,2015-06-01
93,53f4a671503519366ba36ad29152db78,292,2015-06-02
94,53f4a671503519366ba36ad29152db78,341,2015-06-03
95,53f4a671503519366ba36ad29152db78,385,2015-06-04
96,53f4a671503519366ba36ad29152db78,316,2015-06-05
97,53f4a671503519366ba36ad29152db78,466,2015-06-06
98,53f4a671503519366ba36ad29152db78,262,2015-06-07
99,53f4a671503519366ba36ad29152db78,295,2015-06-08
100,53f4a671503519366ba36ad29152db78,343,2015-06-09
101,53f4a671503519366ba36ad29152db78,292,2015-06-10
102,53f4a671503519366ba36ad29152db78,231,2015-06-11
103,53f4a671503519366ba36ad29152db78,329,2015-06-12
104,53f4a671503519366ba36ad29152db78,291,2015-06-13
105,53f4a671503519366ba36ad29152db78,378,2015-06-14
106,53f4a671503519366ba36ad29152db78,333,2015-06-15
107,53f4a671503519366ba36ad29152db78,308,2015-06-16
108,53f4a671503519366ba36ad29152db78,295,2015-06-17
109,53f4a671503519366ba36ad29152db78,324,2015-06-18
110,53f4a671503519366ba36ad29152db78,379,2015-06-19
111,53f4a671503519366ba36ad29152db78,358,2015-06-20
112,53f4a671503519366ba36ad29152db78,283,2015-06-21
113,53f4a671503519366ba36ad29152db78,385,2015-06-22
114,53f4a671503519366ba36ad29152db78,270,2015-06-23
115,53f4a671503519366ba36ad29152db78,287,2015-06-24
116,53f4a671503519366ba36ad29152db78,228,2015-06-25
117,53f4a671503519366ba36ad29152db78,236,2015-06-26
118,53f4a671503519366ba36ad29152db78,308,2015-06-27
119,53f4a671503519366ba36ad29152db78,228,2015-06-28
120,53f4a671503519366ba36ad29152db78,357,2015-06-29
121,53f4a671503519366ba36ad29152db78,366,2015-06-30
122,53f4a671503519366ba36ad29152db78,316,2015-07-01
123,53f4a671503519366ba36ad29152db78,371,2015-07-02
124,53f4a671503519366ba36ad29152db78,313,2015-07-03
125,53f4a671503519366ba36ad29152db78,323,2015-07-04
126,53f4a671503519366ba36ad29152db78,336,2015-07-05
127,53f4a671503519366ba36ad29152db78,291,2015-07-06
128,53f4a671503519366ba36ad29152db78,279,2015-07-07
129,53f4a671503519366ba36ad29152db78,212,2015-07-08
130,53f4a671503519366ba36ad29152db78,445,2015-07-09
131,53f4a671503519366ba36ad29152db78,321,2015-07-10
132,53f4a671503519366ba36ad29152db78,251,2015-07-11
133,53f4a671503519366ba36ad29152db78,371,2015-07-12
134,53f4a671503519366ba36ad29152db78,280,2015-07-13
135,53f4a671503519366ba36ad29152db78,259,2015-07-14
136,53f4a671503519366ba36ad29152db78,353,2015-07-15
137,53f4a671503519366ba36ad29152db78,404,2015-07-16
138,53f4a671503519366ba36ad29152db78,411,2015-07-17
139,53f4a671503519366ba36ad29152db78,359,2015-07-18
140,53f4a671503519366ba36ad29152db78,415,2015-07-19
141,53f4a671503519366ba36ad29152db78,444,2015-07-20
142,53f4a671503519366ba36ad29152db78,394,2015-07-21
143,53f4a671503519366ba36ad29152db78,211,2015-07-22
144,53f4a671503519366ba36ad29152db78,262,2015-07-23
145,53f4a671503519366ba36ad29152db78,303,2015-07-24
146,53f4a671503519366ba36ad29152db78,367,2015-07-25
147,53f4a671503519366ba36ad29152db78,400,2015-07-26
148,53f4a671503519366ba36ad29152db78,225,2015-07-27
149,53f4a671503519366ba36ad29152db78,237,2015-07-28
150,53f4a671503519366ba36ad29152db78,311,2015-07-29
151,53f4a671503519366ba36ad29152db78,247,2015-07-30
152,53f4a671503519366ba36ad29152db78,319,2015-07-31
153,53f4a671503519366ba36ad29152db78,271,2015-08-01
154,53f4a671503519366ba36ad29152db78,432,2015-08-02
155,53f4a671503519366ba36ad29152db78,274,2015-08-03
156,53f4a671503519366ba36ad29152db78,258,2015-08-04
157,53f4a671503519366ba36ad29152db78,276,2015-08-05
158,53f4a671503519366ba36ad29152db78,270,2015-08-06
159,53f4a671503519366ba36ad29152db78,219,2015-08-07
160,53f4a671503519366ba36ad29152db78,387,2015-08-08
161,53f4a671503519366ba36ad29152db78,236,2015-08-09
162,53f4a671503519366ba36ad29152db78,323,2015-08-10
163,53f4a671503519366ba36ad29152db78,391,2015-08-11
164,53f4a671503519366ba36ad29152db78,330,2015-08-12
165,53f4a671503519366ba36ad29152db78,292,2015-08-13
166,53f4a671503519366ba36ad29152db78,283,2015-08-14
167,53f4a671503519366ba36ad29152db78,462,2015-08-15
168,53f4a671503519366ba36ad29152db78,444,2015-08-16
169,53f4a671503519366ba36ad29152db78,385,2015-08-17
170,53f4a671503519366ba36ad29152db78,335,2015-08-18
171,53f4a671503519366ba36ad29152db78,289,2015-08-19
172,53f4a671503519366ba36ad29152db78,338,2015-08-20
173,53f4a671503519366ba36ad29152db78,453,2015-08-21
174,53f4a671503519366ba36ad29152db78,331,2015-08-22
175,53f4a671503519366ba36ad29152db78,297,2015-08-23
176,53f4a671503519366ba36ad29152db78,263,2015-08-24
177,53f4a671503519366ba36ad29152db78,399,2015-08-25
178,53f4a671503519366ba36ad29152db78,277,2015-08-26
179,53f4a671503519366ba36ad29152db78,347,2015-08-27
180,53f4a671503519366ba36ad29152db78,321,2015-08-28
181,53f4a671503519366ba36ad29152db78,319,2015-08-29
182,53f4a671503519366ba36ad29152db78,341,2015-08-30
