,artist_id,down,ds
0,572a524c866685f2b0bdea2736e7c235,375,2015-03-01
1,572a524c866685f2b0bdea2736e7c235,471,2015-03-02
2,572a524c866685f2b0bdea2736e7c235,607,2015-03-03
3,572a524c866685f2b0bdea2736e7c235,594,2015-03-04
4,572a524c866685f2b0bdea2736e7c235,665,2015-03-05
5,572a524c866685f2b0bdea2736e7c235,427,2015-03-06
6,572a524c866685f2b0bdea2736e7c235,545,2015-03-07
7,572a524c866685f2b0bdea2736e7c235,549,2015-03-08
8,572a524c866685f2b0bdea2736e7c235,452,2015-03-09
9,572a524c866685f2b0bdea2736e7c235,439,2015-03-10
10,572a524c866685f2b0bdea2736e7c235,300,2015-03-11
11,572a524c866685f2b0bdea2736e7c235,310,2015-03-12
12,572a524c866685f2b0bdea2736e7c235,443,2015-03-13
13,572a524c866685f2b0bdea2736e7c235,417,2015-03-14
14,572a524c866685f2b0bdea2736e7c235,382,2015-03-15
15,572a524c866685f2b0bdea2736e7c235,391,2015-03-16
16,572a524c866685f2b0bdea2736e7c235,313,2015-03-17
17,572a524c866685f2b0bdea2736e7c235,396,2015-03-18
18,572a524c866685f2b0bdea2736e7c235,508,2015-03-19
19,572a524c866685f2b0bdea2736e7c235,432,2015-03-20
20,572a524c866685f2b0bdea2736e7c235,349,2015-03-21
21,572a524c866685f2b0bdea2736e7c235,333,2015-03-22
22,572a524c866685f2b0bdea2736e7c235,404,2015-03-23
23,572a524c866685f2b0bdea2736e7c235,303,2015-03-24
24,572a524c866685f2b0bdea2736e7c235,255,2015-03-25
25,572a524c866685f2b0bdea2736e7c235,273,2015-03-26
26,572a524c866685f2b0bdea2736e7c235,402,2015-03-27
27,572a524c866685f2b0bdea2736e7c235,253,2015-03-28
28,572a524c866685f2b0bdea2736e7c235,348,2015-03-29
29,572a524c866685f2b0bdea2736e7c235,289,2015-03-30
30,572a524c866685f2b0bdea2736e7c235,491,2015-03-31
31,572a524c866685f2b0bdea2736e7c235,435,2015-04-01
32,572a524c866685f2b0bdea2736e7c235,465,2015-04-02
33,572a524c866685f2b0bdea2736e7c235,399,2015-04-03
34,572a524c866685f2b0bdea2736e7c235,347,2015-04-04
35,572a524c866685f2b0bdea2736e7c235,292,2015-04-05
36,572a524c866685f2b0bdea2736e7c235,246,2015-04-06
37,572a524c866685f2b0bdea2736e7c235,249,2015-04-07
38,572a524c866685f2b0bdea2736e7c235,302,2015-04-08
39,572a524c866685f2b0bdea2736e7c235,332,2015-04-09
40,572a524c866685f2b0bdea2736e7c235,281,2015-04-10
41,572a524c866685f2b0bdea2736e7c235,202,2015-04-11
42,572a524c866685f2b0bdea2736e7c235,219,2015-04-12
43,572a524c866685f2b0bdea2736e7c235,333,2015-04-13
44,572a524c866685f2b0bdea2736e7c235,295,2015-04-14
45,572a524c866685f2b0bdea2736e7c235,306,2015-04-15
46,572a524c866685f2b0bdea2736e7c235,311,2015-04-16
47,572a524c866685f2b0bdea2736e7c235,338,2015-04-17
48,572a524c866685f2b0bdea2736e7c235,261,2015-04-18
49,572a524c866685f2b0bdea2736e7c235,245,2015-04-19
50,572a524c866685f2b0bdea2736e7c235,373,2015-04-20
51,572a524c866685f2b0bdea2736e7c235,345,2015-04-21
52,572a524c866685f2b0bdea2736e7c235,425,2015-04-22
53,572a524c866685f2b0bdea2736e7c235,259,2015-04-23
54,572a524c866685f2b0bdea2736e7c235,261,2015-04-24
55,572a524c866685f2b0bdea2736e7c235,194,2015-04-25
56,572a524c866685f2b0bdea2736e7c235,225,2015-04-26
57,572a524c866685f2b0bdea2736e7c235,263,2015-04-27
58,572a524c866685f2b0bdea2736e7c235,198,2015-04-28
59,572a524c866685f2b0bdea2736e7c235,237,2015-04-29
60,572a524c866685f2b0bdea2736e7c235,295,2015-04-30
61,572a524c866685f2b0bdea2736e7c235,200,2015-05-01
62,572a524c866685f2b0bdea2736e7c235,172,2015-05-02
63,572a524c866685f2b0bdea2736e7c235,279,2015-05-03
64,572a524c866685f2b0bdea2736e7c235,323,2015-05-04
65,572a524c866685f2b0bdea2736e7c235,251,2015-05-05
66,572a524c866685f2b0bdea2736e7c235,234,2015-05-06
67,572a524c866685f2b0bdea2736e7c235,256,2015-05-07
68,572a524c866685f2b0bdea2736e7c235,279,2015-05-08
69,572a524c866685f2b0bdea2736e7c235,308,2015-05-09
70,572a524c866685f2b0bdea2736e7c235,299,2015-05-10
71,572a524c866685f2b0bdea2736e7c235,219,2015-05-11
72,572a524c866685f2b0bdea2736e7c235,337,2015-05-12
73,572a524c866685f2b0bdea2736e7c235,239,2015-05-13
74,572a524c866685f2b0bdea2736e7c235,226,2015-05-14
75,572a524c866685f2b0bdea2736e7c235,284,2015-05-15
76,572a524c866685f2b0bdea2736e7c235,166,2015-05-16
77,572a524c866685f2b0bdea2736e7c235,195,2015-05-17
78,572a524c866685f2b0bdea2736e7c235,199,2015-05-18
79,572a524c866685f2b0bdea2736e7c235,221,2015-05-19
80,572a524c866685f2b0bdea2736e7c235,277,2015-05-20
81,572a524c866685f2b0bdea2736e7c235,433,2015-05-21
82,572a524c866685f2b0bdea2736e7c235,256,2015-05-22
83,572a524c866685f2b0bdea2736e7c235,218,2015-05-23
84,572a524c866685f2b0bdea2736e7c235,313,2015-05-24
85,572a524c866685f2b0bdea2736e7c235,285,2015-05-25
86,572a524c866685f2b0bdea2736e7c235,249,2015-05-26
87,572a524c866685f2b0bdea2736e7c235,278,2015-05-27
88,572a524c866685f2b0bdea2736e7c235,276,2015-05-28
89,572a524c866685f2b0bdea2736e7c235,194,2015-05-29
90,572a524c866685f2b0bdea2736e7c235,144,2015-05-30
91,572a524c866685f2b0bdea2736e7c235,274,2015-05-31
92,572a524c866685f2b0bdea2736e7c235,224,2015-06-01
93,572a524c866685f2b0bdea2736e7c235,262,2015-06-02
94,572a524c866685f2b0bdea2736e7c235,284,2015-06-03
95,572a524c866685f2b0bdea2736e7c235,245,2015-06-04
96,572a524c866685f2b0bdea2736e7c235,270,2015-06-05
97,572a524c866685f2b0bdea2736e7c235,320,2015-06-06
98,572a524c866685f2b0bdea2736e7c235,393,2015-06-07
99,572a524c866685f2b0bdea2736e7c235,337,2015-06-08
100,572a524c866685f2b0bdea2736e7c235,291,2015-06-09
101,572a524c866685f2b0bdea2736e7c235,323,2015-06-10
102,572a524c866685f2b0bdea2736e7c235,230,2015-06-11
103,572a524c866685f2b0bdea2736e7c235,249,2015-06-12
104,572a524c866685f2b0bdea2736e7c235,189,2015-06-13
105,572a524c866685f2b0bdea2736e7c235,296,2015-06-14
106,572a524c866685f2b0bdea2736e7c235,422,2015-06-15
107,572a524c866685f2b0bdea2736e7c235,360,2015-06-16
108,572a524c866685f2b0bdea2736e7c235,258,2015-06-17
109,572a524c866685f2b0bdea2736e7c235,405,2015-06-18
110,572a524c866685f2b0bdea2736e7c235,325,2015-06-19
111,572a524c866685f2b0bdea2736e7c235,236,2015-06-20
112,572a524c866685f2b0bdea2736e7c235,185,2015-06-21
113,572a524c866685f2b0bdea2736e7c235,213,2015-06-22
114,572a524c866685f2b0bdea2736e7c235,324,2015-06-23
115,572a524c866685f2b0bdea2736e7c235,286,2015-06-24
116,572a524c866685f2b0bdea2736e7c235,247,2015-06-25
117,572a524c866685f2b0bdea2736e7c235,326,2015-06-26
118,572a524c866685f2b0bdea2736e7c235,273,2015-06-27
119,572a524c866685f2b0bdea2736e7c235,345,2015-06-28
120,572a524c866685f2b0bdea2736e7c235,390,2015-06-29
121,572a524c866685f2b0bdea2736e7c235,399,2015-06-30
122,572a524c866685f2b0bdea2736e7c235,427,2015-07-01
123,572a524c866685f2b0bdea2736e7c235,415,2015-07-02
124,572a524c866685f2b0bdea2736e7c235,370,2015-07-03
125,572a524c866685f2b0bdea2736e7c235,316,2015-07-04
126,572a524c866685f2b0bdea2736e7c235,231,2015-07-05
127,572a524c866685f2b0bdea2736e7c235,281,2015-07-06
128,572a524c866685f2b0bdea2736e7c235,329,2015-07-07
129,572a524c866685f2b0bdea2736e7c235,309,2015-07-08
130,572a524c866685f2b0bdea2736e7c235,431,2015-07-09
131,572a524c866685f2b0bdea2736e7c235,267,2015-07-10
132,572a524c866685f2b0bdea2736e7c235,230,2015-07-11
133,572a524c866685f2b0bdea2736e7c235,301,2015-07-12
134,572a524c866685f2b0bdea2736e7c235,241,2015-07-13
135,572a524c866685f2b0bdea2736e7c235,334,2015-07-14
136,572a524c866685f2b0bdea2736e7c235,451,2015-07-15
137,572a524c866685f2b0bdea2736e7c235,439,2015-07-16
138,572a524c866685f2b0bdea2736e7c235,299,2015-07-17
139,572a524c866685f2b0bdea2736e7c235,245,2015-07-18
140,572a524c866685f2b0bdea2736e7c235,158,2015-07-19
141,572a524c866685f2b0bdea2736e7c235,194,2015-07-20
142,572a524c866685f2b0bdea2736e7c235,254,2015-07-21
143,572a524c866685f2b0bdea2736e7c235,334,2015-07-22
