,artist_id,down,ds
0,5dcba3c9cc855e910bcd92f6a5777b15,106,2015-03-01
1,5dcba3c9cc855e910bcd92f6a5777b15,130,2015-03-02
2,5dcba3c9cc855e910bcd92f6a5777b15,117,2015-03-03
3,5dcba3c9cc855e910bcd92f6a5777b15,117,2015-03-04
4,5dcba3c9cc855e910bcd92f6a5777b15,146,2015-03-05
5,5dcba3c9cc855e910bcd92f6a5777b15,123,2015-03-06
6,5dcba3c9cc855e910bcd92f6a5777b15,129,2015-03-07
7,5dcba3c9cc855e910bcd92f6a5777b15,112,2015-03-08
8,5dcba3c9cc855e910bcd92f6a5777b15,159,2015-03-09
9,5dcba3c9cc855e910bcd92f6a5777b15,115,2015-03-10
10,5dcba3c9cc855e910bcd92f6a5777b15,114,2015-03-11
11,5dcba3c9cc855e910bcd92f6a5777b15,108,2015-03-12
12,5dcba3c9cc855e910bcd92f6a5777b15,119,2015-03-13
13,5dcba3c9cc855e910bcd92f6a5777b15,122,2015-03-14
14,5dcba3c9cc855e910bcd92f6a5777b15,123,2015-03-15
15,5dcba3c9cc855e910bcd92f6a5777b15,152,2015-03-16
16,5dcba3c9cc855e910bcd92f6a5777b15,126,2015-03-17
17,5dcba3c9cc855e910bcd92f6a5777b15,130,2015-03-18
18,5dcba3c9cc855e910bcd92f6a5777b15,138,2015-03-19
19,5dcba3c9cc855e910bcd92f6a5777b15,144,2015-03-20
20,5dcba3c9cc855e910bcd92f6a5777b15,112,2015-03-21
21,5dcba3c9cc855e910bcd92f6a5777b15,177,2015-03-22
22,5dcba3c9cc855e910bcd92f6a5777b15,163,2015-03-23
23,5dcba3c9cc855e910bcd92f6a5777b15,164,2015-03-24
24,5dcba3c9cc855e910bcd92f6a5777b15,129,2015-03-25
25,5dcba3c9cc855e910bcd92f6a5777b15,142,2015-03-26
26,5dcba3c9cc855e910bcd92f6a5777b15,174,2015-03-27
27,5dcba3c9cc855e910bcd92f6a5777b15,161,2015-03-28
28,5dcba3c9cc855e910bcd92f6a5777b15,140,2015-03-29
29,5dcba3c9cc855e910bcd92f6a5777b15,173,2015-03-30
30,5dcba3c9cc855e910bcd92f6a5777b15,223,2015-03-31
31,5dcba3c9cc855e910bcd92f6a5777b15,246,2015-04-01
32,5dcba3c9cc855e910bcd92f6a5777b15,186,2015-04-02
33,5dcba3c9cc855e910bcd92f6a5777b15,222,2015-04-03
34,5dcba3c9cc855e910bcd92f6a5777b15,165,2015-04-04
35,5dcba3c9cc855e910bcd92f6a5777b15,180,2015-04-05
36,5dcba3c9cc855e910bcd92f6a5777b15,185,2015-04-06
37,5dcba3c9cc855e910bcd92f6a5777b15,201,2015-04-07
38,5dcba3c9cc855e910bcd92f6a5777b15,176,2015-04-08
39,5dcba3c9cc855e910bcd92f6a5777b15,167,2015-04-09
40,5dcba3c9cc855e910bcd92f6a5777b15,190,2015-04-10
41,5dcba3c9cc855e910bcd92f6a5777b15,223,2015-04-11
42,5dcba3c9cc855e910bcd92f6a5777b15,132,2015-04-12
43,5dcba3c9cc855e910bcd92f6a5777b15,179,2015-04-13
44,5dcba3c9cc855e910bcd92f6a5777b15,193,2015-04-14
45,5dcba3c9cc855e910bcd92f6a5777b15,216,2015-04-15
46,5dcba3c9cc855e910bcd92f6a5777b15,215,2015-04-16
47,5dcba3c9cc855e910bcd92f6a5777b15,197,2015-04-17
48,5dcba3c9cc855e910bcd92f6a5777b15,218,2015-04-18
49,5dcba3c9cc855e910bcd92f6a5777b15,221,2015-04-19
50,5dcba3c9cc855e910bcd92f6a5777b15,204,2015-04-20
51,5dcba3c9cc855e910bcd92f6a5777b15,228,2015-04-21
