,artist_id,down,ds
0,5e2ef5473cbbdb335f6d51dc57845437,353,2015-03-01
1,5e2ef5473cbbdb335f6d51dc57845437,321,2015-03-02
2,5e2ef5473cbbdb335f6d51dc57845437,387,2015-03-03
3,5e2ef5473cbbdb335f6d51dc57845437,410,2015-03-04
4,5e2ef5473cbbdb335f6d51dc57845437,716,2015-03-05
5,5e2ef5473cbbdb335f6d51dc57845437,425,2015-03-06
6,5e2ef5473cbbdb335f6d51dc57845437,440,2015-03-07
7,5e2ef5473cbbdb335f6d51dc57845437,396,2015-03-08
8,5e2ef5473cbbdb335f6d51dc57845437,307,2015-03-09
9,5e2ef5473cbbdb335f6d51dc57845437,338,2015-03-10
10,5e2ef5473cbbdb335f6d51dc57845437,398,2015-03-11
11,5e2ef5473cbbdb335f6d51dc57845437,395,2015-03-12
12,5e2ef5473cbbdb335f6d51dc57845437,477,2015-03-13
13,5e2ef5473cbbdb335f6d51dc57845437,500,2015-03-14
14,5e2ef5473cbbdb335f6d51dc57845437,425,2015-03-15
15,5e2ef5473cbbdb335f6d51dc57845437,461,2015-03-16
16,5e2ef5473cbbdb335f6d51dc57845437,402,2015-03-17
17,5e2ef5473cbbdb335f6d51dc57845437,398,2015-03-18
18,5e2ef5473cbbdb335f6d51dc57845437,528,2015-03-19
19,5e2ef5473cbbdb335f6d51dc57845437,542,2015-03-20
20,5e2ef5473cbbdb335f6d51dc57845437,463,2015-03-21
21,5e2ef5473cbbdb335f6d51dc57845437,476,2015-03-22
22,5e2ef5473cbbdb335f6d51dc57845437,472,2015-03-23
23,5e2ef5473cbbdb335f6d51dc57845437,488,2015-03-24
24,5e2ef5473cbbdb335f6d51dc57845437,377,2015-03-25
25,5e2ef5473cbbdb335f6d51dc57845437,370,2015-03-26
26,5e2ef5473cbbdb335f6d51dc57845437,423,2015-03-27
27,5e2ef5473cbbdb335f6d51dc57845437,397,2015-03-28
28,5e2ef5473cbbdb335f6d51dc57845437,344,2015-03-29
29,5e2ef5473cbbdb335f6d51dc57845437,383,2015-03-30
30,5e2ef5473cbbdb335f6d51dc57845437,384,2015-03-31
31,5e2ef5473cbbdb335f6d51dc57845437,483,2015-04-01
32,5e2ef5473cbbdb335f6d51dc57845437,533,2015-04-02
33,5e2ef5473cbbdb335f6d51dc57845437,573,2015-04-03
34,5e2ef5473cbbdb335f6d51dc57845437,474,2015-04-04
35,5e2ef5473cbbdb335f6d51dc57845437,493,2015-04-05
36,5e2ef5473cbbdb335f6d51dc57845437,509,2015-04-06
37,5e2ef5473cbbdb335f6d51dc57845437,490,2015-04-07
38,5e2ef5473cbbdb335f6d51dc57845437,577,2015-04-08
39,5e2ef5473cbbdb335f6d51dc57845437,484,2015-04-09
40,5e2ef5473cbbdb335f6d51dc57845437,637,2015-04-10
41,5e2ef5473cbbdb335f6d51dc57845437,867,2015-04-11
42,5e2ef5473cbbdb335f6d51dc57845437,836,2015-04-12
43,5e2ef5473cbbdb335f6d51dc57845437,622,2015-04-13
44,5e2ef5473cbbdb335f6d51dc57845437,545,2015-04-14
45,5e2ef5473cbbdb335f6d51dc57845437,650,2015-04-15
46,5e2ef5473cbbdb335f6d51dc57845437,594,2015-04-16
47,5e2ef5473cbbdb335f6d51dc57845437,546,2015-04-17
48,5e2ef5473cbbdb335f6d51dc57845437,482,2015-04-18
49,5e2ef5473cbbdb335f6d51dc57845437,493,2015-04-19
50,5e2ef5473cbbdb335f6d51dc57845437,597,2015-04-20
51,5e2ef5473cbbdb335f6d51dc57845437,643,2015-04-21
52,5e2ef5473cbbdb335f6d51dc57845437,513,2015-04-22
53,5e2ef5473cbbdb335f6d51dc57845437,539,2015-04-23
54,5e2ef5473cbbdb335f6d51dc57845437,613,2015-04-24
55,5e2ef5473cbbdb335f6d51dc57845437,499,2015-04-25
56,5e2ef5473cbbdb335f6d51dc57845437,519,2015-04-26
57,5e2ef5473cbbdb335f6d51dc57845437,501,2015-04-27
58,5e2ef5473cbbdb335f6d51dc57845437,565,2015-04-28
59,5e2ef5473cbbdb335f6d51dc57845437,433,2015-04-29
60,5e2ef5473cbbdb335f6d51dc57845437,499,2015-04-30
61,5e2ef5473cbbdb335f6d51dc57845437,451,2015-05-01
62,5e2ef5473cbbdb335f6d51dc57845437,484,2015-05-02
63,5e2ef5473cbbdb335f6d51dc57845437,593,2015-05-03
64,5e2ef5473cbbdb335f6d51dc57845437,544,2015-05-04
65,5e2ef5473cbbdb335f6d51dc57845437,533,2015-05-05
66,5e2ef5473cbbdb335f6d51dc57845437,560,2015-05-06
67,5e2ef5473cbbdb335f6d51dc57845437,474,2015-05-07
68,5e2ef5473cbbdb335f6d51dc57845437,573,2015-05-08
69,5e2ef5473cbbdb335f6d51dc57845437,530,2015-05-09
70,5e2ef5473cbbdb335f6d51dc57845437,415,2015-05-10
71,5e2ef5473cbbdb335f6d51dc57845437,486,2015-05-11
72,5e2ef5473cbbdb335f6d51dc57845437,659,2015-05-12
73,5e2ef5473cbbdb335f6d51dc57845437,705,2015-05-13
74,5e2ef5473cbbdb335f6d51dc57845437,601,2015-05-14
75,5e2ef5473cbbdb335f6d51dc57845437,549,2015-05-15
76,5e2ef5473cbbdb335f6d51dc57845437,558,2015-05-16
77,5e2ef5473cbbdb335f6d51dc57845437,606,2015-05-17
78,5e2ef5473cbbdb335f6d51dc57845437,414,2015-05-18
79,5e2ef5473cbbdb335f6d51dc57845437,489,2015-05-19
80,5e2ef5473cbbdb335f6d51dc57845437,665,2015-05-20
81,5e2ef5473cbbdb335f6d51dc57845437,476,2015-05-21
82,5e2ef5473cbbdb335f6d51dc57845437,497,2015-05-22
83,5e2ef5473cbbdb335f6d51dc57845437,599,2015-05-23
84,5e2ef5473cbbdb335f6d51dc57845437,604,2015-05-24
85,5e2ef5473cbbdb335f6d51dc57845437,492,2015-05-25
86,5e2ef5473cbbdb335f6d51dc57845437,528,2015-05-26
87,5e2ef5473cbbdb335f6d51dc57845437,469,2015-05-27
88,5e2ef5473cbbdb335f6d51dc57845437,425,2015-05-28
89,5e2ef5473cbbdb335f6d51dc57845437,578,2015-05-29
90,5e2ef5473cbbdb335f6d51dc57845437,464,2015-05-30
91,5e2ef5473cbbdb335f6d51dc57845437,511,2015-05-31
92,5e2ef5473cbbdb335f6d51dc57845437,465,2015-06-01
93,5e2ef5473cbbdb335f6d51dc57845437,464,2015-06-02
94,5e2ef5473cbbdb335f6d51dc57845437,443,2015-06-03
95,5e2ef5473cbbdb335f6d51dc57845437,564,2015-06-04
96,5e2ef5473cbbdb335f6d51dc57845437,481,2015-06-05
97,5e2ef5473cbbdb335f6d51dc57845437,486,2015-06-06
98,5e2ef5473cbbdb335f6d51dc57845437,437,2015-06-07
99,5e2ef5473cbbdb335f6d51dc57845437,644,2015-06-08
100,5e2ef5473cbbdb335f6d51dc57845437,622,2015-06-09
101,5e2ef5473cbbdb335f6d51dc57845437,492,2015-06-10
102,5e2ef5473cbbdb335f6d51dc57845437,551,2015-06-11
103,5e2ef5473cbbdb335f6d51dc57845437,543,2015-06-12
104,5e2ef5473cbbdb335f6d51dc57845437,411,2015-06-13
105,5e2ef5473cbbdb335f6d51dc57845437,578,2015-06-14
106,5e2ef5473cbbdb335f6d51dc57845437,465,2015-06-15
107,5e2ef5473cbbdb335f6d51dc57845437,473,2015-06-16
108,5e2ef5473cbbdb335f6d51dc57845437,549,2015-06-17
109,5e2ef5473cbbdb335f6d51dc57845437,709,2015-06-18
110,5e2ef5473cbbdb335f6d51dc57845437,566,2015-06-19
111,5e2ef5473cbbdb335f6d51dc57845437,439,2015-06-20
112,5e2ef5473cbbdb335f6d51dc57845437,499,2015-06-21
113,5e2ef5473cbbdb335f6d51dc57845437,855,2015-06-22
114,5e2ef5473cbbdb335f6d51dc57845437,786,2015-06-23
115,5e2ef5473cbbdb335f6d51dc57845437,613,2015-06-24
116,5e2ef5473cbbdb335f6d51dc57845437,632,2015-06-25
117,5e2ef5473cbbdb335f6d51dc57845437,621,2015-06-26
118,5e2ef5473cbbdb335f6d51dc57845437,565,2015-06-27
119,5e2ef5473cbbdb335f6d51dc57845437,672,2015-06-28
120,5e2ef5473cbbdb335f6d51dc57845437,661,2015-06-29
121,5e2ef5473cbbdb335f6d51dc57845437,703,2015-06-30
122,5e2ef5473cbbdb335f6d51dc57845437,630,2015-07-01
123,5e2ef5473cbbdb335f6d51dc57845437,670,2015-07-02
124,5e2ef5473cbbdb335f6d51dc57845437,590,2015-07-03
125,5e2ef5473cbbdb335f6d51dc57845437,673,2015-07-04
126,5e2ef5473cbbdb335f6d51dc57845437,554,2015-07-05
127,5e2ef5473cbbdb335f6d51dc57845437,684,2015-07-06
128,5e2ef5473cbbdb335f6d51dc57845437,776,2015-07-07
129,5e2ef5473cbbdb335f6d51dc57845437,681,2015-07-08
130,5e2ef5473cbbdb335f6d51dc57845437,763,2015-07-09
131,5e2ef5473cbbdb335f6d51dc57845437,984,2015-07-10
132,5e2ef5473cbbdb335f6d51dc57845437,1013,2015-07-11
133,5e2ef5473cbbdb335f6d51dc57845437,914,2015-07-12
134,5e2ef5473cbbdb335f6d51dc57845437,1060,2015-07-13
135,5e2ef5473cbbdb335f6d51dc57845437,1098,2015-07-14
136,5e2ef5473cbbdb335f6d51dc57845437,914,2015-07-15
137,5e2ef5473cbbdb335f6d51dc57845437,852,2015-07-16
138,5e2ef5473cbbdb335f6d51dc57845437,928,2015-07-17
139,5e2ef5473cbbdb335f6d51dc57845437,849,2015-07-18
140,5e2ef5473cbbdb335f6d51dc57845437,786,2015-07-19
141,5e2ef5473cbbdb335f6d51dc57845437,940,2015-07-20
142,5e2ef5473cbbdb335f6d51dc57845437,732,2015-07-21
143,5e2ef5473cbbdb335f6d51dc57845437,712,2015-07-22
144,5e2ef5473cbbdb335f6d51dc57845437,775,2015-07-23
145,5e2ef5473cbbdb335f6d51dc57845437,784,2015-07-24
146,5e2ef5473cbbdb335f6d51dc57845437,676,2015-07-25
147,5e2ef5473cbbdb335f6d51dc57845437,769,2015-07-26
148,5e2ef5473cbbdb335f6d51dc57845437,711,2015-07-27
149,5e2ef5473cbbdb335f6d51dc57845437,699,2015-07-28
150,5e2ef5473cbbdb335f6d51dc57845437,700,2015-07-29
151,5e2ef5473cbbdb335f6d51dc57845437,708,2015-07-30
152,5e2ef5473cbbdb335f6d51dc57845437,787,2015-07-31
153,5e2ef5473cbbdb335f6d51dc57845437,603,2015-08-01
154,5e2ef5473cbbdb335f6d51dc57845437,585,2015-08-02
155,5e2ef5473cbbdb335f6d51dc57845437,666,2015-08-03
156,5e2ef5473cbbdb335f6d51dc57845437,701,2015-08-04
157,5e2ef5473cbbdb335f6d51dc57845437,683,2015-08-05
158,5e2ef5473cbbdb335f6d51dc57845437,694,2015-08-06
159,5e2ef5473cbbdb335f6d51dc57845437,550,2015-08-07
160,5e2ef5473cbbdb335f6d51dc57845437,547,2015-08-08
161,5e2ef5473cbbdb335f6d51dc57845437,571,2015-08-09
162,5e2ef5473cbbdb335f6d51dc57845437,634,2015-08-10
163,5e2ef5473cbbdb335f6d51dc57845437,615,2015-08-11
164,5e2ef5473cbbdb335f6d51dc57845437,626,2015-08-12
165,5e2ef5473cbbdb335f6d51dc57845437,634,2015-08-13
166,5e2ef5473cbbdb335f6d51dc57845437,653,2015-08-14
167,5e2ef5473cbbdb335f6d51dc57845437,671,2015-08-15
168,5e2ef5473cbbdb335f6d51dc57845437,529,2015-08-16
169,5e2ef5473cbbdb335f6d51dc57845437,645,2015-08-17
170,5e2ef5473cbbdb335f6d51dc57845437,621,2015-08-18
171,5e2ef5473cbbdb335f6d51dc57845437,666,2015-08-19
172,5e2ef5473cbbdb335f6d51dc57845437,892,2015-08-20
173,5e2ef5473cbbdb335f6d51dc57845437,721,2015-08-21
174,5e2ef5473cbbdb335f6d51dc57845437,527,2015-08-22
175,5e2ef5473cbbdb335f6d51dc57845437,556,2015-08-23
176,5e2ef5473cbbdb335f6d51dc57845437,642,2015-08-24
177,5e2ef5473cbbdb335f6d51dc57845437,619,2015-08-25
178,5e2ef5473cbbdb335f6d51dc57845437,673,2015-08-26
179,5e2ef5473cbbdb335f6d51dc57845437,669,2015-08-27
180,5e2ef5473cbbdb335f6d51dc57845437,661,2015-08-28
