,artist_id,down,ds
0,61dfd882204789d7d0f70fee2b901cef,122,2015-03-01
1,61dfd882204789d7d0f70fee2b901cef,113,2015-03-02
2,61dfd882204789d7d0f70fee2b901cef,115,2015-03-03
3,61dfd882204789d7d0f70fee2b901cef,147,2015-03-04
4,61dfd882204789d7d0f70fee2b901cef,102,2015-03-05
5,61dfd882204789d7d0f70fee2b901cef,121,2015-03-06
6,61dfd882204789d7d0f70fee2b901cef,155,2015-03-07
7,61dfd882204789d7d0f70fee2b901cef,114,2015-03-08
8,61dfd882204789d7d0f70fee2b901cef,111,2015-03-09
9,61dfd882204789d7d0f70fee2b901cef,67,2015-03-10
10,61dfd882204789d7d0f70fee2b901cef,137,2015-03-11
11,61dfd882204789d7d0f70fee2b901cef,141,2015-03-12
12,61dfd882204789d7d0f70fee2b901cef,120,2015-03-13
13,61dfd882204789d7d0f70fee2b901cef,93,2015-03-14
14,61dfd882204789d7d0f70fee2b901cef,119,2015-03-15
15,61dfd882204789d7d0f70fee2b901cef,124,2015-03-16
16,61dfd882204789d7d0f70fee2b901cef,101,2015-03-17
17,61dfd882204789d7d0f70fee2b901cef,96,2015-03-18
18,61dfd882204789d7d0f70fee2b901cef,71,2015-03-19
19,61dfd882204789d7d0f70fee2b901cef,88,2015-03-20
20,61dfd882204789d7d0f70fee2b901cef,117,2015-03-21
21,61dfd882204789d7d0f70fee2b901cef,114,2015-03-22
22,61dfd882204789d7d0f70fee2b901cef,76,2015-03-23
23,61dfd882204789d7d0f70fee2b901cef,83,2015-03-24
24,61dfd882204789d7d0f70fee2b901cef,78,2015-03-25
25,61dfd882204789d7d0f70fee2b901cef,86,2015-03-26
26,61dfd882204789d7d0f70fee2b901cef,87,2015-03-27
27,61dfd882204789d7d0f70fee2b901cef,87,2015-03-28
28,61dfd882204789d7d0f70fee2b901cef,82,2015-03-29
29,61dfd882204789d7d0f70fee2b901cef,85,2015-03-30
30,61dfd882204789d7d0f70fee2b901cef,77,2015-03-31
31,61dfd882204789d7d0f70fee2b901cef,95,2015-04-01
32,61dfd882204789d7d0f70fee2b901cef,191,2015-04-02
33,61dfd882204789d7d0f70fee2b901cef,69,2015-04-03
34,61dfd882204789d7d0f70fee2b901cef,89,2015-04-04
35,61dfd882204789d7d0f70fee2b901cef,53,2015-04-05
36,61dfd882204789d7d0f70fee2b901cef,70,2015-04-06
37,61dfd882204789d7d0f70fee2b901cef,65,2015-04-07
38,61dfd882204789d7d0f70fee2b901cef,67,2015-04-08
39,61dfd882204789d7d0f70fee2b901cef,89,2015-04-09
40,61dfd882204789d7d0f70fee2b901cef,80,2015-04-10
41,61dfd882204789d7d0f70fee2b901cef,88,2015-04-11
42,61dfd882204789d7d0f70fee2b901cef,66,2015-04-12
43,61dfd882204789d7d0f70fee2b901cef,71,2015-04-13
44,61dfd882204789d7d0f70fee2b901cef,74,2015-04-14
45,61dfd882204789d7d0f70fee2b901cef,68,2015-04-15
46,61dfd882204789d7d0f70fee2b901cef,89,2015-04-16
47,61dfd882204789d7d0f70fee2b901cef,63,2015-04-17
48,61dfd882204789d7d0f70fee2b901cef,87,2015-04-18
49,61dfd882204789d7d0f70fee2b901cef,77,2015-04-19
50,61dfd882204789d7d0f70fee2b901cef,143,2015-04-20
51,61dfd882204789d7d0f70fee2b901cef,94,2015-04-21
52,61dfd882204789d7d0f70fee2b901cef,73,2015-04-22
53,61dfd882204789d7d0f70fee2b901cef,82,2015-04-23
54,61dfd882204789d7d0f70fee2b901cef,90,2015-04-24
55,61dfd882204789d7d0f70fee2b901cef,104,2015-04-25
56,61dfd882204789d7d0f70fee2b901cef,86,2015-04-26
57,61dfd882204789d7d0f70fee2b901cef,69,2015-04-27
58,61dfd882204789d7d0f70fee2b901cef,85,2015-04-28
59,61dfd882204789d7d0f70fee2b901cef,102,2015-04-29
60,61dfd882204789d7d0f70fee2b901cef,109,2015-04-30
61,61dfd882204789d7d0f70fee2b901cef,85,2015-05-01
62,61dfd882204789d7d0f70fee2b901cef,67,2015-05-02
63,61dfd882204789d7d0f70fee2b901cef,65,2015-05-03
64,61dfd882204789d7d0f70fee2b901cef,68,2015-05-04
65,61dfd882204789d7d0f70fee2b901cef,80,2015-05-05
