,artist_id,down,ds
0,6428a2b58ccd8fe4cd25ef1a156fcaff,217,2015-03-01
1,6428a2b58ccd8fe4cd25ef1a156fcaff,208,2015-03-02
2,6428a2b58ccd8fe4cd25ef1a156fcaff,370,2015-03-03
3,6428a2b58ccd8fe4cd25ef1a156fcaff,249,2015-03-04
4,6428a2b58ccd8fe4cd25ef1a156fcaff,237,2015-03-05
5,6428a2b58ccd8fe4cd25ef1a156fcaff,231,2015-03-06
6,6428a2b58ccd8fe4cd25ef1a156fcaff,257,2015-03-07
7,6428a2b58ccd8fe4cd25ef1a156fcaff,245,2015-03-08
8,6428a2b58ccd8fe4cd25ef1a156fcaff,278,2015-03-09
9,6428a2b58ccd8fe4cd25ef1a156fcaff,305,2015-03-10
10,6428a2b58ccd8fe4cd25ef1a156fcaff,273,2015-03-11
11,6428a2b58ccd8fe4cd25ef1a156fcaff,242,2015-03-12
12,6428a2b58ccd8fe4cd25ef1a156fcaff,266,2015-03-13
13,6428a2b58ccd8fe4cd25ef1a156fcaff,284,2015-03-14
14,6428a2b58ccd8fe4cd25ef1a156fcaff,248,2015-03-15
15,6428a2b58ccd8fe4cd25ef1a156fcaff,268,2015-03-16
16,6428a2b58ccd8fe4cd25ef1a156fcaff,264,2015-03-17
17,6428a2b58ccd8fe4cd25ef1a156fcaff,338,2015-03-18
18,6428a2b58ccd8fe4cd25ef1a156fcaff,319,2015-03-19
19,6428a2b58ccd8fe4cd25ef1a156fcaff,302,2015-03-20
20,6428a2b58ccd8fe4cd25ef1a156fcaff,420,2015-03-21
21,6428a2b58ccd8fe4cd25ef1a156fcaff,278,2015-03-22
22,6428a2b58ccd8fe4cd25ef1a156fcaff,270,2015-03-23
23,6428a2b58ccd8fe4cd25ef1a156fcaff,455,2015-03-24
24,6428a2b58ccd8fe4cd25ef1a156fcaff,308,2015-03-25
25,6428a2b58ccd8fe4cd25ef1a156fcaff,309,2015-03-26
26,6428a2b58ccd8fe4cd25ef1a156fcaff,327,2015-03-27
27,6428a2b58ccd8fe4cd25ef1a156fcaff,296,2015-03-28
28,6428a2b58ccd8fe4cd25ef1a156fcaff,225,2015-03-29
29,6428a2b58ccd8fe4cd25ef1a156fcaff,262,2015-03-30
