,artist_id,down,ds
0,67ed1f7f1374e64a93bfca4b44f66dd6,267,2015-03-01
1,67ed1f7f1374e64a93bfca4b44f66dd6,352,2015-03-02
2,67ed1f7f1374e64a93bfca4b44f66dd6,568,2015-03-03
3,67ed1f7f1374e64a93bfca4b44f66dd6,1561,2015-03-04
4,67ed1f7f1374e64a93bfca4b44f66dd6,2089,2015-03-05
5,67ed1f7f1374e64a93bfca4b44f66dd6,1604,2015-03-06
6,67ed1f7f1374e64a93bfca4b44f66dd6,1448,2015-03-07
7,67ed1f7f1374e64a93bfca4b44f66dd6,1294,2015-03-08
8,67ed1f7f1374e64a93bfca4b44f66dd6,1469,2015-03-09
9,67ed1f7f1374e64a93bfca4b44f66dd6,1303,2015-03-10
10,67ed1f7f1374e64a93bfca4b44f66dd6,1286,2015-03-11
11,67ed1f7f1374e64a93bfca4b44f66dd6,1068,2015-03-12
12,67ed1f7f1374e64a93bfca4b44f66dd6,1224,2015-03-13
13,67ed1f7f1374e64a93bfca4b44f66dd6,1441,2015-03-14
14,67ed1f7f1374e64a93bfca4b44f66dd6,1559,2015-03-15
15,67ed1f7f1374e64a93bfca4b44f66dd6,1491,2015-03-16
16,67ed1f7f1374e64a93bfca4b44f66dd6,1173,2015-03-17
17,67ed1f7f1374e64a93bfca4b44f66dd6,1314,2015-03-18
18,67ed1f7f1374e64a93bfca4b44f66dd6,1304,2015-03-19
19,67ed1f7f1374e64a93bfca4b44f66dd6,1149,2015-03-20
20,67ed1f7f1374e64a93bfca4b44f66dd6,1454,2015-03-21
21,67ed1f7f1374e64a93bfca4b44f66dd6,1341,2015-03-22
22,67ed1f7f1374e64a93bfca4b44f66dd6,1453,2015-03-23
23,67ed1f7f1374e64a93bfca4b44f66dd6,1306,2015-03-24
24,67ed1f7f1374e64a93bfca4b44f66dd6,1382,2015-03-25
25,67ed1f7f1374e64a93bfca4b44f66dd6,1515,2015-03-26
26,67ed1f7f1374e64a93bfca4b44f66dd6,1344,2015-03-27
27,67ed1f7f1374e64a93bfca4b44f66dd6,1297,2015-03-28
28,67ed1f7f1374e64a93bfca4b44f66dd6,1597,2015-03-29
29,67ed1f7f1374e64a93bfca4b44f66dd6,1208,2015-03-30
30,67ed1f7f1374e64a93bfca4b44f66dd6,1530,2015-03-31
31,67ed1f7f1374e64a93bfca4b44f66dd6,1755,2015-04-01
32,67ed1f7f1374e64a93bfca4b44f66dd6,1810,2015-04-02
