,artist_id,down,ds
0,6d4ecd79fd8a64039ecbfcce36019218,1579,2015-03-01
1,6d4ecd79fd8a64039ecbfcce36019218,1734,2015-03-02
2,6d4ecd79fd8a64039ecbfcce36019218,1707,2015-03-03
3,6d4ecd79fd8a64039ecbfcce36019218,1468,2015-03-04
4,6d4ecd79fd8a64039ecbfcce36019218,1215,2015-03-05
5,6d4ecd79fd8a64039ecbfcce36019218,1522,2015-03-06
6,6d4ecd79fd8a64039ecbfcce36019218,1353,2015-03-07
7,6d4ecd79fd8a64039ecbfcce36019218,1702,2015-03-08
8,6d4ecd79fd8a64039ecbfcce36019218,1768,2015-03-09
9,6d4ecd79fd8a64039ecbfcce36019218,1774,2015-03-10
10,6d4ecd79fd8a64039ecbfcce36019218,1976,2015-03-11
11,6d4ecd79fd8a64039ecbfcce36019218,1737,2015-03-12
12,6d4ecd79fd8a64039ecbfcce36019218,1784,2015-03-13
13,6d4ecd79fd8a64039ecbfcce36019218,1544,2015-03-14
14,6d4ecd79fd8a64039ecbfcce36019218,1622,2015-03-15
15,6d4ecd79fd8a64039ecbfcce36019218,1542,2015-03-16
16,6d4ecd79fd8a64039ecbfcce36019218,1744,2015-03-17
17,6d4ecd79fd8a64039ecbfcce36019218,1832,2015-03-18
18,6d4ecd79fd8a64039ecbfcce36019218,1568,2015-03-19
19,6d4ecd79fd8a64039ecbfcce36019218,1532,2015-03-20
20,6d4ecd79fd8a64039ecbfcce36019218,1608,2015-03-21
21,6d4ecd79fd8a64039ecbfcce36019218,1607,2015-03-22
22,6d4ecd79fd8a64039ecbfcce36019218,1601,2015-03-23
23,6d4ecd79fd8a64039ecbfcce36019218,1710,2015-03-24
24,6d4ecd79fd8a64039ecbfcce36019218,1624,2015-03-25
25,6d4ecd79fd8a64039ecbfcce36019218,1744,2015-03-26
26,6d4ecd79fd8a64039ecbfcce36019218,1520,2015-03-27
27,6d4ecd79fd8a64039ecbfcce36019218,1512,2015-03-28
28,6d4ecd79fd8a64039ecbfcce36019218,1933,2015-03-29
29,6d4ecd79fd8a64039ecbfcce36019218,1856,2015-03-30
30,6d4ecd79fd8a64039ecbfcce36019218,1945,2015-03-31
31,6d4ecd79fd8a64039ecbfcce36019218,2088,2015-04-01
32,6d4ecd79fd8a64039ecbfcce36019218,2075,2015-04-02
33,6d4ecd79fd8a64039ecbfcce36019218,2019,2015-04-03
34,6d4ecd79fd8a64039ecbfcce36019218,1881,2015-04-04
35,6d4ecd79fd8a64039ecbfcce36019218,1801,2015-04-05
36,6d4ecd79fd8a64039ecbfcce36019218,2153,2015-04-06
37,6d4ecd79fd8a64039ecbfcce36019218,1750,2015-04-07
38,6d4ecd79fd8a64039ecbfcce36019218,1758,2015-04-08
39,6d4ecd79fd8a64039ecbfcce36019218,1836,2015-04-09
40,6d4ecd79fd8a64039ecbfcce36019218,1778,2015-04-10
41,6d4ecd79fd8a64039ecbfcce36019218,1924,2015-04-11
42,6d4ecd79fd8a64039ecbfcce36019218,1891,2015-04-12
43,6d4ecd79fd8a64039ecbfcce36019218,1894,2015-04-13
44,6d4ecd79fd8a64039ecbfcce36019218,1847,2015-04-14
45,6d4ecd79fd8a64039ecbfcce36019218,1894,2015-04-15
46,6d4ecd79fd8a64039ecbfcce36019218,2131,2015-04-16
47,6d4ecd79fd8a64039ecbfcce36019218,1804,2015-04-17
48,6d4ecd79fd8a64039ecbfcce36019218,1881,2015-04-18
49,6d4ecd79fd8a64039ecbfcce36019218,1770,2015-04-19
50,6d4ecd79fd8a64039ecbfcce36019218,1890,2015-04-20
51,6d4ecd79fd8a64039ecbfcce36019218,1966,2015-04-21
52,6d4ecd79fd8a64039ecbfcce36019218,1960,2015-04-22
53,6d4ecd79fd8a64039ecbfcce36019218,2155,2015-04-23
54,6d4ecd79fd8a64039ecbfcce36019218,2136,2015-04-24
55,6d4ecd79fd8a64039ecbfcce36019218,2086,2015-04-25
56,6d4ecd79fd8a64039ecbfcce36019218,1973,2015-04-26
57,6d4ecd79fd8a64039ecbfcce36019218,2020,2015-04-27
58,6d4ecd79fd8a64039ecbfcce36019218,2012,2015-04-28
59,6d4ecd79fd8a64039ecbfcce36019218,2199,2015-04-29
60,6d4ecd79fd8a64039ecbfcce36019218,2313,2015-04-30
61,6d4ecd79fd8a64039ecbfcce36019218,1910,2015-05-01
62,6d4ecd79fd8a64039ecbfcce36019218,1866,2015-05-02
63,6d4ecd79fd8a64039ecbfcce36019218,1807,2015-05-03
64,6d4ecd79fd8a64039ecbfcce36019218,1834,2015-05-04
65,6d4ecd79fd8a64039ecbfcce36019218,1813,2015-05-05
66,6d4ecd79fd8a64039ecbfcce36019218,1987,2015-05-06
67,6d4ecd79fd8a64039ecbfcce36019218,2149,2015-05-07
68,6d4ecd79fd8a64039ecbfcce36019218,2034,2015-05-08
69,6d4ecd79fd8a64039ecbfcce36019218,1777,2015-05-09
70,6d4ecd79fd8a64039ecbfcce36019218,1946,2015-05-10
71,6d4ecd79fd8a64039ecbfcce36019218,1672,2015-05-11
72,6d4ecd79fd8a64039ecbfcce36019218,1979,2015-05-12
73,6d4ecd79fd8a64039ecbfcce36019218,1961,2015-05-13
74,6d4ecd79fd8a64039ecbfcce36019218,2092,2015-05-14
75,6d4ecd79fd8a64039ecbfcce36019218,1810,2015-05-15
76,6d4ecd79fd8a64039ecbfcce36019218,1728,2015-05-16
77,6d4ecd79fd8a64039ecbfcce36019218,1847,2015-05-17
78,6d4ecd79fd8a64039ecbfcce36019218,1909,2015-05-18
79,6d4ecd79fd8a64039ecbfcce36019218,1866,2015-05-19
80,6d4ecd79fd8a64039ecbfcce36019218,1904,2015-05-20
81,6d4ecd79fd8a64039ecbfcce36019218,2053,2015-05-21
82,6d4ecd79fd8a64039ecbfcce36019218,2032,2015-05-22
83,6d4ecd79fd8a64039ecbfcce36019218,1688,2015-05-23
84,6d4ecd79fd8a64039ecbfcce36019218,1869,2015-05-24
85,6d4ecd79fd8a64039ecbfcce36019218,1837,2015-05-25
86,6d4ecd79fd8a64039ecbfcce36019218,1853,2015-05-26
87,6d4ecd79fd8a64039ecbfcce36019218,1678,2015-05-27
88,6d4ecd79fd8a64039ecbfcce36019218,1952,2015-05-28
89,6d4ecd79fd8a64039ecbfcce36019218,1835,2015-05-29
90,6d4ecd79fd8a64039ecbfcce36019218,1777,2015-05-30
91,6d4ecd79fd8a64039ecbfcce36019218,1870,2015-05-31
92,6d4ecd79fd8a64039ecbfcce36019218,1856,2015-06-01
93,6d4ecd79fd8a64039ecbfcce36019218,1815,2015-06-02
94,6d4ecd79fd8a64039ecbfcce36019218,1796,2015-06-03
95,6d4ecd79fd8a64039ecbfcce36019218,2063,2015-06-04
96,6d4ecd79fd8a64039ecbfcce36019218,1781,2015-06-05
97,6d4ecd79fd8a64039ecbfcce36019218,1664,2015-06-06
98,6d4ecd79fd8a64039ecbfcce36019218,1727,2015-06-07
99,6d4ecd79fd8a64039ecbfcce36019218,2166,2015-06-08
100,6d4ecd79fd8a64039ecbfcce36019218,1940,2015-06-09
101,6d4ecd79fd8a64039ecbfcce36019218,1948,2015-06-10
102,6d4ecd79fd8a64039ecbfcce36019218,2119,2015-06-11
103,6d4ecd79fd8a64039ecbfcce36019218,1814,2015-06-12
104,6d4ecd79fd8a64039ecbfcce36019218,1606,2015-06-13
105,6d4ecd79fd8a64039ecbfcce36019218,1693,2015-06-14
106,6d4ecd79fd8a64039ecbfcce36019218,1832,2015-06-15
107,6d4ecd79fd8a64039ecbfcce36019218,1878,2015-06-16
108,6d4ecd79fd8a64039ecbfcce36019218,2142,2015-06-17
109,6d4ecd79fd8a64039ecbfcce36019218,1967,2015-06-18
110,6d4ecd79fd8a64039ecbfcce36019218,1850,2015-06-19
111,6d4ecd79fd8a64039ecbfcce36019218,1891,2015-06-20
112,6d4ecd79fd8a64039ecbfcce36019218,1680,2015-06-21
113,6d4ecd79fd8a64039ecbfcce36019218,1906,2015-06-22
114,6d4ecd79fd8a64039ecbfcce36019218,2023,2015-06-23
115,6d4ecd79fd8a64039ecbfcce36019218,2117,2015-06-24
116,6d4ecd79fd8a64039ecbfcce36019218,2508,2015-06-25
117,6d4ecd79fd8a64039ecbfcce36019218,1891,2015-06-26
118,6d4ecd79fd8a64039ecbfcce36019218,1945,2015-06-27
119,6d4ecd79fd8a64039ecbfcce36019218,1794,2015-06-28
120,6d4ecd79fd8a64039ecbfcce36019218,1883,2015-06-29
121,6d4ecd79fd8a64039ecbfcce36019218,1760,2015-06-30
122,6d4ecd79fd8a64039ecbfcce36019218,1944,2015-07-01
123,6d4ecd79fd8a64039ecbfcce36019218,2115,2015-07-02
124,6d4ecd79fd8a64039ecbfcce36019218,1969,2015-07-03
125,6d4ecd79fd8a64039ecbfcce36019218,1906,2015-07-04
126,6d4ecd79fd8a64039ecbfcce36019218,1854,2015-07-05
127,6d4ecd79fd8a64039ecbfcce36019218,1918,2015-07-06
128,6d4ecd79fd8a64039ecbfcce36019218,1904,2015-07-07
129,6d4ecd79fd8a64039ecbfcce36019218,2023,2015-07-08
130,6d4ecd79fd8a64039ecbfcce36019218,2195,2015-07-09
131,6d4ecd79fd8a64039ecbfcce36019218,2037,2015-07-10
132,6d4ecd79fd8a64039ecbfcce36019218,1745,2015-07-11
133,6d4ecd79fd8a64039ecbfcce36019218,1816,2015-07-12
134,6d4ecd79fd8a64039ecbfcce36019218,2274,2015-07-13
135,6d4ecd79fd8a64039ecbfcce36019218,2115,2015-07-14
136,6d4ecd79fd8a64039ecbfcce36019218,2155,2015-07-15
137,6d4ecd79fd8a64039ecbfcce36019218,2436,2015-07-16
138,6d4ecd79fd8a64039ecbfcce36019218,1972,2015-07-17
139,6d4ecd79fd8a64039ecbfcce36019218,1734,2015-07-18
