,artist_id,down,ds
0,7e0db58c13d033dafe5f5e1e70ff7eb4,637,2015-03-01
1,7e0db58c13d033dafe5f5e1e70ff7eb4,654,2015-03-02
2,7e0db58c13d033dafe5f5e1e70ff7eb4,709,2015-03-03
3,7e0db58c13d033dafe5f5e1e70ff7eb4,565,2015-03-04
4,7e0db58c13d033dafe5f5e1e70ff7eb4,606,2015-03-05
5,7e0db58c13d033dafe5f5e1e70ff7eb4,594,2015-03-06
6,7e0db58c13d033dafe5f5e1e70ff7eb4,565,2015-03-07
7,7e0db58c13d033dafe5f5e1e70ff7eb4,652,2015-03-08
8,7e0db58c13d033dafe5f5e1e70ff7eb4,586,2015-03-09
9,7e0db58c13d033dafe5f5e1e70ff7eb4,520,2015-03-10
10,7e0db58c13d033dafe5f5e1e70ff7eb4,684,2015-03-11
11,7e0db58c13d033dafe5f5e1e70ff7eb4,627,2015-03-12
12,7e0db58c13d033dafe5f5e1e70ff7eb4,720,2015-03-13
13,7e0db58c13d033dafe5f5e1e70ff7eb4,619,2015-03-14
14,7e0db58c13d033dafe5f5e1e70ff7eb4,583,2015-03-15
15,7e0db58c13d033dafe5f5e1e70ff7eb4,616,2015-03-16
16,7e0db58c13d033dafe5f5e1e70ff7eb4,606,2015-03-17
17,7e0db58c13d033dafe5f5e1e70ff7eb4,658,2015-03-18
18,7e0db58c13d033dafe5f5e1e70ff7eb4,644,2015-03-19
19,7e0db58c13d033dafe5f5e1e70ff7eb4,830,2015-03-20
20,7e0db58c13d033dafe5f5e1e70ff7eb4,780,2015-03-21
21,7e0db58c13d033dafe5f5e1e70ff7eb4,688,2015-03-22
22,7e0db58c13d033dafe5f5e1e70ff7eb4,843,2015-03-23
23,7e0db58c13d033dafe5f5e1e70ff7eb4,813,2015-03-24
24,7e0db58c13d033dafe5f5e1e70ff7eb4,708,2015-03-25
25,7e0db58c13d033dafe5f5e1e70ff7eb4,828,2015-03-26
26,7e0db58c13d033dafe5f5e1e70ff7eb4,759,2015-03-27
27,7e0db58c13d033dafe5f5e1e70ff7eb4,781,2015-03-28
28,7e0db58c13d033dafe5f5e1e70ff7eb4,690,2015-03-29
29,7e0db58c13d033dafe5f5e1e70ff7eb4,782,2015-03-30
30,7e0db58c13d033dafe5f5e1e70ff7eb4,868,2015-03-31
31,7e0db58c13d033dafe5f5e1e70ff7eb4,953,2015-04-01
32,7e0db58c13d033dafe5f5e1e70ff7eb4,1119,2015-04-02
33,7e0db58c13d033dafe5f5e1e70ff7eb4,1043,2015-04-03
34,7e0db58c13d033dafe5f5e1e70ff7eb4,865,2015-04-04
35,7e0db58c13d033dafe5f5e1e70ff7eb4,711,2015-04-05
36,7e0db58c13d033dafe5f5e1e70ff7eb4,844,2015-04-06
37,7e0db58c13d033dafe5f5e1e70ff7eb4,978,2015-04-07
38,7e0db58c13d033dafe5f5e1e70ff7eb4,937,2015-04-08
39,7e0db58c13d033dafe5f5e1e70ff7eb4,953,2015-04-09
40,7e0db58c13d033dafe5f5e1e70ff7eb4,989,2015-04-10
41,7e0db58c13d033dafe5f5e1e70ff7eb4,890,2015-04-11
42,7e0db58c13d033dafe5f5e1e70ff7eb4,863,2015-04-12
43,7e0db58c13d033dafe5f5e1e70ff7eb4,838,2015-04-13
44,7e0db58c13d033dafe5f5e1e70ff7eb4,932,2015-04-14
45,7e0db58c13d033dafe5f5e1e70ff7eb4,1027,2015-04-15
46,7e0db58c13d033dafe5f5e1e70ff7eb4,980,2015-04-16
47,7e0db58c13d033dafe5f5e1e70ff7eb4,1096,2015-04-17
48,7e0db58c13d033dafe5f5e1e70ff7eb4,835,2015-04-18
49,7e0db58c13d033dafe5f5e1e70ff7eb4,988,2015-04-19
50,7e0db58c13d033dafe5f5e1e70ff7eb4,1118,2015-04-20
51,7e0db58c13d033dafe5f5e1e70ff7eb4,1057,2015-04-21
52,7e0db58c13d033dafe5f5e1e70ff7eb4,1158,2015-04-22
53,7e0db58c13d033dafe5f5e1e70ff7eb4,1087,2015-04-23
54,7e0db58c13d033dafe5f5e1e70ff7eb4,911,2015-04-24
55,7e0db58c13d033dafe5f5e1e70ff7eb4,894,2015-04-25
56,7e0db58c13d033dafe5f5e1e70ff7eb4,1015,2015-04-26
57,7e0db58c13d033dafe5f5e1e70ff7eb4,1114,2015-04-27
58,7e0db58c13d033dafe5f5e1e70ff7eb4,845,2015-04-28
59,7e0db58c13d033dafe5f5e1e70ff7eb4,927,2015-04-29
60,7e0db58c13d033dafe5f5e1e70ff7eb4,899,2015-04-30
61,7e0db58c13d033dafe5f5e1e70ff7eb4,918,2015-05-01
62,7e0db58c13d033dafe5f5e1e70ff7eb4,781,2015-05-02
63,7e0db58c13d033dafe5f5e1e70ff7eb4,1077,2015-05-03
64,7e0db58c13d033dafe5f5e1e70ff7eb4,987,2015-05-04
65,7e0db58c13d033dafe5f5e1e70ff7eb4,957,2015-05-05
66,7e0db58c13d033dafe5f5e1e70ff7eb4,833,2015-05-06
67,7e0db58c13d033dafe5f5e1e70ff7eb4,958,2015-05-07
68,7e0db58c13d033dafe5f5e1e70ff7eb4,984,2015-05-08
69,7e0db58c13d033dafe5f5e1e70ff7eb4,905,2015-05-09
70,7e0db58c13d033dafe5f5e1e70ff7eb4,837,2015-05-10
71,7e0db58c13d033dafe5f5e1e70ff7eb4,832,2015-05-11
72,7e0db58c13d033dafe5f5e1e70ff7eb4,1065,2015-05-12
73,7e0db58c13d033dafe5f5e1e70ff7eb4,1149,2015-05-13
74,7e0db58c13d033dafe5f5e1e70ff7eb4,1083,2015-05-14
75,7e0db58c13d033dafe5f5e1e70ff7eb4,963,2015-05-15
76,7e0db58c13d033dafe5f5e1e70ff7eb4,830,2015-05-16
77,7e0db58c13d033dafe5f5e1e70ff7eb4,922,2015-05-17
78,7e0db58c13d033dafe5f5e1e70ff7eb4,974,2015-05-18
79,7e0db58c13d033dafe5f5e1e70ff7eb4,818,2015-05-19
80,7e0db58c13d033dafe5f5e1e70ff7eb4,894,2015-05-20
81,7e0db58c13d033dafe5f5e1e70ff7eb4,1066,2015-05-21
82,7e0db58c13d033dafe5f5e1e70ff7eb4,985,2015-05-22
83,7e0db58c13d033dafe5f5e1e70ff7eb4,839,2015-05-23
84,7e0db58c13d033dafe5f5e1e70ff7eb4,822,2015-05-24
85,7e0db58c13d033dafe5f5e1e70ff7eb4,874,2015-05-25
86,7e0db58c13d033dafe5f5e1e70ff7eb4,965,2015-05-26
87,7e0db58c13d033dafe5f5e1e70ff7eb4,971,2015-05-27
88,7e0db58c13d033dafe5f5e1e70ff7eb4,1080,2015-05-28
89,7e0db58c13d033dafe5f5e1e70ff7eb4,1119,2015-05-29
90,7e0db58c13d033dafe5f5e1e70ff7eb4,952,2015-05-30
91,7e0db58c13d033dafe5f5e1e70ff7eb4,915,2015-05-31
92,7e0db58c13d033dafe5f5e1e70ff7eb4,964,2015-06-01
93,7e0db58c13d033dafe5f5e1e70ff7eb4,877,2015-06-02
94,7e0db58c13d033dafe5f5e1e70ff7eb4,1169,2015-06-03
95,7e0db58c13d033dafe5f5e1e70ff7eb4,984,2015-06-04
96,7e0db58c13d033dafe5f5e1e70ff7eb4,956,2015-06-05
97,7e0db58c13d033dafe5f5e1e70ff7eb4,970,2015-06-06
98,7e0db58c13d033dafe5f5e1e70ff7eb4,885,2015-06-07
99,7e0db58c13d033dafe5f5e1e70ff7eb4,999,2015-06-08
100,7e0db58c13d033dafe5f5e1e70ff7eb4,1058,2015-06-09
101,7e0db58c13d033dafe5f5e1e70ff7eb4,1081,2015-06-10
102,7e0db58c13d033dafe5f5e1e70ff7eb4,1068,2015-06-11
103,7e0db58c13d033dafe5f5e1e70ff7eb4,1169,2015-06-12
104,7e0db58c13d033dafe5f5e1e70ff7eb4,947,2015-06-13
105,7e0db58c13d033dafe5f5e1e70ff7eb4,1080,2015-06-14
106,7e0db58c13d033dafe5f5e1e70ff7eb4,1101,2015-06-15
107,7e0db58c13d033dafe5f5e1e70ff7eb4,1010,2015-06-16
108,7e0db58c13d033dafe5f5e1e70ff7eb4,938,2015-06-17
109,7e0db58c13d033dafe5f5e1e70ff7eb4,1066,2015-06-18
110,7e0db58c13d033dafe5f5e1e70ff7eb4,1216,2015-06-19
111,7e0db58c13d033dafe5f5e1e70ff7eb4,965,2015-06-20
112,7e0db58c13d033dafe5f5e1e70ff7eb4,810,2015-06-21
113,7e0db58c13d033dafe5f5e1e70ff7eb4,969,2015-06-22
114,7e0db58c13d033dafe5f5e1e70ff7eb4,1010,2015-06-23
115,7e0db58c13d033dafe5f5e1e70ff7eb4,1166,2015-06-24
116,7e0db58c13d033dafe5f5e1e70ff7eb4,1050,2015-06-25
117,7e0db58c13d033dafe5f5e1e70ff7eb4,1153,2015-06-26
118,7e0db58c13d033dafe5f5e1e70ff7eb4,1092,2015-06-27
119,7e0db58c13d033dafe5f5e1e70ff7eb4,980,2015-06-28
