,artist_id,down,ds
0,92b57b5b5ad06e8cb5e152680601d697,975,2015-03-01
1,92b57b5b5ad06e8cb5e152680601d697,757,2015-03-02
2,92b57b5b5ad06e8cb5e152680601d697,870,2015-03-03
3,92b57b5b5ad06e8cb5e152680601d697,858,2015-03-04
4,92b57b5b5ad06e8cb5e152680601d697,749,2015-03-05
5,92b57b5b5ad06e8cb5e152680601d697,992,2015-03-06
6,92b57b5b5ad06e8cb5e152680601d697,1535,2015-03-07
7,92b57b5b5ad06e8cb5e152680601d697,1671,2015-03-08
8,92b57b5b5ad06e8cb5e152680601d697,1257,2015-03-09
9,92b57b5b5ad06e8cb5e152680601d697,1440,2015-03-10
10,92b57b5b5ad06e8cb5e152680601d697,1476,2015-03-11
11,92b57b5b5ad06e8cb5e152680601d697,1366,2015-03-12
12,92b57b5b5ad06e8cb5e152680601d697,1754,2015-03-13
13,92b57b5b5ad06e8cb5e152680601d697,1558,2015-03-14
14,92b57b5b5ad06e8cb5e152680601d697,1860,2015-03-15
15,92b57b5b5ad06e8cb5e152680601d697,1971,2015-03-16
16,92b57b5b5ad06e8cb5e152680601d697,1680,2015-03-17
17,92b57b5b5ad06e8cb5e152680601d697,1351,2015-03-18
18,92b57b5b5ad06e8cb5e152680601d697,1374,2015-03-19
19,92b57b5b5ad06e8cb5e152680601d697,2102,2015-03-20
20,92b57b5b5ad06e8cb5e152680601d697,1518,2015-03-21
21,92b57b5b5ad06e8cb5e152680601d697,1608,2015-03-22
22,92b57b5b5ad06e8cb5e152680601d697,1240,2015-03-23
23,92b57b5b5ad06e8cb5e152680601d697,1250,2015-03-24
24,92b57b5b5ad06e8cb5e152680601d697,1697,2015-03-25
25,92b57b5b5ad06e8cb5e152680601d697,1750,2015-03-26
26,92b57b5b5ad06e8cb5e152680601d697,1531,2015-03-27
27,92b57b5b5ad06e8cb5e152680601d697,1410,2015-03-28
28,92b57b5b5ad06e8cb5e152680601d697,1847,2015-03-29
29,92b57b5b5ad06e8cb5e152680601d697,1708,2015-03-30
30,92b57b5b5ad06e8cb5e152680601d697,1891,2015-03-31
31,92b57b5b5ad06e8cb5e152680601d697,1725,2015-04-01
32,92b57b5b5ad06e8cb5e152680601d697,2088,2015-04-02
33,92b57b5b5ad06e8cb5e152680601d697,1944,2015-04-03
34,92b57b5b5ad06e8cb5e152680601d697,1714,2015-04-04
35,92b57b5b5ad06e8cb5e152680601d697,1555,2015-04-05
36,92b57b5b5ad06e8cb5e152680601d697,2178,2015-04-06
37,92b57b5b5ad06e8cb5e152680601d697,2019,2015-04-07
38,92b57b5b5ad06e8cb5e152680601d697,1887,2015-04-08
39,92b57b5b5ad06e8cb5e152680601d697,1922,2015-04-09
40,92b57b5b5ad06e8cb5e152680601d697,1717,2015-04-10
41,92b57b5b5ad06e8cb5e152680601d697,1657,2015-04-11
42,92b57b5b5ad06e8cb5e152680601d697,1927,2015-04-12
