,artist_id,down,ds
0,9e58afbf3fea116b0050bf56bfb4442e,252,2015-03-01
1,9e58afbf3fea116b0050bf56bfb4442e,335,2015-03-02
2,9e58afbf3fea116b0050bf56bfb4442e,264,2015-03-03
3,9e58afbf3fea116b0050bf56bfb4442e,265,2015-03-04
4,9e58afbf3fea116b0050bf56bfb4442e,245,2015-03-05
5,9e58afbf3fea116b0050bf56bfb4442e,325,2015-03-06
6,9e58afbf3fea116b0050bf56bfb4442e,269,2015-03-07
7,9e58afbf3fea116b0050bf56bfb4442e,337,2015-03-08
8,9e58afbf3fea116b0050bf56bfb4442e,223,2015-03-09
9,9e58afbf3fea116b0050bf56bfb4442e,283,2015-03-10
10,9e58afbf3fea116b0050bf56bfb4442e,374,2015-03-11
11,9e58afbf3fea116b0050bf56bfb4442e,279,2015-03-12
12,9e58afbf3fea116b0050bf56bfb4442e,254,2015-03-13
13,9e58afbf3fea116b0050bf56bfb4442e,354,2015-03-14
14,9e58afbf3fea116b0050bf56bfb4442e,280,2015-03-15
15,9e58afbf3fea116b0050bf56bfb4442e,302,2015-03-16
16,9e58afbf3fea116b0050bf56bfb4442e,242,2015-03-17
17,9e58afbf3fea116b0050bf56bfb4442e,298,2015-03-18
18,9e58afbf3fea116b0050bf56bfb4442e,253,2015-03-19
19,9e58afbf3fea116b0050bf56bfb4442e,313,2015-03-20
20,9e58afbf3fea116b0050bf56bfb4442e,369,2015-03-21
21,9e58afbf3fea116b0050bf56bfb4442e,327,2015-03-22
22,9e58afbf3fea116b0050bf56bfb4442e,258,2015-03-23
23,9e58afbf3fea116b0050bf56bfb4442e,312,2015-03-24
24,9e58afbf3fea116b0050bf56bfb4442e,244,2015-03-25
25,9e58afbf3fea116b0050bf56bfb4442e,345,2015-03-26
26,9e58afbf3fea116b0050bf56bfb4442e,299,2015-03-27
27,9e58afbf3fea116b0050bf56bfb4442e,362,2015-03-28
28,9e58afbf3fea116b0050bf56bfb4442e,313,2015-03-29
29,9e58afbf3fea116b0050bf56bfb4442e,254,2015-03-30
30,9e58afbf3fea116b0050bf56bfb4442e,267,2015-03-31
31,9e58afbf3fea116b0050bf56bfb4442e,359,2015-04-01
32,9e58afbf3fea116b0050bf56bfb4442e,515,2015-04-02
33,9e58afbf3fea116b0050bf56bfb4442e,503,2015-04-03
34,9e58afbf3fea116b0050bf56bfb4442e,338,2015-04-04
35,9e58afbf3fea116b0050bf56bfb4442e,379,2015-04-05
36,9e58afbf3fea116b0050bf56bfb4442e,379,2015-04-06
37,9e58afbf3fea116b0050bf56bfb4442e,395,2015-04-07
38,9e58afbf3fea116b0050bf56bfb4442e,345,2015-04-08
39,9e58afbf3fea116b0050bf56bfb4442e,340,2015-04-09
40,9e58afbf3fea116b0050bf56bfb4442e,365,2015-04-10
41,9e58afbf3fea116b0050bf56bfb4442e,309,2015-04-11
42,9e58afbf3fea116b0050bf56bfb4442e,472,2015-04-12
43,9e58afbf3fea116b0050bf56bfb4442e,455,2015-04-13
44,9e58afbf3fea116b0050bf56bfb4442e,417,2015-04-14
45,9e58afbf3fea116b0050bf56bfb4442e,408,2015-04-15
46,9e58afbf3fea116b0050bf56bfb4442e,378,2015-04-16
47,9e58afbf3fea116b0050bf56bfb4442e,436,2015-04-17
48,9e58afbf3fea116b0050bf56bfb4442e,550,2015-04-18
49,9e58afbf3fea116b0050bf56bfb4442e,389,2015-04-19
50,9e58afbf3fea116b0050bf56bfb4442e,331,2015-04-20
51,9e58afbf3fea116b0050bf56bfb4442e,381,2015-04-21
52,9e58afbf3fea116b0050bf56bfb4442e,362,2015-04-22
53,9e58afbf3fea116b0050bf56bfb4442e,487,2015-04-23
54,9e58afbf3fea116b0050bf56bfb4442e,391,2015-04-24
55,9e58afbf3fea116b0050bf56bfb4442e,409,2015-04-25
56,9e58afbf3fea116b0050bf56bfb4442e,429,2015-04-26
57,9e58afbf3fea116b0050bf56bfb4442e,405,2015-04-27
58,9e58afbf3fea116b0050bf56bfb4442e,292,2015-04-28
59,9e58afbf3fea116b0050bf56bfb4442e,268,2015-04-29
60,9e58afbf3fea116b0050bf56bfb4442e,337,2015-04-30
61,9e58afbf3fea116b0050bf56bfb4442e,409,2015-05-01
62,9e58afbf3fea116b0050bf56bfb4442e,399,2015-05-02
63,9e58afbf3fea116b0050bf56bfb4442e,375,2015-05-03
64,9e58afbf3fea116b0050bf56bfb4442e,363,2015-05-04
65,9e58afbf3fea116b0050bf56bfb4442e,302,2015-05-05
