,artist_id,down,ds
0,aeae35529086c0b12777b314222d7930,1,2015-03-01
1,aeae35529086c0b12777b314222d7930,4,2015-03-02
2,aeae35529086c0b12777b314222d7930,4,2015-03-03
3,aeae35529086c0b12777b314222d7930,4,2015-03-04
4,aeae35529086c0b12777b314222d7930,2,2015-03-06
5,aeae35529086c0b12777b314222d7930,1,2015-03-07
6,aeae35529086c0b12777b314222d7930,5,2015-03-08
7,aeae35529086c0b12777b314222d7930,2,2015-03-10
8,aeae35529086c0b12777b314222d7930,9,2015-03-11
9,aeae35529086c0b12777b314222d7930,3,2015-03-13
10,aeae35529086c0b12777b314222d7930,3,2015-03-15
11,aeae35529086c0b12777b314222d7930,1,2015-03-18
12,aeae35529086c0b12777b314222d7930,1,2015-03-21
13,aeae35529086c0b12777b314222d7930,5,2015-03-24
14,aeae35529086c0b12777b314222d7930,1,2015-03-25
15,aeae35529086c0b12777b314222d7930,4,2015-03-26
16,aeae35529086c0b12777b314222d7930,1,2015-03-27
17,aeae35529086c0b12777b314222d7930,1,2015-03-28
18,aeae35529086c0b12777b314222d7930,3,2015-03-29
19,aeae35529086c0b12777b314222d7930,1,2015-03-30
20,aeae35529086c0b12777b314222d7930,4,2015-03-31
21,aeae35529086c0b12777b314222d7930,4,2015-04-01
22,aeae35529086c0b12777b314222d7930,2,2015-04-02
23,aeae35529086c0b12777b314222d7930,1,2015-04-03
24,aeae35529086c0b12777b314222d7930,2,2015-04-04
25,aeae35529086c0b12777b314222d7930,1,2015-04-05
26,aeae35529086c0b12777b314222d7930,2,2015-04-07
27,aeae35529086c0b12777b314222d7930,2,2015-04-08
28,aeae35529086c0b12777b314222d7930,1,2015-04-11
29,aeae35529086c0b12777b314222d7930,2,2015-04-12
30,aeae35529086c0b12777b314222d7930,1,2015-04-13
31,aeae35529086c0b12777b314222d7930,9,2015-04-14
32,aeae35529086c0b12777b314222d7930,4,2015-04-17
33,aeae35529086c0b12777b314222d7930,2,2015-04-18
34,aeae35529086c0b12777b314222d7930,4,2015-04-20
35,aeae35529086c0b12777b314222d7930,4,2015-04-21
36,aeae35529086c0b12777b314222d7930,2,2015-04-22
37,aeae35529086c0b12777b314222d7930,2,2015-04-23
38,aeae35529086c0b12777b314222d7930,1,2015-04-24
39,aeae35529086c0b12777b314222d7930,1,2015-04-26
40,aeae35529086c0b12777b314222d7930,1,2015-04-29
41,aeae35529086c0b12777b314222d7930,2,2015-05-01
42,aeae35529086c0b12777b314222d7930,7,2015-05-03
43,aeae35529086c0b12777b314222d7930,1,2015-05-04
44,aeae35529086c0b12777b314222d7930,1,2015-05-06
45,aeae35529086c0b12777b314222d7930,1,2015-05-07
46,aeae35529086c0b12777b314222d7930,1,2015-05-08
47,aeae35529086c0b12777b314222d7930,1,2015-05-09
48,aeae35529086c0b12777b314222d7930,3,2015-05-11
49,aeae35529086c0b12777b314222d7930,2,2015-05-15
50,aeae35529086c0b12777b314222d7930,4,2015-05-16
51,aeae35529086c0b12777b314222d7930,16,2015-05-17
52,aeae35529086c0b12777b314222d7930,9,2015-05-18
