,artist_id,down,ds
0,b15e8846dc61824c1242a6b36796117b,6874,2015-03-01
1,b15e8846dc61824c1242a6b36796117b,6013,2015-03-02
2,b15e8846dc61824c1242a6b36796117b,6488,2015-03-03
3,b15e8846dc61824c1242a6b36796117b,6485,2015-03-04
4,b15e8846dc61824c1242a6b36796117b,8624,2015-03-05
5,b15e8846dc61824c1242a6b36796117b,6734,2015-03-06
6,b15e8846dc61824c1242a6b36796117b,6275,2015-03-07
7,b15e8846dc61824c1242a6b36796117b,6210,2015-03-08
8,b15e8846dc61824c1242a6b36796117b,5828,2015-03-09
9,b15e8846dc61824c1242a6b36796117b,5847,2015-03-10
10,b15e8846dc61824c1242a6b36796117b,6992,2015-03-11
11,b15e8846dc61824c1242a6b36796117b,6005,2015-03-12
12,b15e8846dc61824c1242a6b36796117b,6446,2015-03-13
13,b15e8846dc61824c1242a6b36796117b,6241,2015-03-14
14,b15e8846dc61824c1242a6b36796117b,6216,2015-03-15
15,b15e8846dc61824c1242a6b36796117b,6095,2015-03-16
16,b15e8846dc61824c1242a6b36796117b,5935,2015-03-17
17,b15e8846dc61824c1242a6b36796117b,5693,2015-03-18
18,b15e8846dc61824c1242a6b36796117b,5869,2015-03-19
19,b15e8846dc61824c1242a6b36796117b,6606,2015-03-20
20,b15e8846dc61824c1242a6b36796117b,6217,2015-03-21
21,b15e8846dc61824c1242a6b36796117b,6049,2015-03-22
22,b15e8846dc61824c1242a6b36796117b,6152,2015-03-23
23,b15e8846dc61824c1242a6b36796117b,5630,2015-03-24
24,b15e8846dc61824c1242a6b36796117b,5609,2015-03-25
25,b15e8846dc61824c1242a6b36796117b,5148,2015-03-26
26,b15e8846dc61824c1242a6b36796117b,5479,2015-03-27
27,b15e8846dc61824c1242a6b36796117b,5158,2015-03-28
28,b15e8846dc61824c1242a6b36796117b,5427,2015-03-29
29,b15e8846dc61824c1242a6b36796117b,6031,2015-03-30
30,b15e8846dc61824c1242a6b36796117b,6682,2015-03-31
31,b15e8846dc61824c1242a6b36796117b,6357,2015-04-01
32,b15e8846dc61824c1242a6b36796117b,6076,2015-04-02
33,b15e8846dc61824c1242a6b36796117b,6008,2015-04-03
34,b15e8846dc61824c1242a6b36796117b,5651,2015-04-04
35,b15e8846dc61824c1242a6b36796117b,5636,2015-04-05
36,b15e8846dc61824c1242a6b36796117b,6738,2015-04-06
37,b15e8846dc61824c1242a6b36796117b,6224,2015-04-07
38,b15e8846dc61824c1242a6b36796117b,6305,2015-04-08
39,b15e8846dc61824c1242a6b36796117b,6316,2015-04-09
40,b15e8846dc61824c1242a6b36796117b,6374,2015-04-10
41,b15e8846dc61824c1242a6b36796117b,6142,2015-04-11
42,b15e8846dc61824c1242a6b36796117b,6874,2015-04-12
43,b15e8846dc61824c1242a6b36796117b,6649,2015-04-13
44,b15e8846dc61824c1242a6b36796117b,6244,2015-04-14
45,b15e8846dc61824c1242a6b36796117b,6393,2015-04-15
46,b15e8846dc61824c1242a6b36796117b,6228,2015-04-16
47,b15e8846dc61824c1242a6b36796117b,5860,2015-04-17
48,b15e8846dc61824c1242a6b36796117b,6358,2015-04-18
49,b15e8846dc61824c1242a6b36796117b,6171,2015-04-19
50,b15e8846dc61824c1242a6b36796117b,6359,2015-04-20
51,b15e8846dc61824c1242a6b36796117b,6381,2015-04-21
52,b15e8846dc61824c1242a6b36796117b,7489,2015-04-22
53,b15e8846dc61824c1242a6b36796117b,6792,2015-04-23
54,b15e8846dc61824c1242a6b36796117b,6597,2015-04-24
55,b15e8846dc61824c1242a6b36796117b,6119,2015-04-25
56,b15e8846dc61824c1242a6b36796117b,6098,2015-04-26
57,b15e8846dc61824c1242a6b36796117b,6444,2015-04-27
58,b15e8846dc61824c1242a6b36796117b,6361,2015-04-28
59,b15e8846dc61824c1242a6b36796117b,6246,2015-04-29
60,b15e8846dc61824c1242a6b36796117b,6714,2015-04-30
61,b15e8846dc61824c1242a6b36796117b,5779,2015-05-01
62,b15e8846dc61824c1242a6b36796117b,5585,2015-05-02
63,b15e8846dc61824c1242a6b36796117b,6123,2015-05-03
64,b15e8846dc61824c1242a6b36796117b,6134,2015-05-04
65,b15e8846dc61824c1242a6b36796117b,6213,2015-05-05
66,b15e8846dc61824c1242a6b36796117b,6203,2015-05-06
67,b15e8846dc61824c1242a6b36796117b,6906,2015-05-07
68,b15e8846dc61824c1242a6b36796117b,6696,2015-05-08
69,b15e8846dc61824c1242a6b36796117b,6473,2015-05-09
70,b15e8846dc61824c1242a6b36796117b,6658,2015-05-10
71,b15e8846dc61824c1242a6b36796117b,6226,2015-05-11
72,b15e8846dc61824c1242a6b36796117b,6334,2015-05-12
73,b15e8846dc61824c1242a6b36796117b,6598,2015-05-13
74,b15e8846dc61824c1242a6b36796117b,6430,2015-05-14
75,b15e8846dc61824c1242a6b36796117b,6273,2015-05-15
76,b15e8846dc61824c1242a6b36796117b,6236,2015-05-16
77,b15e8846dc61824c1242a6b36796117b,6015,2015-05-17
78,b15e8846dc61824c1242a6b36796117b,6470,2015-05-18
79,b15e8846dc61824c1242a6b36796117b,6804,2015-05-19
80,b15e8846dc61824c1242a6b36796117b,6305,2015-05-20
81,b15e8846dc61824c1242a6b36796117b,6545,2015-05-21
82,b15e8846dc61824c1242a6b36796117b,6207,2015-05-22
83,b15e8846dc61824c1242a6b36796117b,5977,2015-05-23
84,b15e8846dc61824c1242a6b36796117b,6428,2015-05-24
85,b15e8846dc61824c1242a6b36796117b,6611,2015-05-25
86,b15e8846dc61824c1242a6b36796117b,6588,2015-05-26
87,b15e8846dc61824c1242a6b36796117b,6530,2015-05-27
88,b15e8846dc61824c1242a6b36796117b,6292,2015-05-28
89,b15e8846dc61824c1242a6b36796117b,6242,2015-05-29
90,b15e8846dc61824c1242a6b36796117b,6331,2015-05-30
91,b15e8846dc61824c1242a6b36796117b,6219,2015-05-31
92,b15e8846dc61824c1242a6b36796117b,6231,2015-06-01
93,b15e8846dc61824c1242a6b36796117b,6593,2015-06-02
