,artist_id,down,ds
0,b6a175a48743caed6d035444c069ab64,85,2015-03-01
1,b6a175a48743caed6d035444c069ab64,77,2015-03-02
2,b6a175a48743caed6d035444c069ab64,47,2015-03-03
3,b6a175a48743caed6d035444c069ab64,72,2015-03-04
4,b6a175a48743caed6d035444c069ab64,89,2015-03-05
5,b6a175a48743caed6d035444c069ab64,61,2015-03-06
6,b6a175a48743caed6d035444c069ab64,90,2015-03-07
7,b6a175a48743caed6d035444c069ab64,126,2015-03-08
8,b6a175a48743caed6d035444c069ab64,81,2015-03-09
9,b6a175a48743caed6d035444c069ab64,89,2015-03-10
10,b6a175a48743caed6d035444c069ab64,71,2015-03-11
11,b6a175a48743caed6d035444c069ab64,89,2015-03-12
12,b6a175a48743caed6d035444c069ab64,63,2015-03-13
13,b6a175a48743caed6d035444c069ab64,72,2015-03-14
14,b6a175a48743caed6d035444c069ab64,75,2015-03-15
15,b6a175a48743caed6d035444c069ab64,126,2015-03-16
16,b6a175a48743caed6d035444c069ab64,91,2015-03-17
17,b6a175a48743caed6d035444c069ab64,96,2015-03-18
18,b6a175a48743caed6d035444c069ab64,48,2015-03-19
19,b6a175a48743caed6d035444c069ab64,69,2015-03-20
20,b6a175a48743caed6d035444c069ab64,107,2015-03-21
21,b6a175a48743caed6d035444c069ab64,74,2015-03-22
22,b6a175a48743caed6d035444c069ab64,80,2015-03-23
23,b6a175a48743caed6d035444c069ab64,75,2015-03-24
24,b6a175a48743caed6d035444c069ab64,77,2015-03-25
25,b6a175a48743caed6d035444c069ab64,109,2015-03-26
26,b6a175a48743caed6d035444c069ab64,72,2015-03-27
27,b6a175a48743caed6d035444c069ab64,84,2015-03-28
28,b6a175a48743caed6d035444c069ab64,110,2015-03-29
29,b6a175a48743caed6d035444c069ab64,159,2015-03-30
30,b6a175a48743caed6d035444c069ab64,128,2015-03-31
31,b6a175a48743caed6d035444c069ab64,123,2015-04-01
32,b6a175a48743caed6d035444c069ab64,136,2015-04-02
33,b6a175a48743caed6d035444c069ab64,112,2015-04-03
34,b6a175a48743caed6d035444c069ab64,100,2015-04-04
35,b6a175a48743caed6d035444c069ab64,131,2015-04-05
36,b6a175a48743caed6d035444c069ab64,139,2015-04-06
37,b6a175a48743caed6d035444c069ab64,108,2015-04-07
38,b6a175a48743caed6d035444c069ab64,114,2015-04-08
39,b6a175a48743caed6d035444c069ab64,113,2015-04-09
40,b6a175a48743caed6d035444c069ab64,198,2015-04-10
41,b6a175a48743caed6d035444c069ab64,127,2015-04-11
42,b6a175a48743caed6d035444c069ab64,169,2015-04-12
43,b6a175a48743caed6d035444c069ab64,106,2015-04-13
44,b6a175a48743caed6d035444c069ab64,105,2015-04-14
45,b6a175a48743caed6d035444c069ab64,125,2015-04-15
46,b6a175a48743caed6d035444c069ab64,135,2015-04-16
47,b6a175a48743caed6d035444c069ab64,113,2015-04-17
48,b6a175a48743caed6d035444c069ab64,155,2015-04-18
49,b6a175a48743caed6d035444c069ab64,122,2015-04-19
50,b6a175a48743caed6d035444c069ab64,111,2015-04-20
51,b6a175a48743caed6d035444c069ab64,113,2015-04-21
52,b6a175a48743caed6d035444c069ab64,140,2015-04-22
53,b6a175a48743caed6d035444c069ab64,99,2015-04-23
54,b6a175a48743caed6d035444c069ab64,135,2015-04-24
55,b6a175a48743caed6d035444c069ab64,129,2015-04-25
56,b6a175a48743caed6d035444c069ab64,145,2015-04-26
57,b6a175a48743caed6d035444c069ab64,89,2015-04-27
58,b6a175a48743caed6d035444c069ab64,119,2015-04-28
59,b6a175a48743caed6d035444c069ab64,190,2015-04-29
60,b6a175a48743caed6d035444c069ab64,129,2015-04-30
61,b6a175a48743caed6d035444c069ab64,113,2015-05-01
62,b6a175a48743caed6d035444c069ab64,100,2015-05-02
63,b6a175a48743caed6d035444c069ab64,127,2015-05-03
64,b6a175a48743caed6d035444c069ab64,115,2015-05-04
65,b6a175a48743caed6d035444c069ab64,112,2015-05-05
66,b6a175a48743caed6d035444c069ab64,125,2015-05-06
67,b6a175a48743caed6d035444c069ab64,142,2015-05-07
68,b6a175a48743caed6d035444c069ab64,128,2015-05-08
69,b6a175a48743caed6d035444c069ab64,122,2015-05-09
70,b6a175a48743caed6d035444c069ab64,159,2015-05-10
71,b6a175a48743caed6d035444c069ab64,151,2015-05-11
72,b6a175a48743caed6d035444c069ab64,194,2015-05-12
73,b6a175a48743caed6d035444c069ab64,150,2015-05-13
74,b6a175a48743caed6d035444c069ab64,141,2015-05-14
75,b6a175a48743caed6d035444c069ab64,147,2015-05-15
76,b6a175a48743caed6d035444c069ab64,205,2015-05-16
77,b6a175a48743caed6d035444c069ab64,151,2015-05-17
78,b6a175a48743caed6d035444c069ab64,127,2015-05-18
79,b6a175a48743caed6d035444c069ab64,147,2015-05-19
80,b6a175a48743caed6d035444c069ab64,134,2015-05-20
81,b6a175a48743caed6d035444c069ab64,153,2015-05-21
82,b6a175a48743caed6d035444c069ab64,113,2015-05-22
83,b6a175a48743caed6d035444c069ab64,117,2015-05-23
84,b6a175a48743caed6d035444c069ab64,161,2015-05-24
85,b6a175a48743caed6d035444c069ab64,101,2015-05-25
86,b6a175a48743caed6d035444c069ab64,95,2015-05-26
87,b6a175a48743caed6d035444c069ab64,102,2015-05-27
88,b6a175a48743caed6d035444c069ab64,77,2015-05-28
89,b6a175a48743caed6d035444c069ab64,97,2015-05-29
90,b6a175a48743caed6d035444c069ab64,92,2015-05-30
91,b6a175a48743caed6d035444c069ab64,91,2015-05-31
92,b6a175a48743caed6d035444c069ab64,119,2015-06-01
93,b6a175a48743caed6d035444c069ab64,141,2015-06-02
94,b6a175a48743caed6d035444c069ab64,97,2015-06-03
95,b6a175a48743caed6d035444c069ab64,118,2015-06-04
96,b6a175a48743caed6d035444c069ab64,112,2015-06-05
97,b6a175a48743caed6d035444c069ab64,128,2015-06-06
98,b6a175a48743caed6d035444c069ab64,163,2015-06-07
99,b6a175a48743caed6d035444c069ab64,104,2015-06-08
100,b6a175a48743caed6d035444c069ab64,147,2015-06-09
101,b6a175a48743caed6d035444c069ab64,127,2015-06-10
102,b6a175a48743caed6d035444c069ab64,110,2015-06-11
103,b6a175a48743caed6d035444c069ab64,143,2015-06-12
104,b6a175a48743caed6d035444c069ab64,141,2015-06-13
105,b6a175a48743caed6d035444c069ab64,92,2015-06-14
106,b6a175a48743caed6d035444c069ab64,125,2015-06-15
107,b6a175a48743caed6d035444c069ab64,98,2015-06-16
108,b6a175a48743caed6d035444c069ab64,130,2015-06-17
109,b6a175a48743caed6d035444c069ab64,115,2015-06-18
110,b6a175a48743caed6d035444c069ab64,157,2015-06-19
111,b6a175a48743caed6d035444c069ab64,156,2015-06-20
112,b6a175a48743caed6d035444c069ab64,257,2015-06-21
113,b6a175a48743caed6d035444c069ab64,165,2015-06-22
114,b6a175a48743caed6d035444c069ab64,125,2015-06-23
115,b6a175a48743caed6d035444c069ab64,111,2015-06-24
116,b6a175a48743caed6d035444c069ab64,177,2015-06-25
