,artist_id,down,ds
0,b79593426f5360c38beacd2a940b5f22,218,2015-03-01
1,b79593426f5360c38beacd2a940b5f22,172,2015-03-02
2,b79593426f5360c38beacd2a940b5f22,124,2015-03-03
3,b79593426f5360c38beacd2a940b5f22,112,2015-03-04
4,b79593426f5360c38beacd2a940b5f22,137,2015-03-05
5,b79593426f5360c38beacd2a940b5f22,363,2015-03-06
6,b79593426f5360c38beacd2a940b5f22,361,2015-03-07
7,b79593426f5360c38beacd2a940b5f22,383,2015-03-08
8,b79593426f5360c38beacd2a940b5f22,368,2015-03-09
9,b79593426f5360c38beacd2a940b5f22,350,2015-03-10
10,b79593426f5360c38beacd2a940b5f22,330,2015-03-11
11,b79593426f5360c38beacd2a940b5f22,310,2015-03-12
12,b79593426f5360c38beacd2a940b5f22,391,2015-03-13
13,b79593426f5360c38beacd2a940b5f22,391,2015-03-14
14,b79593426f5360c38beacd2a940b5f22,355,2015-03-15
15,b79593426f5360c38beacd2a940b5f22,349,2015-03-16
16,b79593426f5360c38beacd2a940b5f22,398,2015-03-17
17,b79593426f5360c38beacd2a940b5f22,361,2015-03-18
18,b79593426f5360c38beacd2a940b5f22,184,2015-03-19
19,b79593426f5360c38beacd2a940b5f22,195,2015-03-20
20,b79593426f5360c38beacd2a940b5f22,185,2015-03-21
21,b79593426f5360c38beacd2a940b5f22,227,2015-03-22
22,b79593426f5360c38beacd2a940b5f22,386,2015-03-23
23,b79593426f5360c38beacd2a940b5f22,179,2015-03-24
24,b79593426f5360c38beacd2a940b5f22,366,2015-03-25
25,b79593426f5360c38beacd2a940b5f22,377,2015-03-26
26,b79593426f5360c38beacd2a940b5f22,340,2015-03-27
27,b79593426f5360c38beacd2a940b5f22,406,2015-03-28
28,b79593426f5360c38beacd2a940b5f22,340,2015-03-29
29,b79593426f5360c38beacd2a940b5f22,370,2015-03-30
30,b79593426f5360c38beacd2a940b5f22,370,2015-03-31
31,b79593426f5360c38beacd2a940b5f22,401,2015-04-01
32,b79593426f5360c38beacd2a940b5f22,202,2015-04-02
33,b79593426f5360c38beacd2a940b5f22,293,2015-04-03
34,b79593426f5360c38beacd2a940b5f22,167,2015-04-04
35,b79593426f5360c38beacd2a940b5f22,231,2015-04-05
36,b79593426f5360c38beacd2a940b5f22,184,2015-04-06
37,b79593426f5360c38beacd2a940b5f22,176,2015-04-07
38,b79593426f5360c38beacd2a940b5f22,207,2015-04-08
39,b79593426f5360c38beacd2a940b5f22,184,2015-04-09
40,b79593426f5360c38beacd2a940b5f22,230,2015-04-10
41,b79593426f5360c38beacd2a940b5f22,224,2015-04-11
42,b79593426f5360c38beacd2a940b5f22,249,2015-04-12
43,b79593426f5360c38beacd2a940b5f22,432,2015-04-13
44,b79593426f5360c38beacd2a940b5f22,214,2015-04-14
45,b79593426f5360c38beacd2a940b5f22,353,2015-04-15
46,b79593426f5360c38beacd2a940b5f22,369,2015-04-16
47,b79593426f5360c38beacd2a940b5f22,175,2015-04-17
48,b79593426f5360c38beacd2a940b5f22,181,2015-04-18
49,b79593426f5360c38beacd2a940b5f22,272,2015-04-19
50,b79593426f5360c38beacd2a940b5f22,242,2015-04-20
51,b79593426f5360c38beacd2a940b5f22,175,2015-04-21
52,b79593426f5360c38beacd2a940b5f22,169,2015-04-22
53,b79593426f5360c38beacd2a940b5f22,201,2015-04-23
54,b79593426f5360c38beacd2a940b5f22,396,2015-04-24
55,b79593426f5360c38beacd2a940b5f22,315,2015-04-25
56,b79593426f5360c38beacd2a940b5f22,232,2015-04-26
57,b79593426f5360c38beacd2a940b5f22,202,2015-04-27
58,b79593426f5360c38beacd2a940b5f22,180,2015-04-28
59,b79593426f5360c38beacd2a940b5f22,138,2015-04-29
60,b79593426f5360c38beacd2a940b5f22,221,2015-04-30
61,b79593426f5360c38beacd2a940b5f22,306,2015-05-01
62,b79593426f5360c38beacd2a940b5f22,168,2015-05-02
63,b79593426f5360c38beacd2a940b5f22,138,2015-05-03
64,b79593426f5360c38beacd2a940b5f22,171,2015-05-04
65,b79593426f5360c38beacd2a940b5f22,432,2015-05-05
66,b79593426f5360c38beacd2a940b5f22,403,2015-05-06
67,b79593426f5360c38beacd2a940b5f22,166,2015-05-07
68,b79593426f5360c38beacd2a940b5f22,181,2015-05-08
69,b79593426f5360c38beacd2a940b5f22,222,2015-05-09
70,b79593426f5360c38beacd2a940b5f22,157,2015-05-10
71,b79593426f5360c38beacd2a940b5f22,161,2015-05-11
72,b79593426f5360c38beacd2a940b5f22,141,2015-05-12
73,b79593426f5360c38beacd2a940b5f22,144,2015-05-13
74,b79593426f5360c38beacd2a940b5f22,160,2015-05-14
75,b79593426f5360c38beacd2a940b5f22,187,2015-05-15
76,b79593426f5360c38beacd2a940b5f22,187,2015-05-16
77,b79593426f5360c38beacd2a940b5f22,224,2015-05-17
78,b79593426f5360c38beacd2a940b5f22,201,2015-05-18
79,b79593426f5360c38beacd2a940b5f22,202,2015-05-19
80,b79593426f5360c38beacd2a940b5f22,172,2015-05-20
81,b79593426f5360c38beacd2a940b5f22,159,2015-05-21
82,b79593426f5360c38beacd2a940b5f22,195,2015-05-22
