,artist_id,down,ds
0,be0c7a23c2aa9afb45163995b9ec938c,254,20150301
1,be0c7a23c2aa9afb45163995b9ec938c,327,20150302
2,be0c7a23c2aa9afb45163995b9ec938c,418,20150303
3,be0c7a23c2aa9afb45163995b9ec938c,399,20150304
4,be0c7a23c2aa9afb45163995b9ec938c,353,20150305
5,be0c7a23c2aa9afb45163995b9ec938c,405,20150306
6,be0c7a23c2aa9afb45163995b9ec938c,422,20150307
7,be0c7a23c2aa9afb45163995b9ec938c,395,20150308
8,be0c7a23c2aa9afb45163995b9ec938c,382,20150309
9,be0c7a23c2aa9afb45163995b9ec938c,347,20150310
10,be0c7a23c2aa9afb45163995b9ec938c,478,20150311
11,be0c7a23c2aa9afb45163995b9ec938c,406,20150312
12,be0c7a23c2aa9afb45163995b9ec938c,411,20150313
13,be0c7a23c2aa9afb45163995b9ec938c,460,20150314
14,be0c7a23c2aa9afb45163995b9ec938c,360,20150315
15,be0c7a23c2aa9afb45163995b9ec938c,416,20150316
16,be0c7a23c2aa9afb45163995b9ec938c,397,20150317
17,be0c7a23c2aa9afb45163995b9ec938c,475,20150318
18,be0c7a23c2aa9afb45163995b9ec938c,529,20150319
19,be0c7a23c2aa9afb45163995b9ec938c,375,20150320
20,be0c7a23c2aa9afb45163995b9ec938c,430,20150321
21,be0c7a23c2aa9afb45163995b9ec938c,457,20150322
22,be0c7a23c2aa9afb45163995b9ec938c,380,20150323
23,be0c7a23c2aa9afb45163995b9ec938c,476,20150324
24,be0c7a23c2aa9afb45163995b9ec938c,377,20150325
25,be0c7a23c2aa9afb45163995b9ec938c,353,20150326
26,be0c7a23c2aa9afb45163995b9ec938c,447,20150327
27,be0c7a23c2aa9afb45163995b9ec938c,346,20150328
28,be0c7a23c2aa9afb45163995b9ec938c,483,20150329
29,be0c7a23c2aa9afb45163995b9ec938c,316,20150330
30,be0c7a23c2aa9afb45163995b9ec938c,417,20150331
31,be0c7a23c2aa9afb45163995b9ec938c,474,20150401
32,be0c7a23c2aa9afb45163995b9ec938c,559,20150402
33,be0c7a23c2aa9afb45163995b9ec938c,441,20150403
34,be0c7a23c2aa9afb45163995b9ec938c,610,20150404
35,be0c7a23c2aa9afb45163995b9ec938c,419,20150405
36,be0c7a23c2aa9afb45163995b9ec938c,482,20150406
37,be0c7a23c2aa9afb45163995b9ec938c,559,20150407
38,be0c7a23c2aa9afb45163995b9ec938c,522,20150408
39,be0c7a23c2aa9afb45163995b9ec938c,576,20150409
40,be0c7a23c2aa9afb45163995b9ec938c,500,20150410
41,be0c7a23c2aa9afb45163995b9ec938c,612,20150411
42,be0c7a23c2aa9afb45163995b9ec938c,409,20150412
43,be0c7a23c2aa9afb45163995b9ec938c,504,20150413
44,be0c7a23c2aa9afb45163995b9ec938c,417,20150414
45,be0c7a23c2aa9afb45163995b9ec938c,629,20150415
46,be0c7a23c2aa9afb45163995b9ec938c,770,20150416
47,be0c7a23c2aa9afb45163995b9ec938c,825,20150417
48,be0c7a23c2aa9afb45163995b9ec938c,651,20150418
49,be0c7a23c2aa9afb45163995b9ec938c,598,20150419
50,be0c7a23c2aa9afb45163995b9ec938c,547,20150420
51,be0c7a23c2aa9afb45163995b9ec938c,559,20150421
52,be0c7a23c2aa9afb45163995b9ec938c,570,20150422
53,be0c7a23c2aa9afb45163995b9ec938c,550,20150423
54,be0c7a23c2aa9afb45163995b9ec938c,727,20150424
55,be0c7a23c2aa9afb45163995b9ec938c,583,20150425
56,be0c7a23c2aa9afb45163995b9ec938c,437,20150426
57,be0c7a23c2aa9afb45163995b9ec938c,595,20150427
58,be0c7a23c2aa9afb45163995b9ec938c,751,20150428
59,be0c7a23c2aa9afb45163995b9ec938c,554,20150429
60,be0c7a23c2aa9afb45163995b9ec938c,560,20150430
61,be0c7a23c2aa9afb45163995b9ec938c,627,20150501
62,be0c7a23c2aa9afb45163995b9ec938c,431,20150502
63,be0c7a23c2aa9afb45163995b9ec938c,604,20150503
64,be0c7a23c2aa9afb45163995b9ec938c,624,20150504
65,be0c7a23c2aa9afb45163995b9ec938c,1012,20150505
66,be0c7a23c2aa9afb45163995b9ec938c,1110,20150506
67,be0c7a23c2aa9afb45163995b9ec938c,1053,20150507
68,be0c7a23c2aa9afb45163995b9ec938c,1033,20150508
69,be0c7a23c2aa9afb45163995b9ec938c,851,20150509
70,be0c7a23c2aa9afb45163995b9ec938c,645,20150510
71,be0c7a23c2aa9afb45163995b9ec938c,692,20150511
72,be0c7a23c2aa9afb45163995b9ec938c,602,20150512
73,be0c7a23c2aa9afb45163995b9ec938c,678,20150513
