,artist_id,down,ds
0,c34f751524776063c5ef8d4d4ebd1d19,48,2015-03-01
1,c34f751524776063c5ef8d4d4ebd1d19,29,2015-03-02
2,c34f751524776063c5ef8d4d4ebd1d19,47,2015-03-03
3,c34f751524776063c5ef8d4d4ebd1d19,44,2015-03-04
4,c34f751524776063c5ef8d4d4ebd1d19,39,2015-03-05
5,c34f751524776063c5ef8d4d4ebd1d19,40,2015-03-06
6,c34f751524776063c5ef8d4d4ebd1d19,58,2015-03-07
7,c34f751524776063c5ef8d4d4ebd1d19,49,2015-03-08
8,c34f751524776063c5ef8d4d4ebd1d19,64,2015-03-09
9,c34f751524776063c5ef8d4d4ebd1d19,76,2015-03-10
10,c34f751524776063c5ef8d4d4ebd1d19,65,2015-03-11
11,c34f751524776063c5ef8d4d4ebd1d19,62,2015-03-12
12,c34f751524776063c5ef8d4d4ebd1d19,58,2015-03-13
13,c34f751524776063c5ef8d4d4ebd1d19,86,2015-03-14
14,c34f751524776063c5ef8d4d4ebd1d19,47,2015-03-15
15,c34f751524776063c5ef8d4d4ebd1d19,73,2015-03-16
16,c34f751524776063c5ef8d4d4ebd1d19,66,2015-03-17
17,c34f751524776063c5ef8d4d4ebd1d19,46,2015-03-18
18,c34f751524776063c5ef8d4d4ebd1d19,70,2015-03-19
19,c34f751524776063c5ef8d4d4ebd1d19,26,2015-03-20
20,c34f751524776063c5ef8d4d4ebd1d19,52,2015-03-21
21,c34f751524776063c5ef8d4d4ebd1d19,65,2015-03-22
22,c34f751524776063c5ef8d4d4ebd1d19,61,2015-03-23
23,c34f751524776063c5ef8d4d4ebd1d19,62,2015-03-24
24,c34f751524776063c5ef8d4d4ebd1d19,35,2015-03-25
25,c34f751524776063c5ef8d4d4ebd1d19,34,2015-03-26
26,c34f751524776063c5ef8d4d4ebd1d19,46,2015-03-27
27,c34f751524776063c5ef8d4d4ebd1d19,37,2015-03-28
28,c34f751524776063c5ef8d4d4ebd1d19,66,2015-03-29
29,c34f751524776063c5ef8d4d4ebd1d19,60,2015-03-30
30,c34f751524776063c5ef8d4d4ebd1d19,68,2015-03-31
31,c34f751524776063c5ef8d4d4ebd1d19,70,2015-04-01
32,c34f751524776063c5ef8d4d4ebd1d19,58,2015-04-02
33,c34f751524776063c5ef8d4d4ebd1d19,47,2015-04-03
34,c34f751524776063c5ef8d4d4ebd1d19,60,2015-04-04
35,c34f751524776063c5ef8d4d4ebd1d19,63,2015-04-05
36,c34f751524776063c5ef8d4d4ebd1d19,33,2015-04-06
37,c34f751524776063c5ef8d4d4ebd1d19,58,2015-04-07
38,c34f751524776063c5ef8d4d4ebd1d19,94,2015-04-08
39,c34f751524776063c5ef8d4d4ebd1d19,60,2015-04-09
40,c34f751524776063c5ef8d4d4ebd1d19,98,2015-04-10
41,c34f751524776063c5ef8d4d4ebd1d19,104,2015-04-11
42,c34f751524776063c5ef8d4d4ebd1d19,82,2015-04-12
43,c34f751524776063c5ef8d4d4ebd1d19,45,2015-04-13
44,c34f751524776063c5ef8d4d4ebd1d19,40,2015-04-14
45,c34f751524776063c5ef8d4d4ebd1d19,34,2015-04-15
46,c34f751524776063c5ef8d4d4ebd1d19,59,2015-04-16
47,c34f751524776063c5ef8d4d4ebd1d19,45,2015-04-17
48,c34f751524776063c5ef8d4d4ebd1d19,48,2015-04-18
49,c34f751524776063c5ef8d4d4ebd1d19,43,2015-04-19
50,c34f751524776063c5ef8d4d4ebd1d19,63,2015-04-20
51,c34f751524776063c5ef8d4d4ebd1d19,127,2015-04-21
52,c34f751524776063c5ef8d4d4ebd1d19,51,2015-04-22
53,c34f751524776063c5ef8d4d4ebd1d19,57,2015-04-23
54,c34f751524776063c5ef8d4d4ebd1d19,46,2015-04-24
55,c34f751524776063c5ef8d4d4ebd1d19,35,2015-04-25
56,c34f751524776063c5ef8d4d4ebd1d19,22,2015-04-26
57,c34f751524776063c5ef8d4d4ebd1d19,41,2015-04-27
58,c34f751524776063c5ef8d4d4ebd1d19,45,2015-04-28
59,c34f751524776063c5ef8d4d4ebd1d19,51,2015-04-29
60,c34f751524776063c5ef8d4d4ebd1d19,35,2015-04-30
61,c34f751524776063c5ef8d4d4ebd1d19,45,2015-05-01
62,c34f751524776063c5ef8d4d4ebd1d19,55,2015-05-02
63,c34f751524776063c5ef8d4d4ebd1d19,55,2015-05-03
64,c34f751524776063c5ef8d4d4ebd1d19,62,2015-05-04
65,c34f751524776063c5ef8d4d4ebd1d19,88,2015-05-05
66,c34f751524776063c5ef8d4d4ebd1d19,52,2015-05-06
67,c34f751524776063c5ef8d4d4ebd1d19,32,2015-05-07
68,c34f751524776063c5ef8d4d4ebd1d19,72,2015-05-08
69,c34f751524776063c5ef8d4d4ebd1d19,55,2015-05-09
70,c34f751524776063c5ef8d4d4ebd1d19,36,2015-05-10
71,c34f751524776063c5ef8d4d4ebd1d19,110,2015-05-11
72,c34f751524776063c5ef8d4d4ebd1d19,114,2015-05-12
73,c34f751524776063c5ef8d4d4ebd1d19,102,2015-05-13
74,c34f751524776063c5ef8d4d4ebd1d19,56,2015-05-14
75,c34f751524776063c5ef8d4d4ebd1d19,52,2015-05-15
76,c34f751524776063c5ef8d4d4ebd1d19,51,2015-05-16
77,c34f751524776063c5ef8d4d4ebd1d19,70,2015-05-17
78,c34f751524776063c5ef8d4d4ebd1d19,87,2015-05-18
79,c34f751524776063c5ef8d4d4ebd1d19,90,2015-05-19
80,c34f751524776063c5ef8d4d4ebd1d19,38,2015-05-20
81,c34f751524776063c5ef8d4d4ebd1d19,45,2015-05-21
82,c34f751524776063c5ef8d4d4ebd1d19,92,2015-05-22
83,c34f751524776063c5ef8d4d4ebd1d19,69,2015-05-23
84,c34f751524776063c5ef8d4d4ebd1d19,54,2015-05-24
85,c34f751524776063c5ef8d4d4ebd1d19,85,2015-05-25
86,c34f751524776063c5ef8d4d4ebd1d19,32,2015-05-26
87,c34f751524776063c5ef8d4d4ebd1d19,61,2015-05-27
88,c34f751524776063c5ef8d4d4ebd1d19,37,2015-05-28
89,c34f751524776063c5ef8d4d4ebd1d19,46,2015-05-29
90,c34f751524776063c5ef8d4d4ebd1d19,54,2015-05-30
91,c34f751524776063c5ef8d4d4ebd1d19,64,2015-05-31
92,c34f751524776063c5ef8d4d4ebd1d19,167,2015-06-01
93,c34f751524776063c5ef8d4d4ebd1d19,38,2015-06-02
94,c34f751524776063c5ef8d4d4ebd1d19,50,2015-06-03
95,c34f751524776063c5ef8d4d4ebd1d19,49,2015-06-04
96,c34f751524776063c5ef8d4d4ebd1d19,32,2015-06-05
97,c34f751524776063c5ef8d4d4ebd1d19,48,2015-06-06
98,c34f751524776063c5ef8d4d4ebd1d19,39,2015-06-07
99,c34f751524776063c5ef8d4d4ebd1d19,51,2015-06-08
100,c34f751524776063c5ef8d4d4ebd1d19,70,2015-06-09
101,c34f751524776063c5ef8d4d4ebd1d19,73,2015-06-10
102,c34f751524776063c5ef8d4d4ebd1d19,73,2015-06-11
103,c34f751524776063c5ef8d4d4ebd1d19,83,2015-06-12
104,c34f751524776063c5ef8d4d4ebd1d19,69,2015-06-13
105,c34f751524776063c5ef8d4d4ebd1d19,49,2015-06-14
106,c34f751524776063c5ef8d4d4ebd1d19,43,2015-06-15
107,c34f751524776063c5ef8d4d4ebd1d19,150,2015-06-16
108,c34f751524776063c5ef8d4d4ebd1d19,71,2015-06-17
109,c34f751524776063c5ef8d4d4ebd1d19,61,2015-06-18
110,c34f751524776063c5ef8d4d4ebd1d19,53,2015-06-19
111,c34f751524776063c5ef8d4d4ebd1d19,50,2015-06-20
112,c34f751524776063c5ef8d4d4ebd1d19,44,2015-06-21
113,c34f751524776063c5ef8d4d4ebd1d19,57,2015-06-22
114,c34f751524776063c5ef8d4d4ebd1d19,71,2015-06-23
115,c34f751524776063c5ef8d4d4ebd1d19,60,2015-06-24
116,c34f751524776063c5ef8d4d4ebd1d19,80,2015-06-25
117,c34f751524776063c5ef8d4d4ebd1d19,84,2015-06-26
118,c34f751524776063c5ef8d4d4ebd1d19,44,2015-06-27
119,c34f751524776063c5ef8d4d4ebd1d19,64,2015-06-28
120,c34f751524776063c5ef8d4d4ebd1d19,79,2015-06-29
121,c34f751524776063c5ef8d4d4ebd1d19,91,2015-06-30
122,c34f751524776063c5ef8d4d4ebd1d19,95,2015-07-01
123,c34f751524776063c5ef8d4d4ebd1d19,72,2015-07-02
124,c34f751524776063c5ef8d4d4ebd1d19,49,2015-07-03
125,c34f751524776063c5ef8d4d4ebd1d19,80,2015-07-04
126,c34f751524776063c5ef8d4d4ebd1d19,90,2015-07-05
127,c34f751524776063c5ef8d4d4ebd1d19,65,2015-07-06
128,c34f751524776063c5ef8d4d4ebd1d19,67,2015-07-07
129,c34f751524776063c5ef8d4d4ebd1d19,82,2015-07-08
130,c34f751524776063c5ef8d4d4ebd1d19,59,2015-07-09
131,c34f751524776063c5ef8d4d4ebd1d19,77,2015-07-10
132,c34f751524776063c5ef8d4d4ebd1d19,44,2015-07-11
133,c34f751524776063c5ef8d4d4ebd1d19,49,2015-07-12
134,c34f751524776063c5ef8d4d4ebd1d19,52,2015-07-13
135,c34f751524776063c5ef8d4d4ebd1d19,65,2015-07-14
136,c34f751524776063c5ef8d4d4ebd1d19,63,2015-07-15
137,c34f751524776063c5ef8d4d4ebd1d19,59,2015-07-16
