,artist_id,down,ds
0,c5eac1d455675dfbc99f6c70f7b3971f,26,2015-03-01
1,c5eac1d455675dfbc99f6c70f7b3971f,26,2015-03-02
2,c5eac1d455675dfbc99f6c70f7b3971f,71,2015-03-03
3,c5eac1d455675dfbc99f6c70f7b3971f,54,2015-03-04
4,c5eac1d455675dfbc99f6c70f7b3971f,33,2015-03-05
5,c5eac1d455675dfbc99f6c70f7b3971f,34,2015-03-06
6,c5eac1d455675dfbc99f6c70f7b3971f,101,2015-03-07
7,c5eac1d455675dfbc99f6c70f7b3971f,53,2015-03-08
8,c5eac1d455675dfbc99f6c70f7b3971f,36,2015-03-09
9,c5eac1d455675dfbc99f6c70f7b3971f,153,2015-03-10
10,c5eac1d455675dfbc99f6c70f7b3971f,42,2015-03-11
11,c5eac1d455675dfbc99f6c70f7b3971f,60,2015-03-12
12,c5eac1d455675dfbc99f6c70f7b3971f,25,2015-03-13
13,c5eac1d455675dfbc99f6c70f7b3971f,180,2015-03-14
14,c5eac1d455675dfbc99f6c70f7b3971f,7,2015-03-15
15,c5eac1d455675dfbc99f6c70f7b3971f,16,2015-03-16
16,c5eac1d455675dfbc99f6c70f7b3971f,23,2015-03-17
17,c5eac1d455675dfbc99f6c70f7b3971f,14,2015-03-18
18,c5eac1d455675dfbc99f6c70f7b3971f,103,2015-03-19
19,c5eac1d455675dfbc99f6c70f7b3971f,52,2015-03-20
20,c5eac1d455675dfbc99f6c70f7b3971f,57,2015-03-21
21,c5eac1d455675dfbc99f6c70f7b3971f,136,2015-03-22
22,c5eac1d455675dfbc99f6c70f7b3971f,21,2015-03-23
23,c5eac1d455675dfbc99f6c70f7b3971f,16,2015-03-24
24,c5eac1d455675dfbc99f6c70f7b3971f,9,2015-03-25
25,c5eac1d455675dfbc99f6c70f7b3971f,13,2015-03-26
26,c5eac1d455675dfbc99f6c70f7b3971f,42,2015-03-27
27,c5eac1d455675dfbc99f6c70f7b3971f,41,2015-03-28
28,c5eac1d455675dfbc99f6c70f7b3971f,23,2015-03-29
29,c5eac1d455675dfbc99f6c70f7b3971f,15,2015-03-30
30,c5eac1d455675dfbc99f6c70f7b3971f,23,2015-03-31
31,c5eac1d455675dfbc99f6c70f7b3971f,17,2015-04-01
32,c5eac1d455675dfbc99f6c70f7b3971f,16,2015-04-02
33,c5eac1d455675dfbc99f6c70f7b3971f,103,2015-04-03
34,c5eac1d455675dfbc99f6c70f7b3971f,41,2015-04-04
35,c5eac1d455675dfbc99f6c70f7b3971f,37,2015-04-05
36,c5eac1d455675dfbc99f6c70f7b3971f,26,2015-04-06
37,c5eac1d455675dfbc99f6c70f7b3971f,40,2015-04-07
38,c5eac1d455675dfbc99f6c70f7b3971f,79,2015-04-08
39,c5eac1d455675dfbc99f6c70f7b3971f,35,2015-04-09
40,c5eac1d455675dfbc99f6c70f7b3971f,34,2015-04-10
41,c5eac1d455675dfbc99f6c70f7b3971f,22,2015-04-11
42,c5eac1d455675dfbc99f6c70f7b3971f,56,2015-04-12
43,c5eac1d455675dfbc99f6c70f7b3971f,13,2015-04-13
44,c5eac1d455675dfbc99f6c70f7b3971f,116,2015-04-14
45,c5eac1d455675dfbc99f6c70f7b3971f,120,2015-04-15
46,c5eac1d455675dfbc99f6c70f7b3971f,111,2015-04-16
47,c5eac1d455675dfbc99f6c70f7b3971f,37,2015-04-17
48,c5eac1d455675dfbc99f6c70f7b3971f,87,2015-04-18
49,c5eac1d455675dfbc99f6c70f7b3971f,49,2015-04-19
50,c5eac1d455675dfbc99f6c70f7b3971f,70,2015-04-20
51,c5eac1d455675dfbc99f6c70f7b3971f,32,2015-04-21
52,c5eac1d455675dfbc99f6c70f7b3971f,24,2015-04-22
53,c5eac1d455675dfbc99f6c70f7b3971f,40,2015-04-23
54,c5eac1d455675dfbc99f6c70f7b3971f,56,2015-04-24
55,c5eac1d455675dfbc99f6c70f7b3971f,78,2015-04-25
56,c5eac1d455675dfbc99f6c70f7b3971f,83,2015-04-26
57,c5eac1d455675dfbc99f6c70f7b3971f,84,2015-04-27
58,c5eac1d455675dfbc99f6c70f7b3971f,27,2015-04-28
59,c5eac1d455675dfbc99f6c70f7b3971f,28,2015-04-29
60,c5eac1d455675dfbc99f6c70f7b3971f,27,2015-04-30
61,c5eac1d455675dfbc99f6c70f7b3971f,82,2015-05-01
62,c5eac1d455675dfbc99f6c70f7b3971f,28,2015-05-02
63,c5eac1d455675dfbc99f6c70f7b3971f,13,2015-05-03
64,c5eac1d455675dfbc99f6c70f7b3971f,84,2015-05-04
65,c5eac1d455675dfbc99f6c70f7b3971f,97,2015-05-05
66,c5eac1d455675dfbc99f6c70f7b3971f,12,2015-05-06
67,c5eac1d455675dfbc99f6c70f7b3971f,92,2015-05-07
68,c5eac1d455675dfbc99f6c70f7b3971f,24,2015-05-08
69,c5eac1d455675dfbc99f6c70f7b3971f,22,2015-05-09
70,c5eac1d455675dfbc99f6c70f7b3971f,17,2015-05-10
71,c5eac1d455675dfbc99f6c70f7b3971f,55,2015-05-11
72,c5eac1d455675dfbc99f6c70f7b3971f,49,2015-05-12
73,c5eac1d455675dfbc99f6c70f7b3971f,70,2015-05-13
74,c5eac1d455675dfbc99f6c70f7b3971f,28,2015-05-14
75,c5eac1d455675dfbc99f6c70f7b3971f,67,2015-05-15
76,c5eac1d455675dfbc99f6c70f7b3971f,33,2015-05-16
77,c5eac1d455675dfbc99f6c70f7b3971f,38,2015-05-17
78,c5eac1d455675dfbc99f6c70f7b3971f,43,2015-05-18
79,c5eac1d455675dfbc99f6c70f7b3971f,43,2015-05-19
80,c5eac1d455675dfbc99f6c70f7b3971f,19,2015-05-20
81,c5eac1d455675dfbc99f6c70f7b3971f,31,2015-05-21
82,c5eac1d455675dfbc99f6c70f7b3971f,27,2015-05-22
83,c5eac1d455675dfbc99f6c70f7b3971f,42,2015-05-23
84,c5eac1d455675dfbc99f6c70f7b3971f,16,2015-05-24
85,c5eac1d455675dfbc99f6c70f7b3971f,27,2015-05-25
86,c5eac1d455675dfbc99f6c70f7b3971f,33,2015-05-26
87,c5eac1d455675dfbc99f6c70f7b3971f,76,2015-05-27
88,c5eac1d455675dfbc99f6c70f7b3971f,58,2015-05-28
89,c5eac1d455675dfbc99f6c70f7b3971f,28,2015-05-29
90,c5eac1d455675dfbc99f6c70f7b3971f,29,2015-05-30
91,c5eac1d455675dfbc99f6c70f7b3971f,52,2015-05-31
92,c5eac1d455675dfbc99f6c70f7b3971f,42,2015-06-01
93,c5eac1d455675dfbc99f6c70f7b3971f,37,2015-06-02
94,c5eac1d455675dfbc99f6c70f7b3971f,28,2015-06-03
95,c5eac1d455675dfbc99f6c70f7b3971f,28,2015-06-04
96,c5eac1d455675dfbc99f6c70f7b3971f,36,2015-06-05
97,c5eac1d455675dfbc99f6c70f7b3971f,82,2015-06-06
98,c5eac1d455675dfbc99f6c70f7b3971f,27,2015-06-07
99,c5eac1d455675dfbc99f6c70f7b3971f,140,2015-06-08
100,c5eac1d455675dfbc99f6c70f7b3971f,72,2015-06-09
101,c5eac1d455675dfbc99f6c70f7b3971f,130,2015-06-10
102,c5eac1d455675dfbc99f6c70f7b3971f,101,2015-06-11
103,c5eac1d455675dfbc99f6c70f7b3971f,45,2015-06-12
104,c5eac1d455675dfbc99f6c70f7b3971f,29,2015-06-13
105,c5eac1d455675dfbc99f6c70f7b3971f,58,2015-06-14
106,c5eac1d455675dfbc99f6c70f7b3971f,51,2015-06-15
107,c5eac1d455675dfbc99f6c70f7b3971f,23,2015-06-16
108,c5eac1d455675dfbc99f6c70f7b3971f,60,2015-06-17
109,c5eac1d455675dfbc99f6c70f7b3971f,58,2015-06-18
110,c5eac1d455675dfbc99f6c70f7b3971f,31,2015-06-19
111,c5eac1d455675dfbc99f6c70f7b3971f,38,2015-06-20
112,c5eac1d455675dfbc99f6c70f7b3971f,47,2015-06-21
113,c5eac1d455675dfbc99f6c70f7b3971f,85,2015-06-22
114,c5eac1d455675dfbc99f6c70f7b3971f,90,2015-06-23
115,c5eac1d455675dfbc99f6c70f7b3971f,100,2015-06-24
116,c5eac1d455675dfbc99f6c70f7b3971f,61,2015-06-25
117,c5eac1d455675dfbc99f6c70f7b3971f,56,2015-06-26
118,c5eac1d455675dfbc99f6c70f7b3971f,40,2015-06-27
119,c5eac1d455675dfbc99f6c70f7b3971f,34,2015-06-28
120,c5eac1d455675dfbc99f6c70f7b3971f,38,2015-06-29
121,c5eac1d455675dfbc99f6c70f7b3971f,61,2015-06-30
122,c5eac1d455675dfbc99f6c70f7b3971f,34,2015-07-01
123,c5eac1d455675dfbc99f6c70f7b3971f,65,2015-07-02
