,artist_id,down,ds
0,c7425ea3ecbea3a51b5550c698be7e71,283,2015-03-01
1,c7425ea3ecbea3a51b5550c698be7e71,578,2015-03-02
2,c7425ea3ecbea3a51b5550c698be7e71,200,2015-03-03
3,c7425ea3ecbea3a51b5550c698be7e71,213,2015-03-04
4,c7425ea3ecbea3a51b5550c698be7e71,129,2015-03-05
5,c7425ea3ecbea3a51b5550c698be7e71,275,2015-03-06
6,c7425ea3ecbea3a51b5550c698be7e71,42,2015-03-07
7,c7425ea3ecbea3a51b5550c698be7e71,973,2015-03-08
8,c7425ea3ecbea3a51b5550c698be7e71,1861,2015-03-09
9,c7425ea3ecbea3a51b5550c698be7e71,3168,2015-03-10
10,c7425ea3ecbea3a51b5550c698be7e71,116,2015-03-11
11,c7425ea3ecbea3a51b5550c698be7e71,200,2015-03-12
12,c7425ea3ecbea3a51b5550c698be7e71,360,2015-03-13
13,c7425ea3ecbea3a51b5550c698be7e71,226,2015-03-14
14,c7425ea3ecbea3a51b5550c698be7e71,555,2015-03-15
15,c7425ea3ecbea3a51b5550c698be7e71,227,2015-03-16
16,c7425ea3ecbea3a51b5550c698be7e71,358,2015-03-17
17,c7425ea3ecbea3a51b5550c698be7e71,432,2015-03-18
18,c7425ea3ecbea3a51b5550c698be7e71,1971,2015-03-19
19,c7425ea3ecbea3a51b5550c698be7e71,247,2015-03-20
20,c7425ea3ecbea3a51b5550c698be7e71,319,2015-03-21
21,c7425ea3ecbea3a51b5550c698be7e71,575,2015-03-22
22,c7425ea3ecbea3a51b5550c698be7e71,343,2015-03-23
23,c7425ea3ecbea3a51b5550c698be7e71,362,2015-03-24
24,c7425ea3ecbea3a51b5550c698be7e71,305,2015-03-25
25,c7425ea3ecbea3a51b5550c698be7e71,232,2015-03-26
26,c7425ea3ecbea3a51b5550c698be7e71,308,2015-03-27
27,c7425ea3ecbea3a51b5550c698be7e71,406,2015-03-28
28,c7425ea3ecbea3a51b5550c698be7e71,384,2015-03-29
29,c7425ea3ecbea3a51b5550c698be7e71,95,2015-03-30
30,c7425ea3ecbea3a51b5550c698be7e71,96,2015-03-31
31,c7425ea3ecbea3a51b5550c698be7e71,179,2015-04-01
32,c7425ea3ecbea3a51b5550c698be7e71,276,2015-04-02
33,c7425ea3ecbea3a51b5550c698be7e71,203,2015-04-03
34,c7425ea3ecbea3a51b5550c698be7e71,340,2015-04-04
35,c7425ea3ecbea3a51b5550c698be7e71,426,2015-04-05
36,c7425ea3ecbea3a51b5550c698be7e71,298,2015-04-06
37,c7425ea3ecbea3a51b5550c698be7e71,469,2015-04-07
38,c7425ea3ecbea3a51b5550c698be7e71,415,2015-04-08
39,c7425ea3ecbea3a51b5550c698be7e71,308,2015-04-09
40,c7425ea3ecbea3a51b5550c698be7e71,1965,2015-04-10
41,c7425ea3ecbea3a51b5550c698be7e71,443,2015-04-11
42,c7425ea3ecbea3a51b5550c698be7e71,489,2015-04-12
43,c7425ea3ecbea3a51b5550c698be7e71,258,2015-04-13
44,c7425ea3ecbea3a51b5550c698be7e71,1831,2015-04-14
45,c7425ea3ecbea3a51b5550c698be7e71,519,2015-04-15
46,c7425ea3ecbea3a51b5550c698be7e71,258,2015-04-16
47,c7425ea3ecbea3a51b5550c698be7e71,323,2015-04-17
48,c7425ea3ecbea3a51b5550c698be7e71,201,2015-04-18
49,c7425ea3ecbea3a51b5550c698be7e71,334,2015-04-19
50,c7425ea3ecbea3a51b5550c698be7e71,268,2015-04-20
51,c7425ea3ecbea3a51b5550c698be7e71,206,2015-04-21
52,c7425ea3ecbea3a51b5550c698be7e71,365,2015-04-22
53,c7425ea3ecbea3a51b5550c698be7e71,443,2015-04-23
54,c7425ea3ecbea3a51b5550c698be7e71,447,2015-04-24
55,c7425ea3ecbea3a51b5550c698be7e71,414,2015-04-25
56,c7425ea3ecbea3a51b5550c698be7e71,326,2015-04-26
57,c7425ea3ecbea3a51b5550c698be7e71,550,2015-04-27
58,c7425ea3ecbea3a51b5550c698be7e71,3997,2015-04-28
59,c7425ea3ecbea3a51b5550c698be7e71,1761,2015-04-29
60,c7425ea3ecbea3a51b5550c698be7e71,377,2015-04-30
61,c7425ea3ecbea3a51b5550c698be7e71,526,2015-05-01
62,c7425ea3ecbea3a51b5550c698be7e71,1908,2015-05-02
63,c7425ea3ecbea3a51b5550c698be7e71,361,2015-05-03
64,c7425ea3ecbea3a51b5550c698be7e71,294,2015-05-04
65,c7425ea3ecbea3a51b5550c698be7e71,373,2015-05-05
66,c7425ea3ecbea3a51b5550c698be7e71,274,2015-05-06
67,c7425ea3ecbea3a51b5550c698be7e71,220,2015-05-07
68,c7425ea3ecbea3a51b5550c698be7e71,338,2015-05-08
69,c7425ea3ecbea3a51b5550c698be7e71,263,2015-05-09
70,c7425ea3ecbea3a51b5550c698be7e71,286,2015-05-10
71,c7425ea3ecbea3a51b5550c698be7e71,335,2015-05-11
72,c7425ea3ecbea3a51b5550c698be7e71,261,2015-05-12
73,c7425ea3ecbea3a51b5550c698be7e71,195,2015-05-13
74,c7425ea3ecbea3a51b5550c698be7e71,254,2015-05-14
75,c7425ea3ecbea3a51b5550c698be7e71,108,2015-05-15
76,c7425ea3ecbea3a51b5550c698be7e71,153,2015-05-16
77,c7425ea3ecbea3a51b5550c698be7e71,74,2015-05-17
