,artist_id,down,ds
0,ca6db6d4f02b7b946c57fc389e67dd7e,215,2015-03-01
1,ca6db6d4f02b7b946c57fc389e67dd7e,234,2015-03-02
2,ca6db6d4f02b7b946c57fc389e67dd7e,285,2015-03-03
3,ca6db6d4f02b7b946c57fc389e67dd7e,175,2015-03-04
4,ca6db6d4f02b7b946c57fc389e67dd7e,252,2015-03-05
5,ca6db6d4f02b7b946c57fc389e67dd7e,304,2015-03-06
6,ca6db6d4f02b7b946c57fc389e67dd7e,240,2015-03-07
7,ca6db6d4f02b7b946c57fc389e67dd7e,236,2015-03-08
8,ca6db6d4f02b7b946c57fc389e67dd7e,271,2015-03-09
9,ca6db6d4f02b7b946c57fc389e67dd7e,238,2015-03-10
10,ca6db6d4f02b7b946c57fc389e67dd7e,188,2015-03-11
11,ca6db6d4f02b7b946c57fc389e67dd7e,234,2015-03-12
12,ca6db6d4f02b7b946c57fc389e67dd7e,231,2015-03-13
13,ca6db6d4f02b7b946c57fc389e67dd7e,181,2015-03-14
14,ca6db6d4f02b7b946c57fc389e67dd7e,280,2015-03-15
15,ca6db6d4f02b7b946c57fc389e67dd7e,203,2015-03-16
16,ca6db6d4f02b7b946c57fc389e67dd7e,279,2015-03-17
17,ca6db6d4f02b7b946c57fc389e67dd7e,220,2015-03-18
18,ca6db6d4f02b7b946c57fc389e67dd7e,211,2015-03-19
19,ca6db6d4f02b7b946c57fc389e67dd7e,311,2015-03-20
20,ca6db6d4f02b7b946c57fc389e67dd7e,299,2015-03-21
21,ca6db6d4f02b7b946c57fc389e67dd7e,224,2015-03-22
22,ca6db6d4f02b7b946c57fc389e67dd7e,256,2015-03-23
23,ca6db6d4f02b7b946c57fc389e67dd7e,281,2015-03-24
24,ca6db6d4f02b7b946c57fc389e67dd7e,273,2015-03-25
25,ca6db6d4f02b7b946c57fc389e67dd7e,259,2015-03-26
26,ca6db6d4f02b7b946c57fc389e67dd7e,270,2015-03-27
27,ca6db6d4f02b7b946c57fc389e67dd7e,195,2015-03-28
28,ca6db6d4f02b7b946c57fc389e67dd7e,216,2015-03-29
29,ca6db6d4f02b7b946c57fc389e67dd7e,234,2015-03-30
30,ca6db6d4f02b7b946c57fc389e67dd7e,286,2015-03-31
31,ca6db6d4f02b7b946c57fc389e67dd7e,249,2015-04-01
32,ca6db6d4f02b7b946c57fc389e67dd7e,247,2015-04-02
33,ca6db6d4f02b7b946c57fc389e67dd7e,218,2015-04-03
34,ca6db6d4f02b7b946c57fc389e67dd7e,235,2015-04-04
35,ca6db6d4f02b7b946c57fc389e67dd7e,183,2015-04-05
36,ca6db6d4f02b7b946c57fc389e67dd7e,185,2015-04-06
37,ca6db6d4f02b7b946c57fc389e67dd7e,234,2015-04-07
38,ca6db6d4f02b7b946c57fc389e67dd7e,243,2015-04-08
39,ca6db6d4f02b7b946c57fc389e67dd7e,297,2015-04-09
40,ca6db6d4f02b7b946c57fc389e67dd7e,355,2015-04-10
41,ca6db6d4f02b7b946c57fc389e67dd7e,257,2015-04-11
42,ca6db6d4f02b7b946c57fc389e67dd7e,379,2015-04-12
43,ca6db6d4f02b7b946c57fc389e67dd7e,271,2015-04-13
44,ca6db6d4f02b7b946c57fc389e67dd7e,250,2015-04-14
45,ca6db6d4f02b7b946c57fc389e67dd7e,258,2015-04-15
46,ca6db6d4f02b7b946c57fc389e67dd7e,274,2015-04-16
47,ca6db6d4f02b7b946c57fc389e67dd7e,269,2015-04-17
48,ca6db6d4f02b7b946c57fc389e67dd7e,211,2015-04-18
49,ca6db6d4f02b7b946c57fc389e67dd7e,259,2015-04-19
50,ca6db6d4f02b7b946c57fc389e67dd7e,295,2015-04-20
51,ca6db6d4f02b7b946c57fc389e67dd7e,301,2015-04-21
52,ca6db6d4f02b7b946c57fc389e67dd7e,295,2015-04-22
53,ca6db6d4f02b7b946c57fc389e67dd7e,271,2015-04-23
54,ca6db6d4f02b7b946c57fc389e67dd7e,237,2015-04-24
55,ca6db6d4f02b7b946c57fc389e67dd7e,177,2015-04-25
