,artist_id,down,ds
0,cbc53d8b2da2e34974c29b7fc6534444,1,2015-03-01
1,cbc53d8b2da2e34974c29b7fc6534444,2,2015-03-02
2,cbc53d8b2da2e34974c29b7fc6534444,4,2015-03-03
3,cbc53d8b2da2e34974c29b7fc6534444,4,2015-03-04
4,cbc53d8b2da2e34974c29b7fc6534444,1,2015-03-06
5,cbc53d8b2da2e34974c29b7fc6534444,2,2015-03-08
6,cbc53d8b2da2e34974c29b7fc6534444,2,2015-03-09
7,cbc53d8b2da2e34974c29b7fc6534444,2,2015-03-10
8,cbc53d8b2da2e34974c29b7fc6534444,2,2015-03-11
9,cbc53d8b2da2e34974c29b7fc6534444,1,2015-03-12
10,cbc53d8b2da2e34974c29b7fc6534444,2,2015-03-13
11,cbc53d8b2da2e34974c29b7fc6534444,6,2015-03-14
12,cbc53d8b2da2e34974c29b7fc6534444,4,2015-03-15
13,cbc53d8b2da2e34974c29b7fc6534444,43,2015-03-16
14,cbc53d8b2da2e34974c29b7fc6534444,261,2015-03-17
15,cbc53d8b2da2e34974c29b7fc6534444,375,2015-03-18
16,cbc53d8b2da2e34974c29b7fc6534444,437,2015-03-19
17,cbc53d8b2da2e34974c29b7fc6534444,443,2015-03-20
18,cbc53d8b2da2e34974c29b7fc6534444,300,2015-03-21
19,cbc53d8b2da2e34974c29b7fc6534444,349,2015-03-22
20,cbc53d8b2da2e34974c29b7fc6534444,325,2015-03-23
21,cbc53d8b2da2e34974c29b7fc6534444,401,2015-03-24
22,cbc53d8b2da2e34974c29b7fc6534444,585,2015-03-25
23,cbc53d8b2da2e34974c29b7fc6534444,528,2015-03-26
24,cbc53d8b2da2e34974c29b7fc6534444,428,2015-03-27
25,cbc53d8b2da2e34974c29b7fc6534444,457,2015-03-28
26,cbc53d8b2da2e34974c29b7fc6534444,656,2015-03-29
27,cbc53d8b2da2e34974c29b7fc6534444,622,2015-03-30
28,cbc53d8b2da2e34974c29b7fc6534444,442,2015-03-31
29,cbc53d8b2da2e34974c29b7fc6534444,384,2015-04-01
30,cbc53d8b2da2e34974c29b7fc6534444,431,2015-04-02
31,cbc53d8b2da2e34974c29b7fc6534444,417,2015-04-03
32,cbc53d8b2da2e34974c29b7fc6534444,505,2015-04-04
33,cbc53d8b2da2e34974c29b7fc6534444,395,2015-04-05
34,cbc53d8b2da2e34974c29b7fc6534444,499,2015-04-06
35,cbc53d8b2da2e34974c29b7fc6534444,360,2015-04-07
36,cbc53d8b2da2e34974c29b7fc6534444,440,2015-04-08
37,cbc53d8b2da2e34974c29b7fc6534444,533,2015-04-09
38,cbc53d8b2da2e34974c29b7fc6534444,639,2015-04-10
39,cbc53d8b2da2e34974c29b7fc6534444,436,2015-04-11
40,cbc53d8b2da2e34974c29b7fc6534444,430,2015-04-12
41,cbc53d8b2da2e34974c29b7fc6534444,769,2015-04-13
42,cbc53d8b2da2e34974c29b7fc6534444,441,2015-04-14
43,cbc53d8b2da2e34974c29b7fc6534444,512,2015-04-15
44,cbc53d8b2da2e34974c29b7fc6534444,432,2015-04-16
45,cbc53d8b2da2e34974c29b7fc6534444,465,2015-04-17
46,cbc53d8b2da2e34974c29b7fc6534444,423,2015-04-18
47,cbc53d8b2da2e34974c29b7fc6534444,427,2015-04-19
48,cbc53d8b2da2e34974c29b7fc6534444,355,2015-04-20
49,cbc53d8b2da2e34974c29b7fc6534444,426,2015-04-21
50,cbc53d8b2da2e34974c29b7fc6534444,328,2015-04-22
51,cbc53d8b2da2e34974c29b7fc6534444,341,2015-04-23
52,cbc53d8b2da2e34974c29b7fc6534444,329,2015-04-24
53,cbc53d8b2da2e34974c29b7fc6534444,299,2015-04-25
54,cbc53d8b2da2e34974c29b7fc6534444,385,2015-04-26
55,cbc53d8b2da2e34974c29b7fc6534444,365,2015-04-27
56,cbc53d8b2da2e34974c29b7fc6534444,353,2015-04-28
57,cbc53d8b2da2e34974c29b7fc6534444,349,2015-04-29
58,cbc53d8b2da2e34974c29b7fc6534444,313,2015-04-30
59,cbc53d8b2da2e34974c29b7fc6534444,377,2015-05-01
60,cbc53d8b2da2e34974c29b7fc6534444,269,2015-05-02
61,cbc53d8b2da2e34974c29b7fc6534444,236,2015-05-03
62,cbc53d8b2da2e34974c29b7fc6534444,242,2015-05-04
63,cbc53d8b2da2e34974c29b7fc6534444,251,2015-05-05
64,cbc53d8b2da2e34974c29b7fc6534444,247,2015-05-06
65,cbc53d8b2da2e34974c29b7fc6534444,301,2015-05-07
66,cbc53d8b2da2e34974c29b7fc6534444,285,2015-05-08
67,cbc53d8b2da2e34974c29b7fc6534444,299,2015-05-09
68,cbc53d8b2da2e34974c29b7fc6534444,262,2015-05-10
69,cbc53d8b2da2e34974c29b7fc6534444,246,2015-05-11
70,cbc53d8b2da2e34974c29b7fc6534444,305,2015-05-12
71,cbc53d8b2da2e34974c29b7fc6534444,259,2015-05-13
72,cbc53d8b2da2e34974c29b7fc6534444,227,2015-05-14
73,cbc53d8b2da2e34974c29b7fc6534444,257,2015-05-15
74,cbc53d8b2da2e34974c29b7fc6534444,306,2015-05-16
75,cbc53d8b2da2e34974c29b7fc6534444,241,2015-05-17
76,cbc53d8b2da2e34974c29b7fc6534444,194,2015-05-18
77,cbc53d8b2da2e34974c29b7fc6534444,240,2015-05-19
78,cbc53d8b2da2e34974c29b7fc6534444,284,2015-05-20
79,cbc53d8b2da2e34974c29b7fc6534444,285,2015-05-21
80,cbc53d8b2da2e34974c29b7fc6534444,375,2015-05-22
81,cbc53d8b2da2e34974c29b7fc6534444,204,2015-05-23
82,cbc53d8b2da2e34974c29b7fc6534444,216,2015-05-24
83,cbc53d8b2da2e34974c29b7fc6534444,141,2015-05-25
84,cbc53d8b2da2e34974c29b7fc6534444,265,2015-05-26
85,cbc53d8b2da2e34974c29b7fc6534444,202,2015-05-27
86,cbc53d8b2da2e34974c29b7fc6534444,203,2015-05-28
87,cbc53d8b2da2e34974c29b7fc6534444,199,2015-05-29
88,cbc53d8b2da2e34974c29b7fc6534444,182,2015-05-30
