,artist_id,down,ds
0,cc865517bdfc45b0986ffee5dc1a56c5,857,2015-03-01
1,cc865517bdfc45b0986ffee5dc1a56c5,738,2015-03-02
2,cc865517bdfc45b0986ffee5dc1a56c5,988,2015-03-03
3,cc865517bdfc45b0986ffee5dc1a56c5,789,2015-03-04
4,cc865517bdfc45b0986ffee5dc1a56c5,1092,2015-03-05
5,cc865517bdfc45b0986ffee5dc1a56c5,783,2015-03-06
6,cc865517bdfc45b0986ffee5dc1a56c5,830,2015-03-07
7,cc865517bdfc45b0986ffee5dc1a56c5,1200,2015-03-08
8,cc865517bdfc45b0986ffee5dc1a56c5,1130,2015-03-09
9,cc865517bdfc45b0986ffee5dc1a56c5,1036,2015-03-10
10,cc865517bdfc45b0986ffee5dc1a56c5,1004,2015-03-11
11,cc865517bdfc45b0986ffee5dc1a56c5,907,2015-03-12
12,cc865517bdfc45b0986ffee5dc1a56c5,1104,2015-03-13
13,cc865517bdfc45b0986ffee5dc1a56c5,956,2015-03-14
14,cc865517bdfc45b0986ffee5dc1a56c5,1024,2015-03-15
15,cc865517bdfc45b0986ffee5dc1a56c5,1127,2015-03-16
16,cc865517bdfc45b0986ffee5dc1a56c5,1119,2015-03-17
17,cc865517bdfc45b0986ffee5dc1a56c5,1214,2015-03-18
18,cc865517bdfc45b0986ffee5dc1a56c5,1385,2015-03-19
19,cc865517bdfc45b0986ffee5dc1a56c5,1044,2015-03-20
20,cc865517bdfc45b0986ffee5dc1a56c5,1019,2015-03-21
21,cc865517bdfc45b0986ffee5dc1a56c5,1124,2015-03-22
22,cc865517bdfc45b0986ffee5dc1a56c5,985,2015-03-23
23,cc865517bdfc45b0986ffee5dc1a56c5,928,2015-03-24
24,cc865517bdfc45b0986ffee5dc1a56c5,1211,2015-03-25
25,cc865517bdfc45b0986ffee5dc1a56c5,1467,2015-03-26
26,cc865517bdfc45b0986ffee5dc1a56c5,1184,2015-03-27
27,cc865517bdfc45b0986ffee5dc1a56c5,1303,2015-03-28
28,cc865517bdfc45b0986ffee5dc1a56c5,1321,2015-03-29
29,cc865517bdfc45b0986ffee5dc1a56c5,1160,2015-03-30
30,cc865517bdfc45b0986ffee5dc1a56c5,1333,2015-03-31
31,cc865517bdfc45b0986ffee5dc1a56c5,1343,2015-04-01
32,cc865517bdfc45b0986ffee5dc1a56c5,1181,2015-04-02
33,cc865517bdfc45b0986ffee5dc1a56c5,1542,2015-04-03
34,cc865517bdfc45b0986ffee5dc1a56c5,1099,2015-04-04
35,cc865517bdfc45b0986ffee5dc1a56c5,1149,2015-04-05
36,cc865517bdfc45b0986ffee5dc1a56c5,1367,2015-04-06
37,cc865517bdfc45b0986ffee5dc1a56c5,1325,2015-04-07
38,cc865517bdfc45b0986ffee5dc1a56c5,1293,2015-04-08
39,cc865517bdfc45b0986ffee5dc1a56c5,1392,2015-04-09
40,cc865517bdfc45b0986ffee5dc1a56c5,1186,2015-04-10
41,cc865517bdfc45b0986ffee5dc1a56c5,1388,2015-04-11
42,cc865517bdfc45b0986ffee5dc1a56c5,1568,2015-04-12
43,cc865517bdfc45b0986ffee5dc1a56c5,1261,2015-04-13
44,cc865517bdfc45b0986ffee5dc1a56c5,1228,2015-04-14
45,cc865517bdfc45b0986ffee5dc1a56c5,1360,2015-04-15
46,cc865517bdfc45b0986ffee5dc1a56c5,1298,2015-04-16
47,cc865517bdfc45b0986ffee5dc1a56c5,1210,2015-04-17
48,cc865517bdfc45b0986ffee5dc1a56c5,1399,2015-04-18
49,cc865517bdfc45b0986ffee5dc1a56c5,1115,2015-04-19
50,cc865517bdfc45b0986ffee5dc1a56c5,1103,2015-04-20
51,cc865517bdfc45b0986ffee5dc1a56c5,1287,2015-04-21
52,cc865517bdfc45b0986ffee5dc1a56c5,1085,2015-04-22
