,artist_id,down,ds
0,d773376e46311393cd89994bf9a93043,672,2015-03-01
1,d773376e46311393cd89994bf9a93043,643,2015-03-02
2,d773376e46311393cd89994bf9a93043,753,2015-03-03
3,d773376e46311393cd89994bf9a93043,810,2015-03-04
4,d773376e46311393cd89994bf9a93043,582,2015-03-05
5,d773376e46311393cd89994bf9a93043,701,2015-03-06
6,d773376e46311393cd89994bf9a93043,628,2015-03-07
7,d773376e46311393cd89994bf9a93043,712,2015-03-08
8,d773376e46311393cd89994bf9a93043,845,2015-03-09
9,d773376e46311393cd89994bf9a93043,753,2015-03-10
10,d773376e46311393cd89994bf9a93043,693,2015-03-11
11,d773376e46311393cd89994bf9a93043,611,2015-03-12
12,d773376e46311393cd89994bf9a93043,607,2015-03-13
13,d773376e46311393cd89994bf9a93043,540,2015-03-14
14,d773376e46311393cd89994bf9a93043,622,2015-03-15
15,d773376e46311393cd89994bf9a93043,610,2015-03-16
16,d773376e46311393cd89994bf9a93043,608,2015-03-17
17,d773376e46311393cd89994bf9a93043,802,2015-03-18
18,d773376e46311393cd89994bf9a93043,933,2015-03-19
19,d773376e46311393cd89994bf9a93043,913,2015-03-20
20,d773376e46311393cd89994bf9a93043,940,2015-03-21
21,d773376e46311393cd89994bf9a93043,903,2015-03-22
22,d773376e46311393cd89994bf9a93043,901,2015-03-23
23,d773376e46311393cd89994bf9a93043,970,2015-03-24
24,d773376e46311393cd89994bf9a93043,931,2015-03-25
25,d773376e46311393cd89994bf9a93043,1081,2015-03-26
26,d773376e46311393cd89994bf9a93043,1109,2015-03-27
27,d773376e46311393cd89994bf9a93043,992,2015-03-28
28,d773376e46311393cd89994bf9a93043,1162,2015-03-29
29,d773376e46311393cd89994bf9a93043,975,2015-03-30
30,d773376e46311393cd89994bf9a93043,1170,2015-03-31
31,d773376e46311393cd89994bf9a93043,1450,2015-04-01
32,d773376e46311393cd89994bf9a93043,1164,2015-04-02
33,d773376e46311393cd89994bf9a93043,1121,2015-04-03
34,d773376e46311393cd89994bf9a93043,1460,2015-04-04
35,d773376e46311393cd89994bf9a93043,936,2015-04-05
36,d773376e46311393cd89994bf9a93043,995,2015-04-06
37,d773376e46311393cd89994bf9a93043,1151,2015-04-07
38,d773376e46311393cd89994bf9a93043,1192,2015-04-08
39,d773376e46311393cd89994bf9a93043,1216,2015-04-09
40,d773376e46311393cd89994bf9a93043,1154,2015-04-10
41,d773376e46311393cd89994bf9a93043,1094,2015-04-11
42,d773376e46311393cd89994bf9a93043,1007,2015-04-12
43,d773376e46311393cd89994bf9a93043,1428,2015-04-13
44,d773376e46311393cd89994bf9a93043,1359,2015-04-14
45,d773376e46311393cd89994bf9a93043,1253,2015-04-15
46,d773376e46311393cd89994bf9a93043,1123,2015-04-16
47,d773376e46311393cd89994bf9a93043,970,2015-04-17
48,d773376e46311393cd89994bf9a93043,1010,2015-04-18
49,d773376e46311393cd89994bf9a93043,871,2015-04-19
50,d773376e46311393cd89994bf9a93043,1166,2015-04-20
