,artist_id,down,ds
0,d8d0b093ffbb4435d4d4d1fbc8ed80c0,121,2015-03-01
1,d8d0b093ffbb4435d4d4d1fbc8ed80c0,122,2015-03-02
2,d8d0b093ffbb4435d4d4d1fbc8ed80c0,117,2015-03-03
3,d8d0b093ffbb4435d4d4d1fbc8ed80c0,120,2015-03-04
4,d8d0b093ffbb4435d4d4d1fbc8ed80c0,153,2015-03-05
5,d8d0b093ffbb4435d4d4d1fbc8ed80c0,158,2015-03-06
6,d8d0b093ffbb4435d4d4d1fbc8ed80c0,165,2015-03-07
7,d8d0b093ffbb4435d4d4d1fbc8ed80c0,150,2015-03-08
8,d8d0b093ffbb4435d4d4d1fbc8ed80c0,164,2015-03-09
9,d8d0b093ffbb4435d4d4d1fbc8ed80c0,159,2015-03-10
10,d8d0b093ffbb4435d4d4d1fbc8ed80c0,189,2015-03-11
11,d8d0b093ffbb4435d4d4d1fbc8ed80c0,166,2015-03-12
12,d8d0b093ffbb4435d4d4d1fbc8ed80c0,191,2015-03-13
13,d8d0b093ffbb4435d4d4d1fbc8ed80c0,208,2015-03-14
14,d8d0b093ffbb4435d4d4d1fbc8ed80c0,127,2015-03-15
15,d8d0b093ffbb4435d4d4d1fbc8ed80c0,124,2015-03-16
16,d8d0b093ffbb4435d4d4d1fbc8ed80c0,162,2015-03-17
17,d8d0b093ffbb4435d4d4d1fbc8ed80c0,183,2015-03-18
18,d8d0b093ffbb4435d4d4d1fbc8ed80c0,171,2015-03-19
19,d8d0b093ffbb4435d4d4d1fbc8ed80c0,160,2015-03-20
20,d8d0b093ffbb4435d4d4d1fbc8ed80c0,183,2015-03-21
21,d8d0b093ffbb4435d4d4d1fbc8ed80c0,180,2015-03-22
22,d8d0b093ffbb4435d4d4d1fbc8ed80c0,144,2015-03-23
23,d8d0b093ffbb4435d4d4d1fbc8ed80c0,205,2015-03-24
24,d8d0b093ffbb4435d4d4d1fbc8ed80c0,181,2015-03-25
25,d8d0b093ffbb4435d4d4d1fbc8ed80c0,140,2015-03-26
26,d8d0b093ffbb4435d4d4d1fbc8ed80c0,157,2015-03-27
27,d8d0b093ffbb4435d4d4d1fbc8ed80c0,210,2015-03-28
28,d8d0b093ffbb4435d4d4d1fbc8ed80c0,173,2015-03-29
29,d8d0b093ffbb4435d4d4d1fbc8ed80c0,149,2015-03-30
30,d8d0b093ffbb4435d4d4d1fbc8ed80c0,184,2015-03-31
31,d8d0b093ffbb4435d4d4d1fbc8ed80c0,172,2015-04-01
32,d8d0b093ffbb4435d4d4d1fbc8ed80c0,139,2015-04-02
33,d8d0b093ffbb4435d4d4d1fbc8ed80c0,135,2015-04-03
34,d8d0b093ffbb4435d4d4d1fbc8ed80c0,237,2015-04-04
35,d8d0b093ffbb4435d4d4d1fbc8ed80c0,160,2015-04-05
36,d8d0b093ffbb4435d4d4d1fbc8ed80c0,167,2015-04-06
37,d8d0b093ffbb4435d4d4d1fbc8ed80c0,172,2015-04-07
38,d8d0b093ffbb4435d4d4d1fbc8ed80c0,141,2015-04-08
39,d8d0b093ffbb4435d4d4d1fbc8ed80c0,157,2015-04-09
40,d8d0b093ffbb4435d4d4d1fbc8ed80c0,171,2015-04-10
41,d8d0b093ffbb4435d4d4d1fbc8ed80c0,149,2015-04-11
42,d8d0b093ffbb4435d4d4d1fbc8ed80c0,168,2015-04-12
43,d8d0b093ffbb4435d4d4d1fbc8ed80c0,136,2015-04-13
44,d8d0b093ffbb4435d4d4d1fbc8ed80c0,178,2015-04-14
45,d8d0b093ffbb4435d4d4d1fbc8ed80c0,185,2015-04-15
46,d8d0b093ffbb4435d4d4d1fbc8ed80c0,164,2015-04-16
47,d8d0b093ffbb4435d4d4d1fbc8ed80c0,172,2015-04-17
48,d8d0b093ffbb4435d4d4d1fbc8ed80c0,146,2015-04-18
49,d8d0b093ffbb4435d4d4d1fbc8ed80c0,174,2015-04-19
50,d8d0b093ffbb4435d4d4d1fbc8ed80c0,179,2015-04-20
51,d8d0b093ffbb4435d4d4d1fbc8ed80c0,194,2015-04-21
52,d8d0b093ffbb4435d4d4d1fbc8ed80c0,190,2015-04-22
53,d8d0b093ffbb4435d4d4d1fbc8ed80c0,192,2015-04-23
54,d8d0b093ffbb4435d4d4d1fbc8ed80c0,178,2015-04-24
55,d8d0b093ffbb4435d4d4d1fbc8ed80c0,135,2015-04-25
56,d8d0b093ffbb4435d4d4d1fbc8ed80c0,235,2015-04-26
57,d8d0b093ffbb4435d4d4d1fbc8ed80c0,116,2015-04-27
58,d8d0b093ffbb4435d4d4d1fbc8ed80c0,150,2015-04-28
59,d8d0b093ffbb4435d4d4d1fbc8ed80c0,164,2015-04-29
60,d8d0b093ffbb4435d4d4d1fbc8ed80c0,135,2015-04-30
61,d8d0b093ffbb4435d4d4d1fbc8ed80c0,156,2015-05-01
62,d8d0b093ffbb4435d4d4d1fbc8ed80c0,131,2015-05-02
63,d8d0b093ffbb4435d4d4d1fbc8ed80c0,115,2015-05-03
64,d8d0b093ffbb4435d4d4d1fbc8ed80c0,133,2015-05-04
65,d8d0b093ffbb4435d4d4d1fbc8ed80c0,134,2015-05-05
66,d8d0b093ffbb4435d4d4d1fbc8ed80c0,165,2015-05-06
67,d8d0b093ffbb4435d4d4d1fbc8ed80c0,128,2015-05-07
68,d8d0b093ffbb4435d4d4d1fbc8ed80c0,153,2015-05-08
69,d8d0b093ffbb4435d4d4d1fbc8ed80c0,206,2015-05-09
70,d8d0b093ffbb4435d4d4d1fbc8ed80c0,94,2015-05-10
71,d8d0b093ffbb4435d4d4d1fbc8ed80c0,132,2015-05-11
72,d8d0b093ffbb4435d4d4d1fbc8ed80c0,170,2015-05-12
73,d8d0b093ffbb4435d4d4d1fbc8ed80c0,161,2015-05-13
74,d8d0b093ffbb4435d4d4d1fbc8ed80c0,163,2015-05-14
75,d8d0b093ffbb4435d4d4d1fbc8ed80c0,174,2015-05-15
76,d8d0b093ffbb4435d4d4d1fbc8ed80c0,167,2015-05-16
77,d8d0b093ffbb4435d4d4d1fbc8ed80c0,115,2015-05-17
78,d8d0b093ffbb4435d4d4d1fbc8ed80c0,120,2015-05-18
79,d8d0b093ffbb4435d4d4d1fbc8ed80c0,149,2015-05-19
80,d8d0b093ffbb4435d4d4d1fbc8ed80c0,109,2015-05-20
81,d8d0b093ffbb4435d4d4d1fbc8ed80c0,159,2015-05-21
82,d8d0b093ffbb4435d4d4d1fbc8ed80c0,190,2015-05-22
83,d8d0b093ffbb4435d4d4d1fbc8ed80c0,150,2015-05-23
84,d8d0b093ffbb4435d4d4d1fbc8ed80c0,186,2015-05-24
85,d8d0b093ffbb4435d4d4d1fbc8ed80c0,133,2015-05-25
86,d8d0b093ffbb4435d4d4d1fbc8ed80c0,138,2015-05-26
87,d8d0b093ffbb4435d4d4d1fbc8ed80c0,110,2015-05-27
88,d8d0b093ffbb4435d4d4d1fbc8ed80c0,125,2015-05-28
89,d8d0b093ffbb4435d4d4d1fbc8ed80c0,150,2015-05-29
90,d8d0b093ffbb4435d4d4d1fbc8ed80c0,153,2015-05-30
91,d8d0b093ffbb4435d4d4d1fbc8ed80c0,137,2015-05-31
92,d8d0b093ffbb4435d4d4d1fbc8ed80c0,133,2015-06-01
93,d8d0b093ffbb4435d4d4d1fbc8ed80c0,152,2015-06-02
94,d8d0b093ffbb4435d4d4d1fbc8ed80c0,134,2015-06-03
95,d8d0b093ffbb4435d4d4d1fbc8ed80c0,175,2015-06-04
96,d8d0b093ffbb4435d4d4d1fbc8ed80c0,157,2015-06-05
97,d8d0b093ffbb4435d4d4d1fbc8ed80c0,125,2015-06-06
98,d8d0b093ffbb4435d4d4d1fbc8ed80c0,121,2015-06-07
99,d8d0b093ffbb4435d4d4d1fbc8ed80c0,138,2015-06-08
100,d8d0b093ffbb4435d4d4d1fbc8ed80c0,271,2015-06-09
101,d8d0b093ffbb4435d4d4d1fbc8ed80c0,175,2015-06-10
102,d8d0b093ffbb4435d4d4d1fbc8ed80c0,116,2015-06-11
103,d8d0b093ffbb4435d4d4d1fbc8ed80c0,155,2015-06-12
104,d8d0b093ffbb4435d4d4d1fbc8ed80c0,173,2015-06-13
105,d8d0b093ffbb4435d4d4d1fbc8ed80c0,170,2015-06-14
106,d8d0b093ffbb4435d4d4d1fbc8ed80c0,156,2015-06-15
107,d8d0b093ffbb4435d4d4d1fbc8ed80c0,95,2015-06-16
