,artist_id,down,ds
0,023406156015ef87f99521f3b343f71f,1,20150305
1,023406156015ef87f99521f3b343f71f,3,20150308
2,023406156015ef87f99521f3b343f71f,1,20150311
3,023406156015ef87f99521f3b343f71f,1,20150312
4,023406156015ef87f99521f3b343f71f,3,20150318
5,023406156015ef87f99521f3b343f71f,2,20150321
6,023406156015ef87f99521f3b343f71f,2,20150322
7,023406156015ef87f99521f3b343f71f,2,20150327
8,023406156015ef87f99521f3b343f71f,2,20150328
9,023406156015ef87f99521f3b343f71f,1,20150329
10,023406156015ef87f99521f3b343f71f,5,20150330
11,023406156015ef87f99521f3b343f71f,8,20150331
12,023406156015ef87f99521f3b343f71f,5,20150401
13,023406156015ef87f99521f3b343f71f,8,20150402
14,023406156015ef87f99521f3b343f71f,4,20150403
15,023406156015ef87f99521f3b343f71f,12,20150404
16,023406156015ef87f99521f3b343f71f,14,20150405
17,023406156015ef87f99521f3b343f71f,7,20150406
18,023406156015ef87f99521f3b343f71f,8,20150407
19,023406156015ef87f99521f3b343f71f,10,20150408
20,023406156015ef87f99521f3b343f71f,15,20150409
21,023406156015ef87f99521f3b343f71f,6,20150410
22,023406156015ef87f99521f3b343f71f,7,20150411
23,023406156015ef87f99521f3b343f71f,7,20150412
24,023406156015ef87f99521f3b343f71f,4,20150413
25,023406156015ef87f99521f3b343f71f,6,20150414
26,023406156015ef87f99521f3b343f71f,6,20150415
27,023406156015ef87f99521f3b343f71f,17,20150416
28,023406156015ef87f99521f3b343f71f,8,20150417
29,023406156015ef87f99521f3b343f71f,7,20150418
30,023406156015ef87f99521f3b343f71f,13,20150419
31,023406156015ef87f99521f3b343f71f,10,20150420
32,023406156015ef87f99521f3b343f71f,19,20150421
33,023406156015ef87f99521f3b343f71f,5,20150422
34,023406156015ef87f99521f3b343f71f,10,20150423
35,023406156015ef87f99521f3b343f71f,11,20150424
36,023406156015ef87f99521f3b343f71f,7,20150425
37,023406156015ef87f99521f3b343f71f,8,20150426
38,023406156015ef87f99521f3b343f71f,4,20150427
39,023406156015ef87f99521f3b343f71f,7,20150428
40,023406156015ef87f99521f3b343f71f,5,20150429
41,023406156015ef87f99521f3b343f71f,3,20150430
42,023406156015ef87f99521f3b343f71f,7,20150501
43,023406156015ef87f99521f3b343f71f,8,20150502
44,023406156015ef87f99521f3b343f71f,2,20150503
45,023406156015ef87f99521f3b343f71f,6,20150504
46,023406156015ef87f99521f3b343f71f,8,20150505
47,023406156015ef87f99521f3b343f71f,5,20150506
48,023406156015ef87f99521f3b343f71f,5,20150507
49,023406156015ef87f99521f3b343f71f,4,20150508
50,023406156015ef87f99521f3b343f71f,6,20150509
51,023406156015ef87f99521f3b343f71f,2,20150510
52,023406156015ef87f99521f3b343f71f,6,20150511
53,023406156015ef87f99521f3b343f71f,9,20150512
54,023406156015ef87f99521f3b343f71f,4,20150513
55,023406156015ef87f99521f3b343f71f,5,20150514
56,023406156015ef87f99521f3b343f71f,7,20150515
57,023406156015ef87f99521f3b343f71f,3,20150516
58,023406156015ef87f99521f3b343f71f,7,20150517
59,023406156015ef87f99521f3b343f71f,5,20150518
60,023406156015ef87f99521f3b343f71f,7,20150519
61,023406156015ef87f99521f3b343f71f,5,20150520
62,023406156015ef87f99521f3b343f71f,2,20150521
63,023406156015ef87f99521f3b343f71f,3,20150522
64,023406156015ef87f99521f3b343f71f,3,20150523
65,023406156015ef87f99521f3b343f71f,2,20150524
66,023406156015ef87f99521f3b343f71f,7,20150525
67,023406156015ef87f99521f3b343f71f,4,20150526
68,023406156015ef87f99521f3b343f71f,4,20150527
69,023406156015ef87f99521f3b343f71f,13,20150528
70,023406156015ef87f99521f3b343f71f,9,20150529
71,023406156015ef87f99521f3b343f71f,7,20150530
72,023406156015ef87f99521f3b343f71f,12,20150531
73,023406156015ef87f99521f3b343f71f,4,20150601
74,023406156015ef87f99521f3b343f71f,6,20150602
75,023406156015ef87f99521f3b343f71f,4,20150603
76,023406156015ef87f99521f3b343f71f,11,20150604
77,023406156015ef87f99521f3b343f71f,5,20150605
78,023406156015ef87f99521f3b343f71f,4,20150606
79,023406156015ef87f99521f3b343f71f,2,20150607
80,023406156015ef87f99521f3b343f71f,2,20150608
81,023406156015ef87f99521f3b343f71f,3,20150609
82,023406156015ef87f99521f3b343f71f,4,20150610
83,023406156015ef87f99521f3b343f71f,4,20150611
84,023406156015ef87f99521f3b343f71f,3,20150612
85,023406156015ef87f99521f3b343f71f,4,20150613
86,023406156015ef87f99521f3b343f71f,2,20150614
87,023406156015ef87f99521f3b343f71f,7,20150615
88,023406156015ef87f99521f3b343f71f,2,20150616
89,023406156015ef87f99521f3b343f71f,4,20150617
90,023406156015ef87f99521f3b343f71f,7,20150618
91,023406156015ef87f99521f3b343f71f,8,20150619
92,023406156015ef87f99521f3b343f71f,5,20150620
93,023406156015ef87f99521f3b343f71f,3,20150621
94,023406156015ef87f99521f3b343f71f,7,20150622
95,023406156015ef87f99521f3b343f71f,9,20150623
96,023406156015ef87f99521f3b343f71f,6,20150624
97,023406156015ef87f99521f3b343f71f,2,20150625
98,023406156015ef87f99521f3b343f71f,11,20150626
99,023406156015ef87f99521f3b343f71f,4,20150627
100,023406156015ef87f99521f3b343f71f,4,20150628
101,023406156015ef87f99521f3b343f71f,4,20150629
102,023406156015ef87f99521f3b343f71f,6,20150630
103,023406156015ef87f99521f3b343f71f,9,20150701
104,023406156015ef87f99521f3b343f71f,9,20150702
105,023406156015ef87f99521f3b343f71f,3,20150703
106,023406156015ef87f99521f3b343f71f,8,20150704
107,023406156015ef87f99521f3b343f71f,2,20150705
108,023406156015ef87f99521f3b343f71f,5,20150706
109,023406156015ef87f99521f3b343f71f,9,20150707
110,023406156015ef87f99521f3b343f71f,6,20150708
111,023406156015ef87f99521f3b343f71f,2,20150709
112,023406156015ef87f99521f3b343f71f,10,20150710
113,023406156015ef87f99521f3b343f71f,5,20150711
114,023406156015ef87f99521f3b343f71f,7,20150713
115,023406156015ef87f99521f3b343f71f,7,20150714
116,023406156015ef87f99521f3b343f71f,5,20150715
117,023406156015ef87f99521f3b343f71f,7,20150716
118,023406156015ef87f99521f3b343f71f,7,20150717
119,023406156015ef87f99521f3b343f71f,12,20150718
120,023406156015ef87f99521f3b343f71f,3,20150719
121,023406156015ef87f99521f3b343f71f,2,20150720
122,023406156015ef87f99521f3b343f71f,3,20150721
123,023406156015ef87f99521f3b343f71f,9,20150722
124,023406156015ef87f99521f3b343f71f,13,20150723
125,023406156015ef87f99521f3b343f71f,2,20150724
126,023406156015ef87f99521f3b343f71f,10,20150725
127,023406156015ef87f99521f3b343f71f,8,20150726
128,023406156015ef87f99521f3b343f71f,6,20150727
129,023406156015ef87f99521f3b343f71f,4,20150728
130,023406156015ef87f99521f3b343f71f,3,20150729
131,023406156015ef87f99521f3b343f71f,11,20150730
132,023406156015ef87f99521f3b343f71f,3,20150731
133,023406156015ef87f99521f3b343f71f,6,20150801
134,023406156015ef87f99521f3b343f71f,7,20150802
135,023406156015ef87f99521f3b343f71f,7,20150803
136,023406156015ef87f99521f3b343f71f,6,20150804
137,023406156015ef87f99521f3b343f71f,5,20150805
138,023406156015ef87f99521f3b343f71f,3,20150806
139,023406156015ef87f99521f3b343f71f,4,20150807
140,023406156015ef87f99521f3b343f71f,1,20150808
141,023406156015ef87f99521f3b343f71f,5,20150809
142,023406156015ef87f99521f3b343f71f,7,20150810
143,023406156015ef87f99521f3b343f71f,12,20150811
144,023406156015ef87f99521f3b343f71f,5,20150812
145,023406156015ef87f99521f3b343f71f,7,20150813
146,023406156015ef87f99521f3b343f71f,8,20150814
147,023406156015ef87f99521f3b343f71f,11,20150815
148,023406156015ef87f99521f3b343f71f,6,20150816
149,023406156015ef87f99521f3b343f71f,2,20150817
150,023406156015ef87f99521f3b343f71f,4,20150818
151,023406156015ef87f99521f3b343f71f,8,20150819
152,023406156015ef87f99521f3b343f71f,3,20150820
153,023406156015ef87f99521f3b343f71f,4,20150821
154,023406156015ef87f99521f3b343f71f,10,20150822
155,023406156015ef87f99521f3b343f71f,11,20150823
156,023406156015ef87f99521f3b343f71f,5,20150824
157,023406156015ef87f99521f3b343f71f,8,20150825
158,023406156015ef87f99521f3b343f71f,4,20150826
159,023406156015ef87f99521f3b343f71f,4,20150827
160,023406156015ef87f99521f3b343f71f,4,20150828
161,023406156015ef87f99521f3b343f71f,11,20150829
162,023406156015ef87f99521f3b343f71f,9,20150830
