,artist_id,down,ds
0,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150302
1,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150303
2,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150304
3,6f462b173b2d6d20a2c9fb1ec0fd2dda,2,20150305
4,6f462b173b2d6d20a2c9fb1ec0fd2dda,2,20150306
5,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150308
6,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150310
7,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150313
8,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150316
9,6f462b173b2d6d20a2c9fb1ec0fd2dda,2,20150325
10,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150328
11,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150329
12,6f462b173b2d6d20a2c9fb1ec0fd2dda,6,20150330
13,6f462b173b2d6d20a2c9fb1ec0fd2dda,2,20150331
14,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150401
15,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150402
16,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150403
17,6f462b173b2d6d20a2c9fb1ec0fd2dda,4,20150404
18,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150405
19,6f462b173b2d6d20a2c9fb1ec0fd2dda,9,20150406
20,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150407
21,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150408
22,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150409
23,6f462b173b2d6d20a2c9fb1ec0fd2dda,8,20150410
24,6f462b173b2d6d20a2c9fb1ec0fd2dda,7,20150411
25,6f462b173b2d6d20a2c9fb1ec0fd2dda,4,20150412
26,6f462b173b2d6d20a2c9fb1ec0fd2dda,2,20150413
27,6f462b173b2d6d20a2c9fb1ec0fd2dda,6,20150414
28,6f462b173b2d6d20a2c9fb1ec0fd2dda,9,20150415
29,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150416
30,6f462b173b2d6d20a2c9fb1ec0fd2dda,4,20150417
31,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150418
32,6f462b173b2d6d20a2c9fb1ec0fd2dda,7,20150419
33,6f462b173b2d6d20a2c9fb1ec0fd2dda,8,20150420
34,6f462b173b2d6d20a2c9fb1ec0fd2dda,4,20150421
35,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150422
36,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150423
37,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150424
38,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150425
39,6f462b173b2d6d20a2c9fb1ec0fd2dda,9,20150426
40,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150427
41,6f462b173b2d6d20a2c9fb1ec0fd2dda,4,20150428
42,6f462b173b2d6d20a2c9fb1ec0fd2dda,6,20150429
43,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150430
44,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150501
45,6f462b173b2d6d20a2c9fb1ec0fd2dda,11,20150502
46,6f462b173b2d6d20a2c9fb1ec0fd2dda,6,20150503
47,6f462b173b2d6d20a2c9fb1ec0fd2dda,7,20150504
48,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150505
49,6f462b173b2d6d20a2c9fb1ec0fd2dda,4,20150506
50,6f462b173b2d6d20a2c9fb1ec0fd2dda,8,20150507
51,6f462b173b2d6d20a2c9fb1ec0fd2dda,8,20150508
52,6f462b173b2d6d20a2c9fb1ec0fd2dda,10,20150509
53,6f462b173b2d6d20a2c9fb1ec0fd2dda,6,20150510
54,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150511
55,6f462b173b2d6d20a2c9fb1ec0fd2dda,9,20150512
56,6f462b173b2d6d20a2c9fb1ec0fd2dda,10,20150513
57,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150514
58,6f462b173b2d6d20a2c9fb1ec0fd2dda,6,20150515
59,6f462b173b2d6d20a2c9fb1ec0fd2dda,7,20150516
60,6f462b173b2d6d20a2c9fb1ec0fd2dda,10,20150517
61,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150518
62,6f462b173b2d6d20a2c9fb1ec0fd2dda,1,20150519
63,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150520
64,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150521
65,6f462b173b2d6d20a2c9fb1ec0fd2dda,2,20150522
66,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150523
67,6f462b173b2d6d20a2c9fb1ec0fd2dda,12,20150524
68,6f462b173b2d6d20a2c9fb1ec0fd2dda,4,20150525
69,6f462b173b2d6d20a2c9fb1ec0fd2dda,6,20150526
70,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150527
71,6f462b173b2d6d20a2c9fb1ec0fd2dda,2,20150528
72,6f462b173b2d6d20a2c9fb1ec0fd2dda,8,20150529
73,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150530
74,6f462b173b2d6d20a2c9fb1ec0fd2dda,12,20150531
75,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150601
76,6f462b173b2d6d20a2c9fb1ec0fd2dda,5,20150602
77,6f462b173b2d6d20a2c9fb1ec0fd2dda,3,20150603
78,6f462b173b2d6d20a2c9fb1ec0fd2dda,4,20150604
79,6f462b173b2d6d20a2c9fb1ec0fd2dda,16,20150605
80,6f462b173b2d6d20a2c9fb1ec0fd2dda,25,20150606
81,6f462b173b2d6d20a2c9fb1ec0fd2dda,25,20150607
