,artist_id,down,ds
0,b6a175a48743caed6d035444c069ab64,2,20150328
1,b6a175a48743caed6d035444c069ab64,1,20150329
2,b6a175a48743caed6d035444c069ab64,2,20150330
3,b6a175a48743caed6d035444c069ab64,4,20150331
4,b6a175a48743caed6d035444c069ab64,2,20150401
5,b6a175a48743caed6d035444c069ab64,3,20150402
6,b6a175a48743caed6d035444c069ab64,4,20150403
7,b6a175a48743caed6d035444c069ab64,1,20150404
8,b6a175a48743caed6d035444c069ab64,7,20150405
9,b6a175a48743caed6d035444c069ab64,4,20150406
10,b6a175a48743caed6d035444c069ab64,2,20150407
11,b6a175a48743caed6d035444c069ab64,2,20150408
12,b6a175a48743caed6d035444c069ab64,2,20150409
13,b6a175a48743caed6d035444c069ab64,7,20150410
14,b6a175a48743caed6d035444c069ab64,3,20150411
15,b6a175a48743caed6d035444c069ab64,2,20150412
16,b6a175a48743caed6d035444c069ab64,3,20150413
17,b6a175a48743caed6d035444c069ab64,2,20150414
18,b6a175a48743caed6d035444c069ab64,4,20150415
19,b6a175a48743caed6d035444c069ab64,1,20150416
20,b6a175a48743caed6d035444c069ab64,4,20150417
21,b6a175a48743caed6d035444c069ab64,3,20150418
22,b6a175a48743caed6d035444c069ab64,7,20150419
23,b6a175a48743caed6d035444c069ab64,3,20150420
24,b6a175a48743caed6d035444c069ab64,1,20150421
25,b6a175a48743caed6d035444c069ab64,1,20150423
26,b6a175a48743caed6d035444c069ab64,5,20150424
27,b6a175a48743caed6d035444c069ab64,4,20150425
28,b6a175a48743caed6d035444c069ab64,3,20150426
29,b6a175a48743caed6d035444c069ab64,6,20150427
30,b6a175a48743caed6d035444c069ab64,3,20150428
31,b6a175a48743caed6d035444c069ab64,3,20150429
32,b6a175a48743caed6d035444c069ab64,4,20150430
33,b6a175a48743caed6d035444c069ab64,4,20150501
34,b6a175a48743caed6d035444c069ab64,4,20150502
35,b6a175a48743caed6d035444c069ab64,4,20150503
36,b6a175a48743caed6d035444c069ab64,2,20150504
37,b6a175a48743caed6d035444c069ab64,4,20150506
38,b6a175a48743caed6d035444c069ab64,4,20150507
39,b6a175a48743caed6d035444c069ab64,3,20150508
40,b6a175a48743caed6d035444c069ab64,6,20150510
41,b6a175a48743caed6d035444c069ab64,2,20150511
42,b6a175a48743caed6d035444c069ab64,6,20150512
43,b6a175a48743caed6d035444c069ab64,2,20150513
44,b6a175a48743caed6d035444c069ab64,6,20150514
45,b6a175a48743caed6d035444c069ab64,2,20150515
46,b6a175a48743caed6d035444c069ab64,1,20150516
47,b6a175a48743caed6d035444c069ab64,5,20150517
48,b6a175a48743caed6d035444c069ab64,4,20150518
49,b6a175a48743caed6d035444c069ab64,1,20150519
50,b6a175a48743caed6d035444c069ab64,2,20150520
51,b6a175a48743caed6d035444c069ab64,1,20150523
52,b6a175a48743caed6d035444c069ab64,1,20150524
53,b6a175a48743caed6d035444c069ab64,1,20150525
54,b6a175a48743caed6d035444c069ab64,1,20150526
55,b6a175a48743caed6d035444c069ab64,2,20150527
56,b6a175a48743caed6d035444c069ab64,5,20150528
57,b6a175a48743caed6d035444c069ab64,2,20150529
58,b6a175a48743caed6d035444c069ab64,1,20150530
59,b6a175a48743caed6d035444c069ab64,6,20150531
60,b6a175a48743caed6d035444c069ab64,3,20150601
61,b6a175a48743caed6d035444c069ab64,4,20150603
62,b6a175a48743caed6d035444c069ab64,1,20150604
63,b6a175a48743caed6d035444c069ab64,6,20150605
64,b6a175a48743caed6d035444c069ab64,1,20150606
65,b6a175a48743caed6d035444c069ab64,7,20150607
66,b6a175a48743caed6d035444c069ab64,4,20150608
67,b6a175a48743caed6d035444c069ab64,2,20150609
68,b6a175a48743caed6d035444c069ab64,3,20150610
69,b6a175a48743caed6d035444c069ab64,5,20150611
70,b6a175a48743caed6d035444c069ab64,2,20150612
71,b6a175a48743caed6d035444c069ab64,5,20150613
72,b6a175a48743caed6d035444c069ab64,5,20150614
73,b6a175a48743caed6d035444c069ab64,26,20150615
74,b6a175a48743caed6d035444c069ab64,1,20150616
75,b6a175a48743caed6d035444c069ab64,1,20150617
76,b6a175a48743caed6d035444c069ab64,3,20150618
77,b6a175a48743caed6d035444c069ab64,4,20150619
78,b6a175a48743caed6d035444c069ab64,3,20150620
79,b6a175a48743caed6d035444c069ab64,1,20150621
80,b6a175a48743caed6d035444c069ab64,3,20150622
81,b6a175a48743caed6d035444c069ab64,7,20150623
82,b6a175a48743caed6d035444c069ab64,2,20150624
83,b6a175a48743caed6d035444c069ab64,4,20150625
84,b6a175a48743caed6d035444c069ab64,6,20150626
85,b6a175a48743caed6d035444c069ab64,1,20150627
86,b6a175a48743caed6d035444c069ab64,4,20150628
87,b6a175a48743caed6d035444c069ab64,6,20150630
88,b6a175a48743caed6d035444c069ab64,2,20150701
89,b6a175a48743caed6d035444c069ab64,5,20150702
90,b6a175a48743caed6d035444c069ab64,4,20150703
91,b6a175a48743caed6d035444c069ab64,2,20150704
92,b6a175a48743caed6d035444c069ab64,1,20150705
93,b6a175a48743caed6d035444c069ab64,3,20150706
94,b6a175a48743caed6d035444c069ab64,2,20150707
95,b6a175a48743caed6d035444c069ab64,1,20150708
96,b6a175a48743caed6d035444c069ab64,5,20150709
97,b6a175a48743caed6d035444c069ab64,8,20150710
98,b6a175a48743caed6d035444c069ab64,5,20150711
99,b6a175a48743caed6d035444c069ab64,2,20150712
100,b6a175a48743caed6d035444c069ab64,2,20150713
101,b6a175a48743caed6d035444c069ab64,2,20150714
102,b6a175a48743caed6d035444c069ab64,1,20150715
103,b6a175a48743caed6d035444c069ab64,6,20150716
104,b6a175a48743caed6d035444c069ab64,5,20150717
105,b6a175a48743caed6d035444c069ab64,1,20150718
106,b6a175a48743caed6d035444c069ab64,3,20150719
107,b6a175a48743caed6d035444c069ab64,2,20150721
108,b6a175a48743caed6d035444c069ab64,1,20150722
109,b6a175a48743caed6d035444c069ab64,2,20150723
110,b6a175a48743caed6d035444c069ab64,5,20150724
111,b6a175a48743caed6d035444c069ab64,2,20150725
112,b6a175a48743caed6d035444c069ab64,6,20150726
113,b6a175a48743caed6d035444c069ab64,4,20150727
114,b6a175a48743caed6d035444c069ab64,2,20150728
115,b6a175a48743caed6d035444c069ab64,2,20150729
116,b6a175a48743caed6d035444c069ab64,6,20150730
117,b6a175a48743caed6d035444c069ab64,3,20150731
118,b6a175a48743caed6d035444c069ab64,1,20150801
119,b6a175a48743caed6d035444c069ab64,1,20150802
120,b6a175a48743caed6d035444c069ab64,7,20150803
121,b6a175a48743caed6d035444c069ab64,3,20150804
122,b6a175a48743caed6d035444c069ab64,3,20150805
123,b6a175a48743caed6d035444c069ab64,4,20150806
124,b6a175a48743caed6d035444c069ab64,3,20150808
125,b6a175a48743caed6d035444c069ab64,3,20150809
126,b6a175a48743caed6d035444c069ab64,3,20150810
127,b6a175a48743caed6d035444c069ab64,4,20150811
128,b6a175a48743caed6d035444c069ab64,3,20150812
129,b6a175a48743caed6d035444c069ab64,4,20150813
130,b6a175a48743caed6d035444c069ab64,1,20150815
131,b6a175a48743caed6d035444c069ab64,4,20150816
132,b6a175a48743caed6d035444c069ab64,2,20150817
133,b6a175a48743caed6d035444c069ab64,5,20150818
134,b6a175a48743caed6d035444c069ab64,4,20150819
135,b6a175a48743caed6d035444c069ab64,1,20150820
136,b6a175a48743caed6d035444c069ab64,8,20150821
137,b6a175a48743caed6d035444c069ab64,6,20150822
138,b6a175a48743caed6d035444c069ab64,5,20150823
139,b6a175a48743caed6d035444c069ab64,3,20150824
140,b6a175a48743caed6d035444c069ab64,3,20150825
141,b6a175a48743caed6d035444c069ab64,1,20150826
142,b6a175a48743caed6d035444c069ab64,7,20150827
143,b6a175a48743caed6d035444c069ab64,2,20150828
144,b6a175a48743caed6d035444c069ab64,4,20150829
145,b6a175a48743caed6d035444c069ab64,3,20150830
