,artist_id,down,ds
0,6f462b173b2d6d20a2c9fb1ec0fd2dda,73,20150301
1,6f462b173b2d6d20a2c9fb1ec0fd2dda,61,20150302
2,6f462b173b2d6d20a2c9fb1ec0fd2dda,87,20150303
3,6f462b173b2d6d20a2c9fb1ec0fd2dda,99,20150304
4,6f462b173b2d6d20a2c9fb1ec0fd2dda,104,20150305
5,6f462b173b2d6d20a2c9fb1ec0fd2dda,120,20150306
6,6f462b173b2d6d20a2c9fb1ec0fd2dda,304,20150307
7,6f462b173b2d6d20a2c9fb1ec0fd2dda,326,20150308
8,6f462b173b2d6d20a2c9fb1ec0fd2dda,163,20150309
9,6f462b173b2d6d20a2c9fb1ec0fd2dda,76,20150310
10,6f462b173b2d6d20a2c9fb1ec0fd2dda,85,20150311
11,6f462b173b2d6d20a2c9fb1ec0fd2dda,95,20150312
12,6f462b173b2d6d20a2c9fb1ec0fd2dda,91,20150313
13,6f462b173b2d6d20a2c9fb1ec0fd2dda,48,20150314
14,6f462b173b2d6d20a2c9fb1ec0fd2dda,85,20150315
15,6f462b173b2d6d20a2c9fb1ec0fd2dda,45,20150316
16,6f462b173b2d6d20a2c9fb1ec0fd2dda,51,20150317
17,6f462b173b2d6d20a2c9fb1ec0fd2dda,35,20150318
18,6f462b173b2d6d20a2c9fb1ec0fd2dda,59,20150319
19,6f462b173b2d6d20a2c9fb1ec0fd2dda,89,20150320
20,6f462b173b2d6d20a2c9fb1ec0fd2dda,42,20150321
21,6f462b173b2d6d20a2c9fb1ec0fd2dda,22,20150322
22,6f462b173b2d6d20a2c9fb1ec0fd2dda,26,20150323
23,6f462b173b2d6d20a2c9fb1ec0fd2dda,35,20150324
24,6f462b173b2d6d20a2c9fb1ec0fd2dda,24,20150325
25,6f462b173b2d6d20a2c9fb1ec0fd2dda,33,20150326
26,6f462b173b2d6d20a2c9fb1ec0fd2dda,83,20150327
27,6f462b173b2d6d20a2c9fb1ec0fd2dda,124,20150328
28,6f462b173b2d6d20a2c9fb1ec0fd2dda,85,20150329
