,artist_id,down,ds
0,b6a175a48743caed6d035444c069ab64,25,20150301
1,b6a175a48743caed6d035444c069ab64,13,20150302
2,b6a175a48743caed6d035444c069ab64,21,20150303
3,b6a175a48743caed6d035444c069ab64,10,20150304
4,b6a175a48743caed6d035444c069ab64,11,20150305
5,b6a175a48743caed6d035444c069ab64,24,20150306
6,b6a175a48743caed6d035444c069ab64,18,20150307
7,b6a175a48743caed6d035444c069ab64,21,20150308
8,b6a175a48743caed6d035444c069ab64,7,20150309
9,b6a175a48743caed6d035444c069ab64,22,20150310
10,b6a175a48743caed6d035444c069ab64,10,20150311
11,b6a175a48743caed6d035444c069ab64,30,20150312
12,b6a175a48743caed6d035444c069ab64,12,20150313
13,b6a175a48743caed6d035444c069ab64,15,20150314
14,b6a175a48743caed6d035444c069ab64,16,20150315
15,b6a175a48743caed6d035444c069ab64,13,20150316
16,b6a175a48743caed6d035444c069ab64,7,20150317
17,b6a175a48743caed6d035444c069ab64,11,20150318
18,b6a175a48743caed6d035444c069ab64,5,20150319
19,b6a175a48743caed6d035444c069ab64,10,20150320
20,b6a175a48743caed6d035444c069ab64,17,20150321
21,b6a175a48743caed6d035444c069ab64,25,20150322
22,b6a175a48743caed6d035444c069ab64,22,20150323
23,b6a175a48743caed6d035444c069ab64,23,20150324
24,b6a175a48743caed6d035444c069ab64,19,20150325
25,b6a175a48743caed6d035444c069ab64,18,20150326
26,b6a175a48743caed6d035444c069ab64,23,20150327
27,b6a175a48743caed6d035444c069ab64,38,20150328
28,b6a175a48743caed6d035444c069ab64,29,20150329
29,b6a175a48743caed6d035444c069ab64,16,20150330
30,b6a175a48743caed6d035444c069ab64,17,20150331
31,b6a175a48743caed6d035444c069ab64,24,20150401
32,b6a175a48743caed6d035444c069ab64,22,20150402
33,b6a175a48743caed6d035444c069ab64,16,20150403
34,b6a175a48743caed6d035444c069ab64,24,20150404
35,b6a175a48743caed6d035444c069ab64,30,20150405
36,b6a175a48743caed6d035444c069ab64,32,20150406
37,b6a175a48743caed6d035444c069ab64,15,20150407
38,b6a175a48743caed6d035444c069ab64,24,20150408
39,b6a175a48743caed6d035444c069ab64,10,20150409
40,b6a175a48743caed6d035444c069ab64,19,20150410
41,b6a175a48743caed6d035444c069ab64,42,20150411
42,b6a175a48743caed6d035444c069ab64,13,20150412
43,b6a175a48743caed6d035444c069ab64,18,20150413
44,b6a175a48743caed6d035444c069ab64,16,20150414
45,b6a175a48743caed6d035444c069ab64,36,20150415
46,b6a175a48743caed6d035444c069ab64,24,20150416
47,b6a175a48743caed6d035444c069ab64,27,20150417
48,b6a175a48743caed6d035444c069ab64,21,20150418
49,b6a175a48743caed6d035444c069ab64,40,20150419
50,b6a175a48743caed6d035444c069ab64,19,20150420
51,b6a175a48743caed6d035444c069ab64,19,20150421
52,b6a175a48743caed6d035444c069ab64,17,20150422
53,b6a175a48743caed6d035444c069ab64,22,20150423
54,b6a175a48743caed6d035444c069ab64,18,20150424
55,b6a175a48743caed6d035444c069ab64,24,20150425
56,b6a175a48743caed6d035444c069ab64,27,20150426
57,b6a175a48743caed6d035444c069ab64,12,20150427
58,b6a175a48743caed6d035444c069ab64,16,20150428
59,b6a175a48743caed6d035444c069ab64,25,20150429
60,b6a175a48743caed6d035444c069ab64,20,20150430
61,b6a175a48743caed6d035444c069ab64,19,20150501
62,b6a175a48743caed6d035444c069ab64,36,20150502
63,b6a175a48743caed6d035444c069ab64,39,20150503
64,b6a175a48743caed6d035444c069ab64,20,20150504
65,b6a175a48743caed6d035444c069ab64,13,20150505
66,b6a175a48743caed6d035444c069ab64,17,20150506
67,b6a175a48743caed6d035444c069ab64,19,20150507
68,b6a175a48743caed6d035444c069ab64,26,20150508
69,b6a175a48743caed6d035444c069ab64,27,20150509
70,b6a175a48743caed6d035444c069ab64,27,20150510
71,b6a175a48743caed6d035444c069ab64,30,20150511
72,b6a175a48743caed6d035444c069ab64,55,20150512
73,b6a175a48743caed6d035444c069ab64,26,20150513
74,b6a175a48743caed6d035444c069ab64,27,20150514
75,b6a175a48743caed6d035444c069ab64,25,20150515
76,b6a175a48743caed6d035444c069ab64,20,20150516
77,b6a175a48743caed6d035444c069ab64,17,20150517
78,b6a175a48743caed6d035444c069ab64,21,20150518
79,b6a175a48743caed6d035444c069ab64,26,20150519
80,b6a175a48743caed6d035444c069ab64,25,20150520
81,b6a175a48743caed6d035444c069ab64,30,20150521
82,b6a175a48743caed6d035444c069ab64,26,20150522
83,b6a175a48743caed6d035444c069ab64,41,20150523
84,b6a175a48743caed6d035444c069ab64,22,20150524
85,b6a175a48743caed6d035444c069ab64,16,20150525
86,b6a175a48743caed6d035444c069ab64,4,20150526
87,b6a175a48743caed6d035444c069ab64,18,20150527
88,b6a175a48743caed6d035444c069ab64,14,20150528
89,b6a175a48743caed6d035444c069ab64,39,20150529
90,b6a175a48743caed6d035444c069ab64,29,20150530
91,b6a175a48743caed6d035444c069ab64,29,20150531
92,b6a175a48743caed6d035444c069ab64,18,20150601
93,b6a175a48743caed6d035444c069ab64,22,20150602
94,b6a175a48743caed6d035444c069ab64,12,20150603
95,b6a175a48743caed6d035444c069ab64,17,20150604
96,b6a175a48743caed6d035444c069ab64,26,20150605
97,b6a175a48743caed6d035444c069ab64,15,20150606
98,b6a175a48743caed6d035444c069ab64,38,20150607
99,b6a175a48743caed6d035444c069ab64,31,20150608
100,b6a175a48743caed6d035444c069ab64,32,20150609
101,b6a175a48743caed6d035444c069ab64,23,20150610
102,b6a175a48743caed6d035444c069ab64,13,20150611
103,b6a175a48743caed6d035444c069ab64,15,20150612
104,b6a175a48743caed6d035444c069ab64,25,20150613
105,b6a175a48743caed6d035444c069ab64,28,20150614
106,b6a175a48743caed6d035444c069ab64,25,20150615
107,b6a175a48743caed6d035444c069ab64,17,20150616
108,b6a175a48743caed6d035444c069ab64,17,20150617
109,b6a175a48743caed6d035444c069ab64,29,20150618
110,b6a175a48743caed6d035444c069ab64,20,20150619
111,b6a175a48743caed6d035444c069ab64,16,20150620
112,b6a175a48743caed6d035444c069ab64,29,20150621
113,b6a175a48743caed6d035444c069ab64,14,20150622
114,b6a175a48743caed6d035444c069ab64,13,20150623
115,b6a175a48743caed6d035444c069ab64,8,20150624
116,b6a175a48743caed6d035444c069ab64,22,20150625
117,b6a175a48743caed6d035444c069ab64,20,20150626
118,b6a175a48743caed6d035444c069ab64,37,20150627
119,b6a175a48743caed6d035444c069ab64,18,20150628
120,b6a175a48743caed6d035444c069ab64,9,20150629
121,b6a175a48743caed6d035444c069ab64,13,20150630
122,b6a175a48743caed6d035444c069ab64,12,20150701
123,b6a175a48743caed6d035444c069ab64,23,20150702
124,b6a175a48743caed6d035444c069ab64,16,20150703
125,b6a175a48743caed6d035444c069ab64,25,20150704
126,b6a175a48743caed6d035444c069ab64,12,20150705
127,b6a175a48743caed6d035444c069ab64,20,20150706
128,b6a175a48743caed6d035444c069ab64,23,20150707
129,b6a175a48743caed6d035444c069ab64,24,20150708
130,b6a175a48743caed6d035444c069ab64,27,20150709
131,b6a175a48743caed6d035444c069ab64,24,20150710
132,b6a175a48743caed6d035444c069ab64,24,20150711
133,b6a175a48743caed6d035444c069ab64,24,20150712
134,b6a175a48743caed6d035444c069ab64,33,20150713
135,b6a175a48743caed6d035444c069ab64,48,20150714
136,b6a175a48743caed6d035444c069ab64,13,20150715
137,b6a175a48743caed6d035444c069ab64,22,20150716
138,b6a175a48743caed6d035444c069ab64,11,20150717
139,b6a175a48743caed6d035444c069ab64,10,20150718
140,b6a175a48743caed6d035444c069ab64,21,20150719
141,b6a175a48743caed6d035444c069ab64,12,20150720
142,b6a175a48743caed6d035444c069ab64,7,20150721
143,b6a175a48743caed6d035444c069ab64,20,20150722
144,b6a175a48743caed6d035444c069ab64,24,20150723
145,b6a175a48743caed6d035444c069ab64,15,20150724
146,b6a175a48743caed6d035444c069ab64,18,20150725
147,b6a175a48743caed6d035444c069ab64,27,20150726
148,b6a175a48743caed6d035444c069ab64,14,20150727
149,b6a175a48743caed6d035444c069ab64,13,20150728
150,b6a175a48743caed6d035444c069ab64,35,20150729
151,b6a175a48743caed6d035444c069ab64,10,20150730
152,b6a175a48743caed6d035444c069ab64,10,20150731
153,b6a175a48743caed6d035444c069ab64,22,20150801
154,b6a175a48743caed6d035444c069ab64,18,20150802
155,b6a175a48743caed6d035444c069ab64,22,20150803
156,b6a175a48743caed6d035444c069ab64,12,20150804
157,b6a175a48743caed6d035444c069ab64,22,20150805
158,b6a175a48743caed6d035444c069ab64,18,20150806
159,b6a175a48743caed6d035444c069ab64,28,20150807
160,b6a175a48743caed6d035444c069ab64,9,20150808
161,b6a175a48743caed6d035444c069ab64,13,20150809
162,b6a175a48743caed6d035444c069ab64,31,20150810
163,b6a175a48743caed6d035444c069ab64,38,20150811
164,b6a175a48743caed6d035444c069ab64,39,20150812
165,b6a175a48743caed6d035444c069ab64,12,20150813
166,b6a175a48743caed6d035444c069ab64,20,20150814
167,b6a175a48743caed6d035444c069ab64,26,20150815
168,b6a175a48743caed6d035444c069ab64,13,20150816
169,b6a175a48743caed6d035444c069ab64,29,20150817
170,b6a175a48743caed6d035444c069ab64,20,20150818
171,b6a175a48743caed6d035444c069ab64,33,20150819
172,b6a175a48743caed6d035444c069ab64,14,20150820
173,b6a175a48743caed6d035444c069ab64,98,20150821
174,b6a175a48743caed6d035444c069ab64,22,20150822
175,b6a175a48743caed6d035444c069ab64,20,20150823
176,b6a175a48743caed6d035444c069ab64,28,20150824
177,b6a175a48743caed6d035444c069ab64,17,20150825
178,b6a175a48743caed6d035444c069ab64,40,20150826
179,b6a175a48743caed6d035444c069ab64,31,20150827
180,b6a175a48743caed6d035444c069ab64,24,20150828
181,b6a175a48743caed6d035444c069ab64,23,20150829
182,b6a175a48743caed6d035444c069ab64,46,20150830
