,artist_id,down,ds
0,0c80008b0a28d356026f4b1097041689,74,20150301
1,0c80008b0a28d356026f4b1097041689,63,20150302
2,0c80008b0a28d356026f4b1097041689,76,20150303
3,0c80008b0a28d356026f4b1097041689,74,20150304
4,0c80008b0a28d356026f4b1097041689,93,20150305
5,0c80008b0a28d356026f4b1097041689,114,20150306
6,0c80008b0a28d356026f4b1097041689,108,20150307
7,0c80008b0a28d356026f4b1097041689,76,20150308
8,0c80008b0a28d356026f4b1097041689,86,20150309
9,0c80008b0a28d356026f4b1097041689,128,20150310
10,0c80008b0a28d356026f4b1097041689,81,20150311
11,0c80008b0a28d356026f4b1097041689,72,20150312
12,0c80008b0a28d356026f4b1097041689,96,20150313
13,0c80008b0a28d356026f4b1097041689,92,20150314
14,0c80008b0a28d356026f4b1097041689,93,20150315
15,0c80008b0a28d356026f4b1097041689,117,20150316
16,0c80008b0a28d356026f4b1097041689,154,20150317
17,0c80008b0a28d356026f4b1097041689,173,20150318
18,0c80008b0a28d356026f4b1097041689,104,20150319
19,0c80008b0a28d356026f4b1097041689,98,20150320
20,0c80008b0a28d356026f4b1097041689,160,20150321
21,0c80008b0a28d356026f4b1097041689,166,20150322
22,0c80008b0a28d356026f4b1097041689,135,20150323
23,0c80008b0a28d356026f4b1097041689,147,20150324
24,0c80008b0a28d356026f4b1097041689,178,20150325
25,0c80008b0a28d356026f4b1097041689,153,20150326
26,0c80008b0a28d356026f4b1097041689,134,20150327
27,0c80008b0a28d356026f4b1097041689,129,20150328
28,0c80008b0a28d356026f4b1097041689,122,20150329
29,0c80008b0a28d356026f4b1097041689,148,20150330
30,0c80008b0a28d356026f4b1097041689,117,20150331
31,0c80008b0a28d356026f4b1097041689,159,20150401
32,0c80008b0a28d356026f4b1097041689,159,20150402
33,0c80008b0a28d356026f4b1097041689,171,20150403
34,0c80008b0a28d356026f4b1097041689,126,20150404
35,0c80008b0a28d356026f4b1097041689,260,20150405
36,0c80008b0a28d356026f4b1097041689,182,20150406
