,artist_id,down,ds
0,25739ad1c56a511fcac86018ac4e49bb,30,20150301
1,25739ad1c56a511fcac86018ac4e49bb,34,20150302
2,25739ad1c56a511fcac86018ac4e49bb,55,20150303
3,25739ad1c56a511fcac86018ac4e49bb,24,20150304
4,25739ad1c56a511fcac86018ac4e49bb,28,20150305
5,25739ad1c56a511fcac86018ac4e49bb,18,20150306
6,25739ad1c56a511fcac86018ac4e49bb,41,20150307
7,25739ad1c56a511fcac86018ac4e49bb,48,20150308
8,25739ad1c56a511fcac86018ac4e49bb,39,20150309
9,25739ad1c56a511fcac86018ac4e49bb,31,20150310
10,25739ad1c56a511fcac86018ac4e49bb,43,20150311
11,25739ad1c56a511fcac86018ac4e49bb,38,20150312
12,25739ad1c56a511fcac86018ac4e49bb,24,20150313
13,25739ad1c56a511fcac86018ac4e49bb,25,20150314
14,25739ad1c56a511fcac86018ac4e49bb,21,20150315
15,25739ad1c56a511fcac86018ac4e49bb,32,20150316
16,25739ad1c56a511fcac86018ac4e49bb,34,20150317
17,25739ad1c56a511fcac86018ac4e49bb,61,20150318
18,25739ad1c56a511fcac86018ac4e49bb,33,20150319
19,25739ad1c56a511fcac86018ac4e49bb,44,20150320
20,25739ad1c56a511fcac86018ac4e49bb,24,20150321
21,25739ad1c56a511fcac86018ac4e49bb,31,20150322
22,25739ad1c56a511fcac86018ac4e49bb,43,20150323
23,25739ad1c56a511fcac86018ac4e49bb,55,20150324
24,25739ad1c56a511fcac86018ac4e49bb,66,20150325
25,25739ad1c56a511fcac86018ac4e49bb,36,20150326
26,25739ad1c56a511fcac86018ac4e49bb,48,20150327
27,25739ad1c56a511fcac86018ac4e49bb,95,20150328
28,25739ad1c56a511fcac86018ac4e49bb,44,20150329
29,25739ad1c56a511fcac86018ac4e49bb,42,20150330
30,25739ad1c56a511fcac86018ac4e49bb,74,20150331
31,25739ad1c56a511fcac86018ac4e49bb,101,20150401
32,25739ad1c56a511fcac86018ac4e49bb,75,20150402
33,25739ad1c56a511fcac86018ac4e49bb,93,20150403
