,artist_id,down,ds
0,c5eac1d455675dfbc99f6c70f7b3971f,26,20150301
1,c5eac1d455675dfbc99f6c70f7b3971f,26,20150302
2,c5eac1d455675dfbc99f6c70f7b3971f,71,20150303
3,c5eac1d455675dfbc99f6c70f7b3971f,54,20150304
4,c5eac1d455675dfbc99f6c70f7b3971f,33,20150305
5,c5eac1d455675dfbc99f6c70f7b3971f,34,20150306
6,c5eac1d455675dfbc99f6c70f7b3971f,101,20150307
7,c5eac1d455675dfbc99f6c70f7b3971f,53,20150308
8,c5eac1d455675dfbc99f6c70f7b3971f,36,20150309
9,c5eac1d455675dfbc99f6c70f7b3971f,153,20150310
10,c5eac1d455675dfbc99f6c70f7b3971f,42,20150311
11,c5eac1d455675dfbc99f6c70f7b3971f,60,20150312
12,c5eac1d455675dfbc99f6c70f7b3971f,25,20150313
13,c5eac1d455675dfbc99f6c70f7b3971f,180,20150314
14,c5eac1d455675dfbc99f6c70f7b3971f,7,20150315
15,c5eac1d455675dfbc99f6c70f7b3971f,16,20150316
16,c5eac1d455675dfbc99f6c70f7b3971f,23,20150317
17,c5eac1d455675dfbc99f6c70f7b3971f,14,20150318
18,c5eac1d455675dfbc99f6c70f7b3971f,103,20150319
19,c5eac1d455675dfbc99f6c70f7b3971f,52,20150320
20,c5eac1d455675dfbc99f6c70f7b3971f,57,20150321
21,c5eac1d455675dfbc99f6c70f7b3971f,136,20150322
22,c5eac1d455675dfbc99f6c70f7b3971f,21,20150323
23,c5eac1d455675dfbc99f6c70f7b3971f,16,20150324
24,c5eac1d455675dfbc99f6c70f7b3971f,9,20150325
25,c5eac1d455675dfbc99f6c70f7b3971f,13,20150326
26,c5eac1d455675dfbc99f6c70f7b3971f,42,20150327
27,c5eac1d455675dfbc99f6c70f7b3971f,41,20150328
28,c5eac1d455675dfbc99f6c70f7b3971f,23,20150329
29,c5eac1d455675dfbc99f6c70f7b3971f,15,20150330
30,c5eac1d455675dfbc99f6c70f7b3971f,23,20150331
31,c5eac1d455675dfbc99f6c70f7b3971f,17,20150401
32,c5eac1d455675dfbc99f6c70f7b3971f,16,20150402
33,c5eac1d455675dfbc99f6c70f7b3971f,103,20150403
34,c5eac1d455675dfbc99f6c70f7b3971f,41,20150404
35,c5eac1d455675dfbc99f6c70f7b3971f,37,20150405
36,c5eac1d455675dfbc99f6c70f7b3971f,26,20150406
37,c5eac1d455675dfbc99f6c70f7b3971f,40,20150407
38,c5eac1d455675dfbc99f6c70f7b3971f,79,20150408
39,c5eac1d455675dfbc99f6c70f7b3971f,35,20150409
40,c5eac1d455675dfbc99f6c70f7b3971f,34,20150410
41,c5eac1d455675dfbc99f6c70f7b3971f,22,20150411
42,c5eac1d455675dfbc99f6c70f7b3971f,56,20150412
43,c5eac1d455675dfbc99f6c70f7b3971f,13,20150413
44,c5eac1d455675dfbc99f6c70f7b3971f,116,20150414
45,c5eac1d455675dfbc99f6c70f7b3971f,120,20150415
46,c5eac1d455675dfbc99f6c70f7b3971f,111,20150416
47,c5eac1d455675dfbc99f6c70f7b3971f,37,20150417
48,c5eac1d455675dfbc99f6c70f7b3971f,87,20150418
49,c5eac1d455675dfbc99f6c70f7b3971f,49,20150419
50,c5eac1d455675dfbc99f6c70f7b3971f,70,20150420
51,c5eac1d455675dfbc99f6c70f7b3971f,32,20150421
52,c5eac1d455675dfbc99f6c70f7b3971f,24,20150422
53,c5eac1d455675dfbc99f6c70f7b3971f,40,20150423
54,c5eac1d455675dfbc99f6c70f7b3971f,56,20150424
55,c5eac1d455675dfbc99f6c70f7b3971f,78,20150425
56,c5eac1d455675dfbc99f6c70f7b3971f,83,20150426
57,c5eac1d455675dfbc99f6c70f7b3971f,84,20150427
58,c5eac1d455675dfbc99f6c70f7b3971f,27,20150428
59,c5eac1d455675dfbc99f6c70f7b3971f,28,20150429
60,c5eac1d455675dfbc99f6c70f7b3971f,27,20150430
61,c5eac1d455675dfbc99f6c70f7b3971f,82,20150501
62,c5eac1d455675dfbc99f6c70f7b3971f,28,20150502
63,c5eac1d455675dfbc99f6c70f7b3971f,13,20150503
64,c5eac1d455675dfbc99f6c70f7b3971f,84,20150504
65,c5eac1d455675dfbc99f6c70f7b3971f,97,20150505
66,c5eac1d455675dfbc99f6c70f7b3971f,12,20150506
67,c5eac1d455675dfbc99f6c70f7b3971f,92,20150507
68,c5eac1d455675dfbc99f6c70f7b3971f,24,20150508
69,c5eac1d455675dfbc99f6c70f7b3971f,22,20150509
70,c5eac1d455675dfbc99f6c70f7b3971f,17,20150510
71,c5eac1d455675dfbc99f6c70f7b3971f,55,20150511
72,c5eac1d455675dfbc99f6c70f7b3971f,49,20150512
73,c5eac1d455675dfbc99f6c70f7b3971f,70,20150513
74,c5eac1d455675dfbc99f6c70f7b3971f,28,20150514
75,c5eac1d455675dfbc99f6c70f7b3971f,67,20150515
76,c5eac1d455675dfbc99f6c70f7b3971f,33,20150516
77,c5eac1d455675dfbc99f6c70f7b3971f,38,20150517
78,c5eac1d455675dfbc99f6c70f7b3971f,43,20150518
79,c5eac1d455675dfbc99f6c70f7b3971f,43,20150519
80,c5eac1d455675dfbc99f6c70f7b3971f,19,20150520
81,c5eac1d455675dfbc99f6c70f7b3971f,31,20150521
82,c5eac1d455675dfbc99f6c70f7b3971f,27,20150522
83,c5eac1d455675dfbc99f6c70f7b3971f,42,20150523
84,c5eac1d455675dfbc99f6c70f7b3971f,16,20150524
85,c5eac1d455675dfbc99f6c70f7b3971f,27,20150525
86,c5eac1d455675dfbc99f6c70f7b3971f,33,20150526
87,c5eac1d455675dfbc99f6c70f7b3971f,76,20150527
88,c5eac1d455675dfbc99f6c70f7b3971f,58,20150528
89,c5eac1d455675dfbc99f6c70f7b3971f,28,20150529
90,c5eac1d455675dfbc99f6c70f7b3971f,29,20150530
91,c5eac1d455675dfbc99f6c70f7b3971f,52,20150531
92,c5eac1d455675dfbc99f6c70f7b3971f,42,20150601
93,c5eac1d455675dfbc99f6c70f7b3971f,37,20150602
94,c5eac1d455675dfbc99f6c70f7b3971f,28,20150603
95,c5eac1d455675dfbc99f6c70f7b3971f,28,20150604
96,c5eac1d455675dfbc99f6c70f7b3971f,36,20150605
97,c5eac1d455675dfbc99f6c70f7b3971f,82,20150606
98,c5eac1d455675dfbc99f6c70f7b3971f,27,20150607
99,c5eac1d455675dfbc99f6c70f7b3971f,140,20150608
100,c5eac1d455675dfbc99f6c70f7b3971f,72,20150609
101,c5eac1d455675dfbc99f6c70f7b3971f,130,20150610
102,c5eac1d455675dfbc99f6c70f7b3971f,101,20150611
103,c5eac1d455675dfbc99f6c70f7b3971f,45,20150612
104,c5eac1d455675dfbc99f6c70f7b3971f,29,20150613
105,c5eac1d455675dfbc99f6c70f7b3971f,58,20150614
106,c5eac1d455675dfbc99f6c70f7b3971f,51,20150615
107,c5eac1d455675dfbc99f6c70f7b3971f,23,20150616
108,c5eac1d455675dfbc99f6c70f7b3971f,60,20150617
109,c5eac1d455675dfbc99f6c70f7b3971f,58,20150618
110,c5eac1d455675dfbc99f6c70f7b3971f,31,20150619
111,c5eac1d455675dfbc99f6c70f7b3971f,38,20150620
112,c5eac1d455675dfbc99f6c70f7b3971f,47,20150621
113,c5eac1d455675dfbc99f6c70f7b3971f,85,20150622
114,c5eac1d455675dfbc99f6c70f7b3971f,90,20150623
115,c5eac1d455675dfbc99f6c70f7b3971f,100,20150624
116,c5eac1d455675dfbc99f6c70f7b3971f,61,20150625
117,c5eac1d455675dfbc99f6c70f7b3971f,56,20150626
118,c5eac1d455675dfbc99f6c70f7b3971f,40,20150627
119,c5eac1d455675dfbc99f6c70f7b3971f,34,20150628
120,c5eac1d455675dfbc99f6c70f7b3971f,38,20150629
121,c5eac1d455675dfbc99f6c70f7b3971f,61,20150630
122,c5eac1d455675dfbc99f6c70f7b3971f,34,20150701
123,c5eac1d455675dfbc99f6c70f7b3971f,65,20150702
124,c5eac1d455675dfbc99f6c70f7b3971f,74,20150703
125,c5eac1d455675dfbc99f6c70f7b3971f,54,20150704
126,c5eac1d455675dfbc99f6c70f7b3971f,36,20150705
127,c5eac1d455675dfbc99f6c70f7b3971f,57,20150706
128,c5eac1d455675dfbc99f6c70f7b3971f,49,20150707
129,c5eac1d455675dfbc99f6c70f7b3971f,74,20150708
130,c5eac1d455675dfbc99f6c70f7b3971f,31,20150709
131,c5eac1d455675dfbc99f6c70f7b3971f,39,20150710
132,c5eac1d455675dfbc99f6c70f7b3971f,87,20150711
133,c5eac1d455675dfbc99f6c70f7b3971f,101,20150712
134,c5eac1d455675dfbc99f6c70f7b3971f,31,20150713
